timestamp,length,direction
1737098707.327579000,110,1
1737098708.335158000,110,1
1737098709.327834000,110,1
1737098710.336505000,110,1
1737098711.328430000,110,1
1737098712.337100000,110,1
1737098713.327239000,110,1
1737098714.332858000,110,1
1737098715.328811000,110,1
1737098715.591088000,142,1
1737098715.800158000,190,-1
1737098716.330771000,110,1
1737098717.337291000,110,1
1737098717.694178000,126,1
1737098717.895619000,126,-1
1737098717.895781000,126,1
1737098718.331439000,110,1
1737098719.339750000,110,1
1737098720.156800000,158,1
1737098720.327888000,110,1
1737098720.414674000,318,-1
1737098721.333720000,110,1
1737098722.341378000,110,1
1737098723.333942000,110,1
1737098723.459153000,158,1
1737098723.459206000,158,1
1737098723.461934000,158,1
1737098723.461967000,158,1
1737098723.660010000,446,-1
1737098723.660010000,462,-1
1737098723.660010000,462,-1
1737098723.664474000,478,-1
1737098724.339581000,110,1
1737098724.430663000,158,1
1737098724.624324000,222,-1
1737098724.796348000,158,1
1737098724.796388000,158,1
1737098724.992175000,446,-1
1737098724.992175000,462,-1
1737098725.234139000,43,1
1737098725.327164000,110,1
1737098725.817331000,126,-1
1737098726.136919000,158,1
1737098726.136994000,158,1
1737098726.334383000,110,1
1737098726.344936000,302,-1
1737098726.661746000,270,-1
1737098727.327047000,110,1
1737098728.329058000,110,1
1737098728.548262000,142,1
1737098729.050580000,222,-1
1737098729.335732000,110,1
1737098730.330019000,110,1
1737098731.338241000,110,1
1737098732.329166000,110,1
1737098733.180207000,142,1
1737098733.335504000,110,1
1737098733.754096000,142,1
1737098733.754254000,142,1
1737098733.768407000,142,1
1737098733.768467000,142,1
1737098733.796100000,142,1
1737098734.340447000,110,1
1737098734.572303000,142,1
1737098734.572361000,142,1
1737098734.758272000,142,1
1737098734.758325000,142,1
1737098734.773446000,142,1
1737098734.773549000,142,1
1737098734.804826000,142,1
1737098734.820120000,142,1
1737098734.820120000,142,1
1737098734.820121000,142,1
1737098734.820122000,158,1
1737098734.820122000,142,1
1737098734.820129000,158,1
1737098734.835975000,158,1
1737098734.835975000,158,1
1737098735.083158000,142,1
1737098735.239106000,142,1
1737098735.239118000,142,1
1737098735.266845000,222,-1
