timestamp,length,direction
1737121864.239502000,270,-1
1737121864.754218000,158,1
1737121865.110702000,302,-1
1737121865.147090000,142,1
1737121865.147139000,142,1
1737121865.472910000,302,-1
1737121865.554032000,222,-1
1737121865.606926000,174,-1
1737121865.667679000,158,1
1737121866.597800000,398,1
1737121866.751854000,158,1
1737121866.984687000,158,1
1737121866.984744000,158,1
1737121867.187790000,446,-1
1737121867.194273000,398,-1
1737121867.990758000,158,1
1737121867.990758000,158,1
1737121867.990758000,158,1
1737121867.990758000,158,1
1737121868.196070000,462,-1
1737121868.196070000,446,-1
1737121868.196070000,478,-1
1737121868.198497000,430,-1
1737121868.402174000,142,1
1737121868.921491000,158,1
1737121869.401558000,142,1
1737121869.805430000,142,1
1737121869.805487000,142,1
1737121870.006926000,158,1
1737121870.017170000,254,-1
1737121870.017398000,334,-1
1737121870.018474000,142,1
1737121870.448362000,142,-1
1737121870.448698000,126,1
1737121870.457533000,638,1
1737121870.902504000,126,-1
1737121870.902504000,1406,-1
1737121870.902504000,1406,-1
1737121870.902504000,1406,-1
1737121870.902504000,558,-1
1737121870.902786000,126,1
1737121870.902829000,126,1
1737121870.904782000,254,1
1737121870.908743000,558,-1
1737121870.908887000,142,1
1737121871.118503000,1406,-1
1737121871.118704000,142,1
1737121871.336731000,126,-1
1737121871.336731000,174,-1
1737121871.337328000,1230,1
1737121871.403773000,142,1
1737121871.540144000,174,-1
1737121871.540298000,142,1
1737121871.603223000,398,1
1737121871.770730000,126,-1
1737121871.961549000,1406,-1
1737121871.961549000,1342,-1
1737121871.961549000,1230,-1
1737121871.961549000,1406,-1
1737121871.961549000,1406,-1
1737121871.961549000,1406,-1
1737121871.961549000,1038,-1
1737121871.961549000,1406,-1
1737121871.961549000,1406,-1
1737121871.961549000,1406,-1
1737121871.961549000,1406,-1
1737121871.961980000,142,1
1737121871.962021000,126,1
1737121871.962034000,126,1
1737121871.962046000,126,1
1737121871.962063000,126,1
1737121871.962077000,126,1
1737121871.962573000,1326,-1
1737121871.962573000,158,-1
1737121871.962573000,1406,-1
1737121871.962573000,1406,-1
1737121871.962573000,1406,-1
1737121871.962573000,414,-1
1737121871.962768000,126,1
1737121871.962793000,126,1
1737121871.962807000,126,1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,1406,-1
1737121871.964424000,526,-1
1737121871.964648000,126,1
1737121871.964670000,126,1
1737121871.964682000,126,1
1737121871.964692000,126,1
1737121871.964707000,126,1
1737121871.973322000,1406,-1
1737121871.984098000,1406,-1
1737121871.984269000,126,1
1737121872.175889000,158,1
1737121872.385317000,1342,-1
1737121872.385471000,142,1
1737121872.393923000,174,-1
1737121872.439988000,126,1
1737121873.262134000,158,1
1737121873.788058000,43,1
1737121875.417968000,142,1
1737121875.433276000,158,1
1737121876.109372000,158,1
1737121876.109433000,158,1
1737121876.181994000,142,1
1737121876.182036000,142,1
1737121876.518909000,158,1
1737121876.612223000,398,1
1737121876.880475000,254,-1
1737121876.880523000,158,1
1737121876.880568000,158,1
1737121876.890939000,270,-1
1737121876.916185000,350,-1
1737121877.005074000,1054,-1
1737121877.094979000,190,-1
1737121877.358880000,238,-1
1737121878.686430000,158,1
1737121879.769714000,158,1
1737121879.986019000,142,1
1737121879.986019000,142,1
1737121880.233206000,158,1
1737121880.233227000,158,1
1737121880.452974000,350,-1
1737121880.452974000,318,-1
1737121880.717381000,910,-1
1737121880.739948000,830,-1
1737121880.922056000,158,1
1737121880.922094000,158,1
1737121881.554222000,286,-1
1737121881.554284000,446,-1
1737121881.613384000,398,1
1737121881.649801000,158,1
1737121881.649859000,158,1
1737121881.937312000,158,1
1737121882.333641000,302,-1
1737121882.382674000,318,-1
1737121882.505966000,158,1
1737121882.505995000,158,1
1737121882.521814000,142,1
1737121882.521870000,142,1
1737121882.531130000,142,1
1737121882.531180000,142,1
1737121882.535641000,142,1
1737121882.535678000,142,1
1737121882.535920000,142,1
1737121882.535954000,142,1
1737121882.536831000,158,1
1737121882.537000000,158,1
1737121882.605953000,142,1
1737121882.605994000,142,1
1737121882.648226000,158,1
1737121882.648496000,158,1
1737121882.663762000,142,1
1737121882.663815000,142,1
1737121882.669903000,158,1
1737121882.669945000,158,1
1737121882.715343000,190,-1
1737121882.715343000,238,-1
1737121882.738526000,238,-1
1737121882.738526000,174,-1
1737121882.742233000,190,-1
1737121882.742401000,206,-1
1737121882.748057000,334,-1
1737121882.752208000,510,-1
1737121882.752208000,238,-1
1737121882.752208000,190,-1
1737121882.762105000,606,-1
1737121882.762105000,350,-1
1737121882.821877000,286,-1
1737121882.821877000,254,-1
1737121882.866814000,270,-1
1737121882.868345000,254,-1
1737121883.019216000,158,1
1737121883.149332000,334,-1
1737121883.164867000,302,-1
1737121883.376997000,1054,-1
1737121883.933400000,142,1
1737121883.933400000,142,1
1737121884.139356000,238,-1
1737121884.139889000,222,-1
1737121884.520875000,126,1
1737121884.691447000,142,1
1737121884.847835000,942,-1
1737121884.908763000,158,-1
1737121884.914873000,302,-1
1737121885.185997000,158,1
1737121885.263742000,142,1
1737121885.658486000,142,-1
1737121885.658727000,126,1
1737121885.682058000,638,1
1737121885.806074000,142,1
1737121886.077371000,126,-1
1737121886.081170000,1470,-1
1737121886.081170000,1470,-1
1737121886.081170000,1470,-1
1737121886.081170000,270,-1
1737121886.081409000,126,1
1737121886.081446000,126,1
1737121886.082362000,222,1
1737121886.204291000,142,-1
1737121886.204594000,126,1
1737121886.224420000,638,1
1737121886.270629000,158,1
1737121886.482308000,126,-1
1737121886.482308000,174,-1
1737121886.483370000,446,1
1737121886.616903000,126,-1
1737121886.618847000,1470,-1
1737121886.618847000,270,-1
1737121886.618973000,142,1
1737121886.619006000,142,1
1737121886.899774000,126,-1
1737121886.905268000,366,-1
1737121886.949624000,126,1
1737121887.118135000,1470,-1
1737121887.118334000,142,1
1737121887.513317000,1470,-1
1737121887.513494000,126,1
1737121887.514113000,222,1
1737121887.888126000,126,-1
1737121887.888615000,126,1
1737121887.965711000,126,-1
1737121887.966216000,174,-1
1737121887.967494000,446,1
1737121888.411566000,126,-1
1737121888.435473000,366,-1
1737121888.439988000,158,1
1737121888.486638000,126,1
1737121888.672866000,158,1
1737121888.892447000,1054,-1
1737121889.523998000,158,1
1737121891.692296000,158,1
1737121891.908203000,414,1
1737121892.773652000,158,1
1737121892.788625000,43,1
1737121893.175442000,158,1
1737121893.175486000,158,1
1737121893.181007000,142,1
1737121893.181054000,142,1
1737121893.382123000,350,-1
1737121893.384837000,318,-1
1737121893.801358000,158,1
1737121893.860335000,158,1
1737121893.860393000,158,1
1737121893.933267000,142,1
1737121893.933303000,142,1
1737121894.028189000,302,-1
1737121894.050521000,142,1
1737121894.144838000,334,-1
1737121894.145623000,318,-1
1737121894.283885000,174,-1
1737121894.476195000,318,-1
1737121894.556063000,574,-1
1737121894.598663000,398,1
1737121894.940660000,158,1
1737121895.052549000,606,-1
1737121896.026053000,446,1
1737121896.026150000,142,1
1737121896.027585000,142,1
1737121896.069041000,158,1
1737121896.069353000,158,1
1737121896.215008000,142,1
1737121896.252830000,270,-1
1737121896.269606000,318,-1
1737121896.275157000,270,-1
1737121896.646712000,222,-1
1737121897.919506000,414,-1
1737121899.607776000,398,1
1737121899.792818000,158,1
1737121899.792818000,158,1
1737121900.047422000,382,-1
1737121900.226444000,158,1
1737121900.226445000,158,1
1737121900.226445000,158,1
1737121900.226445000,158,1
1737121900.226682000,158,1
1737121900.227065000,158,1
1737121900.284206000,318,-1
1737121900.398298000,158,1
1737121900.398297000,174,1
1737121900.398298000,174,1
1737121900.398298000,158,1
1737121900.462598000,462,-1
1737121900.520796000,158,1
1737121900.520797000,158,1
1737121900.611514000,270,-1
1737121900.616226000,318,-1
1737121900.616226000,446,-1
1737121900.820008000,318,-1
1737121900.837759000,270,-1
1737121900.995486000,334,-1
1737121901.036701000,302,-1
1737121901.091500000,158,1
1737121901.091501000,158,1
1737121901.091500000,158,1
1737121901.091502000,158,1
1737121901.091500000,158,1
1737121901.106970000,142,1
1737121901.106970000,158,1
1737121901.106970000,158,1
1737121901.106990000,158,1
1737121901.106994000,158,1
1737121901.107325000,142,1
1737121901.200437000,158,1
1737121901.200437000,158,1
1737121901.318701000,238,-1
1737121901.318701000,302,-1
1737121901.354239000,142,1
1737121901.354238000,142,1
1737121901.354240000,142,1
1737121901.354240000,142,1
1737121901.370489000,142,1
1737121901.415729000,446,-1
1737121901.535657000,302,-1
1737121901.549948000,206,-1
1737121901.580306000,254,-1
1737121901.588906000,398,-1
1737121901.701105000,414,-1
1737121901.767335000,318,-1
1737121901.777684000,286,-1
1737121901.782395000,174,-1
1737121901.798552000,238,-1
1737121901.804444000,286,-1
1737121901.962073000,158,-1
1737121901.962073000,126,-1
1737121901.962270000,126,1
1737121901.969633000,142,1
1737121902.134086000,750,-1
1737121902.186818000,254,-1
1737121902.220306000,430,-1
1737121902.294052000,158,1
1737121902.294478000,158,1
1737121902.371590000,142,1
1737121902.371590000,142,1
1737121902.386247000,142,1
1737121902.386247000,142,1
1737121902.628911000,286,-1
1737121902.631488000,254,-1
1737121902.631488000,382,-1
1737121902.800557000,222,-1
1737121902.858552000,366,-1
1737121903.059304000,702,-1
1737121903.114662000,158,1
1737121903.114662000,158,1
1737121903.114662000,158,1
1737121903.114662000,158,1
1737121903.114663000,158,1
1737121903.114665000,158,1
1737121903.256450000,158,1
1737121903.256508000,126,1
1737121903.320611000,462,-1
1737121903.320611000,462,-1
1737121903.322160000,446,-1
1737121903.322160000,478,-1
1737121903.322160000,478,-1
1737121903.330051000,430,-1
1737121903.355220000,350,-1
1737121903.620468000,830,-1
1737121903.814527000,398,-1
1737121903.957581000,414,-1
1737121904.098155000,158,1
1737121904.547302000,654,-1
1737121904.609259000,398,1
1737121905.592362000,142,1
1737121905.639224000,158,1
1737121905.639279000,158,1
1737121905.654262000,142,1
1737121905.654343000,142,1
1737121905.701262000,142,1
1737121905.895241000,366,-1
1737121905.939201000,318,-1
1737121905.939201000,574,-1
1737121906.005473000,142,-1
1737121906.005689000,126,1
1737121906.021544000,638,1
1737121906.023261000,254,-1
1737121906.023488000,302,-1
1737121906.173130000,142,-1
1737121906.173369000,126,1
1737121906.180635000,638,1
1737121906.233189000,158,1
1737121906.233244000,158,1
1737121906.433675000,414,-1
1737121906.433675000,606,-1
1737121906.449668000,126,-1
1737121906.451373000,1406,-1
1737121906.451373000,1038,-1
1737121906.451373000,1406,-1
1737121906.451512000,142,1
1737121906.451551000,126,1
1737121906.453751000,222,1
1737121906.462029000,1038,-1
1737121906.462165000,142,1
1737121906.602563000,158,1
1737121906.656040000,126,-1
1737121906.656040000,286,-1
1737121906.656895000,174,1
1737121906.656955000,1486,1
1737121906.656955000,1486,1
1737121906.656955000,1486,1
1737121906.656955000,1486,1
1737121906.656955000,1486,1
1737121906.656955000,814,1
1737121906.670199000,1406,-1
1737121906.670199000,1038,-1
1737121906.670199000,1406,-1
1737121906.670356000,142,1
1737121906.670380000,142,1
1737121906.670390000,142,1
1737121906.797783000,142,1
1737121906.817486000,286,-1
1737121906.817634000,142,1
1737121906.863781000,286,-1
1737121906.865076000,142,1
1737121906.898945000,126,-1
1737121906.994908000,158,1
1737121906.994942000,158,1
1737121907.038539000,286,-1
1737121907.038856000,142,1
1737121907.156874000,126,-1
1737121907.156874000,126,-1
1737121907.156874000,126,-1
1737121907.156874000,126,-1
1737121907.156874000,174,-1
1737121907.157685000,1262,1
1737121907.280047000,142,1
1737121907.280090000,142,1
1737121907.329193000,158,-1
1737121907.330455000,142,1
1737121907.350663000,254,-1
1737121907.350663000,302,-1
1737121907.534708000,174,-1
1737121907.535079000,142,1
1737121907.621533000,126,-1
1737121907.654749000,1038,-1
1737121907.708187000,126,1
1737121907.877631000,142,1
1737121907.903805000,1038,-1
1737121907.904304000,142,1
1737121907.946909000,750,-1
1737121908.001571000,126,1
1737121908.143876000,318,-1
1737121908.147509000,750,-1
