timestamp,length,direction
1737122486.316046000,158,1
1737122486.316102000,158,1
1737122486.587951000,222,1
1737122486.588019000,1486,1
1737122486.588019000,1486,1
1737122486.588019000,782,1
1737122486.795944000,142,-1
1737122486.859857000,1486,1
1737122486.859918000,1486,1
1737122486.859918000,222,1
1737122486.975487000,190,1
1737122486.975547000,1486,1
1737122486.975547000,1214,1
1737122487.063710000,142,-1
1737122487.063710000,142,-1
1737122487.122746000,1486,1
1737122487.178539000,126,-1
1737122487.211092000,526,-1
1737122487.211092000,158,-1
1737122487.211278000,126,1
1737122487.211936000,158,1
1737122487.337120000,142,-1
1737122487.344102000,494,-1
1737122487.344279000,158,-1
1737122487.344407000,126,1
1737122487.427604000,126,-1
1737122487.707786000,222,1
1737122487.707859000,1486,1
1737122487.707859000,1486,1
1737122487.707859000,1486,1
1737122487.707859000,350,1
1737122487.910650000,190,1
1737122487.910712000,1486,1
1737122487.910712000,670,1
1737122487.917920000,126,-1
1737122487.917920000,126,-1
1737122487.917920000,126,-1
1737122488.069710000,542,-1
1737122488.069710000,158,-1
1737122488.070062000,126,1
1737122488.114845000,126,-1
1737122488.114845000,142,-1
1737122488.114845000,126,-1
1737122488.278244000,494,-1
1737122488.278244000,158,-1
1737122488.278627000,126,1
1737122488.679395000,190,1
1737122488.679455000,1486,1
1737122488.679455000,414,1
1737122488.689974000,190,1
1737122488.690026000,1486,1
1737122488.690026000,718,1
1737122488.886849000,126,-1
1737122488.900886000,142,-1
1737122488.900886000,126,-1
1737122488.900886000,142,-1
1737122488.900886000,126,-1
1737122489.060795000,782,-1
1737122489.060795000,158,-1
1737122489.061094000,126,1
1737122489.561992000,158,1
1737122489.562043000,158,1
1737122489.711158000,158,-1
1737122489.711428000,142,1
1737122489.875787000,142,1
1737122489.914057000,494,-1
1737122489.914181000,126,1
1737122490.078364000,238,-1
1737122490.091744000,222,1
1737122490.091812000,1486,1
1737122490.091812000,1486,1
1737122490.091812000,1086,1
1737122490.297450000,126,-1
1737122490.297450000,126,-1
1737122490.452359000,526,-1
1737122490.452541000,158,-1
1737122490.452678000,126,1
1737122490.859553000,238,1
1737122490.859636000,1486,1
1737122490.859636000,1486,1
1737122490.859636000,1486,1
1737122490.859636000,1486,1
1737122490.859636000,1486,1
1737122490.859636000,1486,1
1737122490.859636000,1486,1
1737122490.859636000,1278,1
1737122491.064725000,126,-1
1737122491.064958000,126,1
1737122491.065545000,126,-1
1737122491.065740000,126,-1
1737122491.068908000,126,-1
1737122491.068908000,126,-1
1737122491.068908000,126,-1
1737122491.068908000,126,-1
1737122491.068908000,126,-1
1737122491.228893000,526,-1
1737122491.229357000,158,-1
1737122491.229465000,126,1
1737122492.807722000,158,1
1737122492.807751000,158,1
1737122493.922076000,142,1
1737122493.922130000,142,1
1737122494.030519000,142,1
1737122494.150143000,318,-1
1737122494.256646000,174,-1
1737122496.047062000,158,1
1737122496.047121000,158,1
1737122496.070439000,158,1
1737122496.070576000,158,1
1737122496.434248000,302,-1
1737122497.343288000,1486,1
1737122497.343288000,1486,1
1737122497.343288000,1486,1
1737122497.343288000,1486,1
1737122497.343288000,1374,1
1737122497.343388000,174,1
1737122497.550761000,126,-1
1737122497.550761000,126,-1
1737122497.550761000,126,-1
1737122497.550761000,126,-1
1737122497.550761000,126,-1
1737122497.744799000,734,-1
1737122497.744799000,158,-1
1737122497.744983000,142,1
1737122497.745018000,142,1
1737122497.953893000,174,-1
1737122497.954099000,126,1
1737122497.956283000,158,1
1737122498.095903000,414,1
1737122498.461842000,142,1
1737122498.461904000,142,1
1737122498.575164000,158,1
1737122498.602697000,174,1
1737122498.602983000,174,1
1737122498.618330000,1486,1
1737122498.618330000,1486,1
1737122498.618330000,1486,1
1737122498.618330000,1486,1
1737122498.618330000,1118,1
1737122498.629999000,222,1
1737122498.630067000,1486,1
1737122498.630067000,1486,1
1737122498.630067000,574,1
1737122498.671968000,238,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,1486,1
1737122498.672090000,302,1
1737122498.800260000,142,-1
1737122498.823520000,126,-1
1737122498.824667000,126,-1
1737122498.824667000,126,-1
1737122498.838692000,126,-1
1737122498.838692000,142,-1
1737122498.838692000,126,-1
1737122498.885257000,126,-1
1737122498.885257000,126,-1
1737122498.892014000,126,-1
1737122498.892014000,126,-1
1737122498.892121000,126,-1
1737122498.892121000,126,-1
1737122498.987897000,222,-1
1737122498.992762000,174,-1
1737122499.004030000,526,-1
1737122499.004030000,158,-1
1737122499.004230000,126,1
1737122499.005026000,158,1
1737122499.052653000,510,-1
1737122499.053015000,158,-1
1737122499.053142000,126,1
1737122499.280905000,158,1
1737122499.280980000,158,1
1737122499.281234000,126,-1
1737122499.369257000,1486,-1
1737122499.369635000,1486,-1
1737122499.369805000,126,1
1737122499.372918000,1486,-1
1737122499.372918000,462,-1
1737122499.374604000,126,1
1737122499.384815000,158,1
1737122499.384898000,158,1
1737122499.746791000,1022,-1
1737122499.761272000,558,-1
1737122500.316412000,718,-1
1737122502.527051000,462,1
1737122502.527238000,158,1
1737122502.527284000,158,1
1737122502.881709000,43,1
1737122505.394335000,158,1
1737122505.592979000,718,-1
1737122505.767103000,158,1
1737122505.767165000,158,1
1737122508.312949000,142,1
1737122508.313096000,142,1
1737122508.345430000,1486,1
1737122508.345430000,1486,1
1737122508.345430000,1486,1
1737122508.345430000,1486,1
1737122508.345430000,1134,1
1737122508.353872000,238,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,1486,1
1737122508.354005000,238,1
1737122508.409553000,238,1
1737122508.409613000,1486,1
1737122508.409613000,1486,1
1737122508.551799000,126,-1
1737122508.552282000,126,-1
1737122508.552282000,126,-1
1737122508.552282000,126,-1
1737122508.554171000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,126,-1
1737122508.559781000,142,-1
1737122508.559781000,126,-1
1737122508.560050000,1486,1
1737122508.560088000,1486,1
1737122508.560103000,1486,1
1737122508.560117000,1486,1
1737122508.560133000,1486,1
1737122508.560146000,1486,1
1737122508.560161000,1486,1
1737122508.560175000,1486,1
1737122508.560188000,1486,1
1737122508.560208000,1486,1
1737122508.560208000,1070,1
1737122508.618119000,126,-1
1737122508.618119000,126,-1
1737122508.618294000,1486,1
1737122508.618507000,126,-1
1737122508.618561000,1486,1
1737122508.727395000,766,-1
1737122508.727535000,126,1
1737122508.735060000,158,-1
1737122508.735174000,126,1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,126,-1
1737122508.768664000,158,-1
1737122508.768971000,734,1
1737122508.787597000,702,-1
1737122508.815426000,126,1
1737122508.823161000,126,-1
1737122508.858389000,1470,-1
1737122508.858603000,158,-1
1737122508.858733000,126,1
1737122508.859431000,158,1
1737122508.901433000,222,1
1737122508.901491000,1486,1
1737122508.901491000,1486,1
1737122508.901491000,574,1
1737122509.015290000,126,-1
1737122509.017260000,158,1
1737122509.017330000,158,1
1737122509.064259000,126,-1
1737122509.105371000,126,-1
1737122509.114854000,126,-1
1737122509.114854000,142,-1
1737122509.124106000,526,-1
1737122509.129735000,158,-1
1737122509.129874000,126,1
1737122509.233974000,142,1
1737122509.234035000,142,1
1737122509.265096000,494,-1
1737122509.265096000,158,-1
1737122509.265287000,126,1
1737122509.335741000,126,1
1737122509.349284000,222,1
1737122509.349337000,1486,1
1737122509.349337000,1486,1
1737122509.349337000,1086,1
1737122509.552625000,126,-1
1737122509.552625000,126,-1
1737122509.712677000,158,-1
1737122509.712837000,142,1
1737122509.779385000,462,-1
1737122509.780164000,718,-1
1737122509.781067000,254,1
1737122509.781107000,1214,1
1737122509.885749000,126,1
1737122509.971949000,510,-1
1737122509.972141000,126,1
1737122510.085319000,1326,1
1737122510.137103000,654,-1
1737122510.177974000,126,1
1737122510.860090000,174,-1
1737122510.860090000,158,-1
1737122510.860441000,126,1
1737122510.982960000,126,1
1737122511.076617000,142,1
1737122511.091570000,142,1
1737122511.295019000,302,-1
1737122511.302748000,302,-1
1737122511.365353000,158,1
1737122511.365407000,158,1
1737122511.431982000,142,1
1737122511.636144000,142,-1
1737122511.636336000,126,1
1737122511.636682000,1486,1
1737122511.636682000,894,1
1737122511.648576000,174,1
1737122511.648576000,174,1
1737122511.840319000,126,-1
1737122511.840319000,126,-1
1737122511.847169000,558,-1
1737122511.847169000,1022,-1
1737122511.849432000,142,1
1737122511.849468000,142,1
1737122511.849488000,142,1
1737122511.849516000,142,1
1737122511.849533000,142,1
1737122511.849548000,142,1
1737122511.857222000,366,-1
1737122511.857692000,190,1
1737122511.857721000,222,1
1737122511.857734000,574,1
1737122511.957992000,142,1
1737122511.958278000,142,1
1737122512.066929000,142,-1
1737122512.066929000,142,-1
1737122512.066929000,142,-1
1737122512.066929000,142,-1
1737122512.066929000,142,-1
1737122512.066929000,126,-1
1737122512.066929000,430,-1
1737122512.067497000,126,1
1737122512.067555000,126,1
1737122512.067577000,126,1
1737122512.067597000,126,1
1737122512.067602000,206,-1
1737122512.067628000,126,1
1737122512.067772000,126,1
1737122512.069099000,1486,1
1737122512.069099000,750,1
1737122512.069161000,1486,1
1737122512.069161000,782,1
1737122512.069198000,1486,1
1737122512.069198000,782,1
1737122512.069230000,1486,1
1737122512.069230000,846,1
1737122512.069264000,1486,1
1737122512.069264000,782,1
1737122512.069284000,158,1
1737122512.072089000,1486,-1
1737122512.072089000,1486,-1
1737122512.072089000,1486,-1
1737122512.072319000,126,1
1737122512.072338000,126,1
1737122512.072346000,1486,-1
1737122512.072346000,1486,-1
1737122512.072352000,126,1
1737122512.072462000,1486,-1
1737122512.072492000,126,1
1737122512.072530000,126,1
1737122512.072573000,126,1
1737122512.073018000,1486,-1
1737122512.073133000,1486,-1
1737122512.073190000,126,1
1737122512.073212000,142,1
1737122512.076272000,1486,-1
