timestamp,length,direction
1737124811.251847000,158,1
1737124812.797401000,158,1
1737124813.021635000,302,-1
1737124813.415722000,158,1
1737124813.754698000,158,1
1737124813.754774000,158,1
1737124813.996993000,382,-1
1737124813.996993000,622,-1
1737124814.496228000,158,1
1737124816.666581000,158,1
1737124817.163600000,846,1
1737124817.163683000,1486,1
1737124817.163683000,1486,1
1737124817.163683000,1486,1
1737124817.163683000,1486,1
1737124817.163683000,1486,1
1737124817.163683000,1486,1
1737124817.163683000,862,1
1737124817.317319000,43,1
1737124817.574337000,126,-1
1737124817.580496000,126,-1
1737124817.580496000,126,-1
1737124817.580496000,126,-1
1737124817.623591000,638,-1
1737124817.625072000,126,1
1737124817.750093000,142,1
1737124817.750568000,142,1
1737124817.976145000,270,-1
1737124818.028244000,126,-1
1737124818.028467000,126,1
1737124820.495278000,158,1
1737124820.495329000,158,1
1737124820.702412000,270,-1
1737124820.702562000,318,-1
1737124820.828648000,158,1
1737124820.828725000,158,1
1737124821.039432000,462,-1
1737124821.054162000,478,-1
1737124821.853098000,158,1
1737124821.853099000,158,1
1737124822.075410000,446,-1
1737124822.098455000,430,-1
1737124823.172424000,142,1
1737124827.168165000,142,1
1737124827.429485000,142,1
1737124827.587956000,142,-1
1737124827.589035000,126,1
1737124827.589667000,1486,1
1737124827.589667000,798,1
1737124827.836503000,142,-1
1737124827.837294000,126,1
1737124827.838225000,1486,1
1737124827.838225000,702,1
1737124827.996309000,126,-1
1737124827.996890000,126,-1
1737124827.997876000,1486,-1
1737124827.998367000,1486,-1
1737124827.998367000,1486,-1
1737124827.998476000,174,-1
1737124827.998476000,430,-1
1737124827.998546000,126,1
1737124827.998566000,126,1
1737124827.998951000,222,1
1737124827.998991000,846,1
1737124827.999045000,1486,1
1737124827.999045000,1486,1
1737124827.999045000,1486,1
1737124827.999045000,1486,1
1737124827.999045000,1486,1
1737124827.999045000,1486,1
1737124827.999045000,862,1
1737124828.249521000,142,-1
1737124828.249521000,126,-1
1737124828.249521000,286,-1
1737124828.250153000,174,1
1737124828.422965000,126,-1
1737124828.422965000,398,-1
1737124828.429257000,126,-1
1737124828.435878000,126,-1
1737124828.463862000,126,1
1737124828.483989000,126,-1
1737124828.485695000,638,-1
1737124828.486926000,126,1
1737124828.526971000,158,1
1737124828.527030000,158,1
1737124828.586573000,142,1
1737124828.709300000,126,-1
1737124828.745542000,302,-1
1737124828.773572000,270,-1
1737124828.912015000,126,-1
1737124828.912209000,126,1
1737124829.044693000,158,1
1737124829.047183000,158,1
1737124829.604115000,382,-1
1737124829.783934000,318,-1
1737124829.785227000,142,1
1737124830.002005000,142,-1
1737124830.002224000,142,1
1737124830.003444000,414,1
1737124830.219617000,1486,-1
1737124830.219617000,1486,-1
1737124830.219617000,894,-1
1737124830.219850000,142,1
1737124830.221857000,270,1
1737124830.439061000,142,-1
1737124830.439061000,190,-1
1737124830.440871000,318,1
1737124830.440997000,718,1
1737124830.445064000,158,1
1737124830.445165000,158,1
1737124830.445168000,158,1
1737124830.445190000,158,1
1737124830.445215000,158,1
1737124830.445283000,158,1
1737124830.445329000,158,1
1737124830.445333000,158,1
1737124830.653336000,142,-1
1737124830.653336000,142,-1
1737124830.653661000,302,-1
1737124830.653946000,142,1
