timestamp,length,direction
1737118145.787368000,158,1
1737118145.787437000,158,1
1737118146.635196000,43,1
1737118147.238896000,142,1
1737118147.443042000,190,-1
1737118148.666884000,142,1
1737118148.814907000,142,1
1737118149.029988000,158,1
1737118149.030040000,158,1
1737118149.065711000,142,1
1737118149.101593000,142,-1
1737118149.101796000,142,1
1737118149.101968000,286,1
1737118149.335180000,142,-1
1737118149.335426000,142,1
1737118149.335881000,654,1
1737118149.535480000,142,-1
1737118149.535632000,158,1
1737118149.542947000,142,-1
1737118149.542947000,302,-1
1737118149.543951000,142,1
1737118149.585091000,142,-1
1737118149.585289000,142,1
1737118149.585713000,654,1
1737118149.665562000,158,1
1737118149.788198000,142,-1
1737118149.788389000,158,1
1737118149.870001000,254,-1
1737118149.871153000,142,1
1737118149.894756000,142,-1
1737118149.894756000,1486,-1
1737118149.894756000,222,-1
1737118149.894756000,1486,-1
1737118149.894756000,1310,-1
1737118149.895273000,158,1
1737118149.895322000,158,1
1737118149.895338000,158,1
1737118149.895353000,158,1
1737118149.996976000,142,-1
1737118149.997192000,142,1
1737118150.136539000,1486,-1
1737118150.136539000,1486,-1
1737118150.136539000,222,-1
1737118150.136539000,1486,-1
1737118150.136799000,142,1
1737118150.136849000,158,1
1737118150.136864000,142,1
1737118150.136874000,1310,-1
1737118150.170498000,238,1
1737118150.170550000,238,1
1737118150.170565000,1246,1
1737118150.303647000,142,-1
1737118150.303885000,142,1
1737118150.319809000,318,1
1737118150.447258000,1486,-1
1737118150.447436000,142,1
1737118150.447901000,238,1
1737118150.719902000,142,-1
1737118150.719902000,142,-1
1737118150.719902000,414,-1
1737118150.719902000,142,-1
1737118150.720252000,142,1
1737118150.720490000,222,-1
1737118150.720656000,142,1
1737118150.720919000,174,1
1737118150.722081000,1486,-1
1737118150.722081000,1486,-1
1737118150.722081000,1486,-1
1737118150.722081000,1486,-1
1737118150.722556000,142,1
1737118150.722637000,142,1
1737118150.722677000,142,1
1737118150.722710000,142,1
1737118150.730684000,1486,-1
1737118150.730684000,1486,-1
1737118150.730909000,142,1
1737118150.730951000,142,1
1737118150.739541000,1486,-1
1737118150.739541000,1486,-1
1737118150.739800000,142,1
1737118150.739847000,142,1
1737118150.748679000,1486,-1
1737118150.748878000,158,1
1737118150.752953000,142,-1
1737118150.753367000,1486,-1
1737118150.753367000,1486,-1
1737118150.753367000,222,-1
1737118150.753563000,142,1
1737118150.753602000,158,1
1737118150.753910000,1486,-1
1737118150.753999000,142,1
1737118150.754103000,1310,-1
1737118150.755154000,238,1
1737118150.755271000,1486,-1
1737118150.755331000,158,1
1737118150.764005000,1486,-1
1737118150.764005000,1486,-1
1737118150.764171000,158,1
1737118150.764201000,158,1
1737118150.772281000,1486,-1
1737118150.772281000,1486,-1
1737118150.772485000,158,1
1737118150.772524000,158,1
1737118150.781101000,1486,-1
1737118150.781101000,1486,-1
1737118150.781275000,158,1
1737118150.781306000,158,1
1737118150.789664000,1486,-1
1737118150.789664000,1486,-1
1737118150.789849000,158,1
1737118150.789883000,158,1
1737118150.807241000,1486,-1
1737118150.807241000,1486,-1
1737118150.807241000,1486,-1
1737118150.807614000,174,1
1737118150.807678000,174,1
1737118150.807702000,174,1
1737118150.814634000,1486,-1
1737118150.814911000,174,1
1737118150.815057000,1486,-1
1737118150.815257000,174,1
1737118150.822971000,1486,-1
1737118150.823224000,174,1
1737118150.834036000,1486,-1
1737118150.834036000,1486,-1
1737118150.834325000,174,1
1737118150.834385000,174,1
1737118150.840882000,1486,-1
1737118150.840882000,1486,-1
1737118150.840996000,174,1
1737118150.841023000,174,1
1737118150.850650000,1486,-1
1737118150.850746000,174,1
1737118150.856761000,1486,-1
1737118150.856851000,174,1
1737118150.866917000,1486,-1
1737118150.866917000,1486,-1
1737118150.867075000,174,1
1737118150.867104000,174,1
1737118150.873360000,1486,-1
1737118150.873360000,1486,-1
1737118150.873468000,174,1
1737118150.873496000,174,1
1737118150.883195000,1486,-1
1737118150.883309000,174,1
1737118150.892573000,1486,-1
1737118150.892573000,1486,-1
1737118150.892750000,174,1
1737118150.892815000,174,1
1737118150.898924000,1486,-1
1737118150.898924000,1486,-1
1737118150.899080000,174,1
1737118150.899110000,174,1
1737118150.916105000,1486,-1
1737118150.916105000,1486,-1
1737118150.916105000,1486,-1
1737118150.916315000,174,1
1737118150.916348000,174,1
1737118150.916358000,174,1
1737118150.994330000,142,-1
1737118150.994330000,414,-1
1737118150.994330000,206,-1
1737118150.994540000,142,1
1737118151.284877000,1486,-1
1737118151.284877000,1486,-1
1737118151.284877000,142,-1
1737118151.284877000,1486,-1
1737118151.284877000,1486,-1
1737118151.284877000,1486,-1
1737118151.284877000,1486,-1
1737118151.285097000,1486,-1
1737118151.285198000,174,1
1737118151.285215000,174,1
1737118151.285239000,174,1
1737118151.285252000,174,1
1737118151.285267000,174,1
1737118151.285282000,174,1
1737118151.285295000,174,1
1737118151.296952000,1486,-1
1737118151.297182000,174,1
1737118151.301297000,1486,-1
1737118151.301297000,1486,-1
1737118151.301433000,174,1
1737118151.301463000,174,1
1737118151.313731000,1486,-1
1737118151.313927000,174,1
1737118151.319277000,1486,-1
1737118151.319452000,1486,-1
1737118151.319472000,174,1
1737118151.319585000,174,1
1737118151.327304000,1486,-1
1737118151.327304000,1486,-1
1737118151.327555000,174,1
1737118151.327608000,174,1
1737118151.335864000,1486,-1
1737118151.335864000,1486,-1
1737118151.336063000,174,1
1737118151.336102000,174,1
1737118151.345821000,1486,-1
1737118151.346028000,174,1
1737118151.346035000,1486,-1
1737118151.346159000,174,1
1737118151.351930000,1486,-1
1737118151.352005000,174,1
1737118151.361242000,1486,-1
1737118151.361342000,174,1
1737118151.369001000,1486,-1
1737118151.369073000,174,1
1737118151.369131000,1486,-1
1737118151.369170000,174,1
1737118151.377327000,1486,-1
1737118151.377399000,174,1
1737118151.386260000,1486,-1
1737118151.386260000,1486,-1
1737118151.386446000,174,1
1737118151.386483000,174,1
1737118151.394778000,1486,-1
1737118151.394980000,174,1
1737118151.395035000,1486,-1
1737118151.395169000,174,1
1737118151.402849000,1486,-1
1737118151.403015000,174,1
1737118151.410913000,1486,-1
1737118151.411034000,174,1
1737118151.411062000,1486,-1
1737118151.411162000,174,1
1737118151.419436000,1486,-1
1737118151.419591000,1486,-1
1737118151.419625000,174,1
1737118151.419765000,174,1
1737118151.429450000,1486,-1
1737118151.429450000,1486,-1
1737118151.429601000,174,1
1737118151.429629000,174,1
1737118151.436347000,1486,-1
1737118151.436433000,174,1
1737118151.436514000,1486,-1
1737118151.436557000,174,1
1737118151.446337000,1486,-1
1737118151.446424000,174,1
1737118151.453219000,1486,-1
1737118151.453293000,174,1
1737118151.464961000,1486,-1
1737118151.465038000,174,1
1737118151.470147000,1486,-1
1737118151.470240000,174,1
1737118151.605680000,238,1
1737118151.828589000,1486,-1
1737118151.828845000,174,1
1737118151.841446000,1486,-1
1737118151.841446000,1486,-1
1737118151.841571000,174,1
1737118151.841598000,174,1
1737118151.842567000,1486,-1
1737118151.842649000,174,1
1737118151.846792000,1486,-1
1737118151.846897000,174,1
1737118151.851038000,1486,-1
1737118151.851116000,174,1
1737118151.859797000,1486,-1
1737118151.859924000,174,1
1737118151.859929000,1486,-1
1737118151.860021000,174,1
1737118151.874853000,1486,-1
1737118151.874853000,1486,-1
1737118151.874853000,1486,-1
1737118151.875122000,174,1
1737118151.875159000,174,1
1737118151.875171000,174,1
1737118151.982025000,1486,-1
1737118151.982318000,174,1
1737118152.000409000,1486,-1
1737118152.000409000,1486,-1
1737118152.000409000,1486,-1
1737118152.000747000,174,1
1737118152.000811000,174,1
1737118152.000837000,174,1
1737118152.043902000,414,-1
1737118152.046816000,318,1
1737118152.164858000,1486,-1
1737118152.165067000,1486,-1
1737118152.165192000,174,1
1737118152.165349000,174,1
1737118152.167527000,1486,-1
1737118152.167762000,174,1
1737118152.172373000,1486,-1
1737118152.172599000,174,1
1737118152.290511000,158,1
1737118152.290583000,158,1
1737118152.479791000,1486,-1
1737118152.479791000,302,-1
1737118152.480134000,142,1
1737118152.482333000,174,1
1737118152.482400000,142,1
1737118152.556827000,1486,-1
1737118152.556982000,174,1
1737118152.559009000,1486,-1
1737118152.559175000,174,1
1737118152.886080000,1486,-1
1737118152.886080000,1486,-1
1737118152.886080000,1486,-1
1737118152.886692000,158,1
1737118152.886730000,158,1
1737118152.886742000,142,1
1737118152.886988000,142,1
1737118152.887017000,142,1
1737118152.904803000,334,1
1737118152.904864000,254,1
1737118152.904878000,222,1
1737118152.904891000,238,1
1737118152.904908000,238,1
1737118152.905394000,270,1
1737118152.910018000,270,1
1737118152.910096000,286,1
1737118152.919424000,158,-1
1737118152.919424000,142,-1
1737118152.931843000,142,-1
1737118152.932012000,142,1
1737118153.444644000,1486,-1
1737118153.444644000,1486,-1
1737118153.444644000,1486,-1
1737118153.444644000,1486,-1
1737118153.445044000,158,1
1737118153.445092000,158,1
1737118153.445103000,158,1
1737118153.445115000,158,1
1737118153.447193000,142,-1
1737118153.448364000,142,-1
1737118153.449779000,1486,-1
1737118153.449854000,174,1
1737118153.459676000,1486,-1
1737118153.459676000,1486,-1
1737118153.459769000,174,1
1737118153.459791000,174,1
1737118153.470483000,158,-1
1737118153.470483000,142,-1
1737118153.470524000,1486,-1
1737118153.470602000,174,1
1737118153.479140000,1486,-1
1737118153.479140000,1486,-1
1737118153.479266000,174,1
1737118153.479286000,174,1
1737118153.483269000,1486,-1
1737118153.483311000,1486,-1
1737118153.483338000,174,1
1737118153.483385000,174,1
1737118153.491726000,1486,-1
1737118153.491762000,1486,-1
1737118153.491807000,174,1
1737118153.491847000,174,1
1737118153.504521000,1486,-1
1737118153.504521000,1486,-1
1737118153.504603000,174,1
1737118153.504622000,174,1
1737118153.512598000,1486,-1
1737118153.512640000,1486,-1
1737118153.512666000,174,1
1737118153.512708000,174,1
1737118153.517154000,1486,-1
1737118153.517229000,174,1
1737118153.517327000,1486,-1
1737118153.517395000,174,1
1737118153.525456000,1486,-1
1737118153.525534000,174,1
1737118153.525534000,1486,-1
1737118153.525610000,174,1
1737118153.535256000,1486,-1
1737118153.535296000,1486,-1
1737118153.535347000,174,1
1737118153.535374000,174,1
