timestamp,length,direction
1737099399.965904000,110,1
1737099400.827837000,110,1
1737099401.153529000,142,1
1737099401.153536000,158,1
1737099401.347376000,238,-1
1737099401.347376000,222,-1
1737099401.836442000,110,1
1737099402.841774000,110,1
1737099403.431416000,142,1
1737099403.835926000,110,1
1737099404.829604000,110,1
1737099405.328770000,158,1
1737099405.328771000,158,1
1737099405.528228000,446,-1
1737099405.534524000,398,-1
1737099405.827335000,110,1
1737099405.903823000,142,1
1737099405.904120000,142,1
1737099406.027065000,142,1
1737099406.027066000,142,1
1737099406.027066000,142,1
1737099406.409786000,222,-1
1737099406.409786000,302,-1
1737099406.409786000,366,-1
1737099406.409786000,318,-1
1737099406.409786000,334,-1
1737099406.828563000,110,1
1737099406.843302000,142,1
1737099407.054680000,302,-1
1737099407.335553000,158,1
1737099407.335553000,142,1
1737099407.538423000,222,-1
1737099407.538423000,238,-1
1737099407.564856000,142,1
1737099407.766498000,158,1
1737099407.766500000,158,1
1737099407.772856000,238,-1
1737099407.828566000,110,1
1737099408.379101000,446,-1
1737099408.430528000,142,1
1737099408.430528000,142,1
1737099408.483546000,382,-1
1737099408.643758000,254,-1
1737099408.646030000,142,1
1737099408.646079000,158,1
1737099408.646080000,142,1
1737099408.646095000,158,1
1737099408.829900000,110,1
1737099408.862590000,318,-1
1737099408.910476000,270,-1
1737099408.946858000,174,-1
1737099409.084484000,222,-1
1737099409.185356000,158,1
1737099409.379776000,382,-1
1737099409.542351000,43,1
1737099409.835660000,110,1
1737099410.750616000,142,1
1737099410.750616000,142,1
1737099410.826743000,110,1
1737099410.959082000,254,-1
1737099410.959082000,270,-1
1737099410.995229000,158,1
1737099410.995233000,158,1
1737099411.205595000,366,-1
1737099411.212952000,1006,-1
1737099411.655709000,158,1
1737099411.779411000,142,1
1737099411.779411000,142,1
1737099411.848948000,254,-1
1737099412.264784000,270,-1
1737099412.413937000,158,1
1737099412.413937000,158,1
1737099412.428347000,270,-1
1737099412.612312000,318,-1
1737099412.620564000,350,-1
1737099413.199568000,158,1
1737099413.199568000,158,1
1737099413.396194000,270,-1
1737099413.403696000,318,-1
1737099413.445013000,142,1
1737099413.445013000,142,1
1737099413.460649000,142,1
1737099413.460649000,142,1
1737099413.460650000,158,1
1737099413.460650000,142,1
1737099413.507042000,142,1
1737099413.507054000,142,1
1737099413.657572000,334,-1
1737099413.657572000,302,-1
1737099413.657572000,222,-1
1737099413.657572000,238,-1
1737099413.713820000,430,-1
1737099413.826056000,414,-1
1737099414.214316000,366,-1
1737099414.220898000,350,-1
1737099415.654426000,158,1
1737099416.103119000,158,1
1737099416.439176000,366,-1
1737099418.270754000,158,1
1737099418.270963000,158,1
1737099418.469086000,302,-1
1737099418.505555000,270,-1
1737099418.672783000,158,1
1737099418.869267000,318,-1
1737099419.443935000,142,1
1737099419.444033000,142,1
1737099419.630432000,142,1
1737099419.630432000,158,1
1737099419.826229000,222,-1
1737099419.826229000,238,-1
1737099420.197578000,142,1
1737099420.209745000,894,-1
1737099420.556549000,174,1
1737099420.649516000,142,-1
1737099420.649760000,126,1
1737099420.650045000,318,1
1737099420.663813000,142,1
1737099420.703069000,782,-1
1737099420.919918000,126,1
1737099421.098593000,126,-1
1737099421.099574000,1486,-1
1737099421.099574000,1102,-1
1737099421.099771000,126,1
1737099421.155403000,222,-1
1737099421.195783000,238,-1
1737099421.781923000,142,1
1737099422.086318000,142,1
1737099422.086320000,142,1
1737099422.237486000,142,-1
1737099422.237785000,126,1
1737099422.238319000,318,1
1737099422.303955000,302,-1
1737099422.333309000,142,1
1737099422.333345000,142,1
1737099422.540259000,350,-1
1737099422.544408000,334,-1
1737099422.687766000,126,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.692713000,1486,-1
1737099422.693089000,142,1
1737099422.693124000,126,1
1737099422.693137000,126,1
1737099422.693148000,126,1
1737099422.693170000,126,1
1737099422.693185000,126,1
1737099423.146086000,1486,-1
1737099423.146086000,414,-1
1737099423.146302000,142,1
1737099423.724568000,1486,-1
1737099423.724792000,126,1
1737099423.725647000,126,1
1737099423.727674000,446,1
1737099423.727714000,446,1
1737099423.793058000,142,1
1737099423.957533000,110,1
1737099424.389578000,142,-1
1737099424.389764000,142,1
1737099424.390140000,750,1
1737099424.457652000,158,1
1737099424.457662000,158,1
1737099424.563785000,174,1
1737099424.597258000,142,-1
1737099424.597420000,158,1
1737099424.670160000,334,-1
1737099424.777175000,142,-1
1737099424.802743000,1486,-1
1737099424.802743000,1486,-1
1737099424.802743000,1486,-1
1737099424.802743000,1486,-1
1737099424.802743000,1486,-1
1737099424.802743000,1486,-1
1737099424.803217000,158,1
1737099424.803254000,142,1
1737099424.803276000,142,1
1737099424.803289000,142,1
1737099424.803316000,1486,-1
1737099424.803316000,1486,-1
1737099424.803316000,1486,-1
1737099424.803316000,1486,-1
1737099424.803316000,1486,-1
1737099424.803594000,142,1
1737099424.803626000,142,1
1737099424.804570000,1486,-1
1737099424.804570000,1486,-1
1737099424.804771000,158,1
1737099424.804801000,158,1
1737099424.806039000,1486,-1
1737099424.806039000,1486,-1
1737099424.806175000,158,1
1737099424.806200000,158,1
1737099424.807294000,1486,-1
1737099424.807294000,1486,-1
1737099424.807401000,158,1
1737099424.807421000,158,1
1737099424.808872000,1486,-1
1737099424.808872000,1486,-1
1737099424.808983000,158,1
1737099424.809008000,158,1
1737099424.812790000,1486,-1
1737099424.812790000,1486,-1
1737099424.813046000,158,1
1737099424.813105000,158,1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.820654000,1486,-1
1737099424.821042000,158,1
1737099424.821065000,158,1
1737099424.821091000,174,1
1737099424.821099000,1486,-1
1737099424.821099000,1486,-1
1737099424.821104000,158,1
1737099424.821125000,174,1
1737099424.821139000,174,1
1737099424.821153000,174,1
1737099424.821169000,174,1
1737099424.821426000,174,1
1737099424.821459000,174,1
1737099424.822597000,1486,-1
1737099424.822597000,1486,-1
1737099424.822692000,174,1
1737099424.822712000,174,1
1737099424.824422000,1486,-1
1737099424.824422000,1486,-1
1737099424.824512000,174,1
1737099424.824532000,174,1
1737099424.825764000,1486,-1
1737099424.825764000,1486,-1
1737099424.825848000,174,1
1737099424.825867000,174,1
1737099424.827872000,1486,-1
1737099424.827872000,1486,-1
1737099424.827960000,174,1
1737099424.827979000,174,1
1737099424.829973000,1486,-1
1737099424.830064000,174,1
1737099424.831078000,1486,-1
1737099424.831149000,174,1
1737099424.841628000,110,1
1737099424.856016000,126,1
1737099425.016869000,238,-1
1737099425.103760000,142,1
1737099425.188829000,1486,-1
1737099425.188829000,1486,-1
1737099425.188829000,1486,-1
1737099425.188829000,1486,-1
1737099425.189036000,174,1
1737099425.189067000,174,1
1737099425.189084000,174,1
1737099425.189098000,174,1
1737099425.189536000,1486,-1
1737099425.189536000,1486,-1
1737099425.189688000,174,1
1737099425.189718000,174,1
1737099425.193231000,1486,-1
1737099425.193231000,1486,-1
1737099425.193231000,1486,-1
1737099425.193231000,1486,-1
1737099425.193388000,174,1
1737099425.193414000,174,1
1737099425.193427000,174,1
1737099425.193437000,174,1
1737099425.194026000,1486,-1
1737099425.194026000,1486,-1
1737099425.194120000,174,1
1737099425.194144000,174,1
1737099425.195354000,1486,-1
1737099425.195491000,174,1
1737099425.197568000,1486,-1
1737099425.197568000,1486,-1
1737099425.197568000,1486,-1
1737099425.197568000,1486,-1
1737099425.197705000,174,1
1737099425.197728000,174,1
1737099425.197746000,174,1
1737099425.197758000,174,1
1737099425.204680000,1486,-1
1737099425.204680000,1486,-1
1737099425.204680000,1486,-1
1737099425.204832000,174,1
1737099425.204856000,174,1
1737099425.204869000,174,1
1737099425.207590000,1486,-1
1737099425.207590000,1486,-1
1737099425.207590000,1486,-1
1737099425.207590000,1486,-1
1737099425.207718000,174,1
1737099425.207737000,174,1
1737099425.207748000,174,1
1737099425.207757000,174,1
1737099425.208159000,1486,-1
1737099425.208159000,1486,-1
1737099425.208159000,1486,-1
1737099425.208291000,174,1
1737099425.208304000,174,1
1737099425.208315000,174,1
1737099425.209475000,1486,-1
1737099425.209539000,174,1
1737099425.211318000,1486,-1
1737099425.211318000,1486,-1
1737099425.211318000,1486,-1
1737099425.211318000,1486,-1
1737099425.211503000,174,1
1737099425.211538000,174,1
1737099425.211550000,174,1
1737099425.211562000,174,1
1737099425.212884000,1486,-1
1737099425.212970000,174,1
1737099425.214343000,1486,-1
1737099425.214343000,1486,-1
1737099425.214412000,174,1
1737099425.214427000,174,1
1737099425.216415000,1486,-1
1737099425.216415000,1486,-1
