timestamp,length,direction
1737098130.548992000,478,-1
1737098130.855621000,494,-1
1737098131.133847000,142,1
1737098133.687964000,158,1
1737098133.688025000,142,1
1737098133.688034000,158,1
1737098133.688351000,142,1
1737098133.740571000,142,1
1737098133.822832000,158,1
1737098133.822901000,158,1
1737098133.924249000,190,-1
1737098133.924249000,206,-1
1737098133.927176000,142,1
1737098133.927227000,142,1
1737098133.944645000,462,-1
1737098133.947044000,142,1
1737098134.128839000,142,-1
1737098134.128839000,142,-1
1737098134.129340000,142,1
1737098134.129413000,142,1
1737098134.130152000,654,1
1737098134.130194000,654,1
1737098134.281040000,654,-1
1737098134.334413000,142,-1
1737098134.334413000,142,-1
1737098134.337216000,1486,-1
1737098134.337216000,1486,-1
1737098134.337216000,1486,-1
1737098134.337216000,1486,-1
1737098134.337216000,1486,-1
1737098134.337216000,190,-1
1737098134.337498000,142,1
1737098134.337534000,142,1
1737098134.337544000,1486,-1
1737098134.337544000,1486,-1
1737098134.337544000,1486,-1
1737098134.337549000,142,1
1737098134.337544000,1486,-1
1737098134.337544000,190,-1
1737098134.337674000,1486,-1
1737098134.337803000,158,1
1737098134.337832000,142,1
1737098134.337863000,142,1
1737098134.337877000,142,1
1737098134.351025000,318,-1
1737098134.352118000,142,1
1737098134.389205000,206,1
1737098134.389254000,238,1
1737098134.389268000,478,1
1737098134.389281000,206,1
1737098134.389297000,142,1
1737098134.413099000,142,-1
1737098134.413267000,126,1
1737098134.414747000,382,1
1737098134.562450000,142,-1
1737098134.562658000,126,1
1737098134.562958000,638,1
1737098134.589283000,158,-1
1737098134.589283000,158,-1
1737098134.589283000,142,-1
1737098134.589818000,1102,-1
1737098134.590310000,174,1
1737098134.591655000,1102,-1
1737098134.591655000,174,-1
1737098134.591705000,142,-1
1737098134.591912000,126,1
1737098134.597686000,606,-1
1737098134.597686000,702,-1
1737098134.597924000,142,1
1737098134.598739000,174,1
1737098134.599983000,158,1
1737098134.600019000,158,1
1737098134.600461000,174,-1
1737098134.600461000,174,-1
1737098134.600650000,142,1
1737098134.600845000,174,1
1737098134.763404000,126,-1
1737098134.770212000,1486,-1
1737098134.770282000,1486,-1
1737098134.790696000,350,-1
1737098134.790696000,1486,-1
1737098134.790937000,142,1
1737098134.790978000,126,1
1737098134.794530000,142,-1
1737098134.797563000,190,1
1737098134.797594000,222,1
1737098134.797606000,606,1
1737098134.798205000,142,-1
1737098134.809195000,142,-1
1737098134.819416000,270,-1
1737098134.819416000,254,-1
1737098134.821581000,1358,1
1737098134.821797000,142,1
1737098134.894921000,126,-1
1737098134.899198000,1486,-1
1737098134.899198000,1486,-1
1737098134.899198000,174,-1
1737098134.899198000,302,-1
1737098134.899198000,1486,-1
1737098134.899467000,126,1
1737098134.899503000,142,1
1737098134.899517000,142,1
1737098134.899530000,126,1
1737098134.901132000,974,1
1737098134.965951000,446,-1
1737098134.965951000,686,-1
1737098134.998333000,126,-1
1737098134.999746000,430,-1
1737098135.001879000,430,-1
1737098135.002038000,126,1
1737098135.004094000,206,-1
1737098135.004339000,158,1
1737098135.009956000,1102,-1
1737098135.010123000,126,1
1737098135.021905000,142,-1
1737098135.022352000,142,1
1737098135.022593000,654,1
1737098135.025884000,1358,-1
1737098135.025884000,1358,-1
1737098135.026487000,158,1
1737098135.029046000,1358,-1
1737098135.029046000,1358,-1
1737098135.029046000,142,-1
1737098135.029582000,158,1
1737098135.042404000,206,1
1737098135.042457000,190,1
1737098135.042472000,142,1
1737098135.042485000,622,1
1737098135.223551000,142,-1
1737098135.223971000,1486,-1
1737098135.223971000,1486,-1
1737098135.224304000,142,1
1737098135.225530000,1486,-1
1737098135.225530000,750,-1
1737098135.225693000,142,1
1737098135.226192000,206,1
1737098135.243143000,638,-1
1737098135.243143000,238,-1
1737098135.243143000,142,-1
1737098135.243732000,142,1
1737098135.244295000,430,-1
1737098135.244582000,158,1
1737098135.245742000,126,-1
1737098135.245742000,1358,-1
1737098135.255312000,1358,-1
1737098135.255616000,142,1
1737098135.256570000,1358,-1
1737098135.267888000,1358,-1
1737098135.267936000,1358,-1
1737098135.268198000,142,1
1737098135.279548000,1358,-1
1737098135.279661000,1358,-1
1737098135.279800000,142,1
1737098135.284241000,1358,-1
1737098135.284415000,142,1
1737098135.299633000,1358,-1
1737098135.299786000,1358,-1
1737098135.300045000,142,1
1737098135.300796000,1358,-1
1737098135.306861000,1358,-1
1737098135.307115000,142,1
1737098135.310519000,1358,-1
1737098135.316420000,1358,-1
1737098135.316628000,142,1
1737098135.324284000,1358,-1
1737098135.327629000,1358,-1
1737098135.327985000,142,1
1737098135.331184000,398,-1
1737098135.331184000,398,-1
1737098135.331396000,126,1
1737098135.333497000,1358,-1
1737098135.340170000,1358,-1
1737098135.340622000,142,1
1737098135.343446000,1358,-1
1737098135.348939000,1358,-1
1737098135.349261000,142,1
1737098135.358591000,1358,-1
1737098135.362628000,1358,-1
1737098135.362961000,142,1
1737098135.378304000,126,-1
1737098135.378304000,1166,-1
1737098135.378304000,1358,-1
1737098135.378304000,1358,-1
1737098135.378304000,1358,-1
1737098135.378579000,126,1
1737098135.378612000,126,1
1737098135.378916000,142,1
1737098135.381164000,158,1
1737098135.381195000,126,1
1737098135.382330000,1358,-1
1737098135.382535000,142,1
1737098135.389476000,1358,-1
1737098135.396531000,1358,-1
1737098135.396791000,142,1
1737098135.403183000,1358,-1
1737098135.404319000,1358,-1
1737098135.404675000,142,1
1737098135.410505000,1358,-1
1737098135.414271000,1358,-1
1737098135.414537000,142,1
1737098135.419785000,1358,-1
1737098135.428439000,1358,-1
1737098135.428701000,142,1
1737098135.429781000,1358,-1
1737098135.434463000,142,-1
1737098135.436727000,1358,-1
1737098135.436962000,142,1
1737098135.442516000,1358,-1
1737098135.443882000,142,-1
1737098135.443882000,142,-1
1737098135.447586000,1358,-1
1737098135.447733000,142,1
1737098135.453177000,1358,-1
1737098135.460723000,1358,-1
1737098135.461248000,158,1
1737098135.462542000,1358,-1
1737098135.476513000,1358,-1
1737098135.476513000,1358,-1
1737098135.476852000,142,1
1737098135.485027000,1358,-1
1737098135.485448000,1358,-1
1737098135.485508000,142,1
1737098135.492021000,1358,-1
1737098135.492378000,142,1
1737098135.495832000,1358,-1
1737098135.503598000,1358,-1
1737098135.504011000,142,1
1737098135.521193000,1358,-1
1737098135.521193000,1358,-1
1737098135.521193000,1358,-1
1737098135.521556000,142,1
1737098135.531020000,1358,-1
1737098135.531020000,1358,-1
1737098135.531400000,142,1
1737098135.533845000,1358,-1
1737098135.534479000,142,1
1737098135.545474000,1358,-1
1737098135.546458000,1358,-1
1737098135.546795000,142,1
1737098135.550044000,1358,-1
1737098135.555706000,1358,-1
1737098135.555942000,142,1
1737098135.561310000,1358,-1
1737098135.566151000,1358,-1
1737098135.566437000,142,1
1737098135.578947000,1358,-1
1737098135.579146000,1358,-1
1737098135.579327000,142,1
1737098135.582218000,1358,-1
1737098135.586990000,1358,-1
1737098135.587262000,142,1
1737098135.591468000,1358,-1
1737098135.596411000,1358,-1
1737098135.596583000,142,1
1737098135.601638000,1358,-1
1737098135.611253000,1358,-1
1737098135.611420000,1358,-1
1737098135.611557000,142,1
1737098135.615084000,1358,-1
1737098135.615268000,142,1
1737098135.618085000,1358,-1
1737098135.622340000,1358,-1
1737098135.622747000,142,1
1737098135.628931000,1358,-1
1737098135.634166000,1358,-1
1737098135.634382000,142,1
1737098135.634704000,1358,-1
1737098135.640158000,1358,-1
1737098135.640407000,142,1
1737098135.643044000,1358,-1
1737098135.647445000,1358,-1
1737098135.647576000,142,1
1737098135.650185000,1358,-1
1737098135.654000000,1358,-1
1737098135.654319000,158,1
1737098135.658233000,1358,-1
1737098135.665558000,1358,-1
1737098135.665558000,1358,-1
1737098135.665558000,1358,-1
1737098135.665558000,1358,-1
1737098135.665894000,142,1
1737098135.665918000,142,1
1737098135.670024000,1358,-1
1737098135.670024000,1358,-1
1737098135.670024000,1358,-1
1737098135.670024000,1358,-1
1737098135.670320000,142,1
1737098135.670344000,142,1
1737098135.680605000,1358,-1
1737098135.680605000,1358,-1
1737098135.680605000,1358,-1
1737098135.680605000,1358,-1
1737098135.681109000,142,1
1737098135.681148000,142,1
1737098135.691393000,1358,-1
1737098135.691393000,1358,-1
1737098135.691393000,1358,-1
1737098135.691393000,1358,-1
1737098135.693240000,1358,-1
1737098135.693240000,1358,-1
1737098135.693240000,1358,-1
1737098135.693240000,1358,-1
1737098135.700196000,1358,-1
1737098135.700196000,1358,-1
1737098135.700196000,1358,-1
1737098135.700196000,1358,-1
1737098135.700503000,142,1
1737098135.708041000,1358,-1
1737098135.708041000,1358,-1
1737098135.708041000,1358,-1
1737098135.708041000,1358,-1
1737098135.715986000,1358,-1
1737098135.718230000,1358,-1
1737098135.718230000,1358,-1
1737098135.718230000,1358,-1
1737098135.718962000,142,1
1737098135.722359000,1358,-1
1737098135.722359000,1358,-1
1737098135.722359000,1358,-1
1737098135.722359000,1358,-1
1737098135.731193000,1358,-1
1737098135.731193000,1358,-1
1737098135.731193000,1358,-1
1737098135.731193000,1358,-1
1737098135.737504000,1358,-1
1737098135.737504000,1358,-1
1737098135.737504000,1358,-1
1737098135.737504000,1358,-1
1737098135.737845000,142,1
1737098135.744783000,1358,-1
1737098135.744783000,1358,-1
1737098135.744783000,1358,-1
1737098135.744783000,1358,-1
1737098135.752259000,1358,-1
1737098135.752333000,1358,-1
1737098135.756639000,1358,-1
1737098135.756713000,1358,-1
1737098135.756937000,142,1
1737098135.768011000,1358,-1
1737098135.768011000,1358,-1
1737098135.780042000,1358,-1
1737098135.780190000,1358,-1
1737098135.782123000,142,1
1737098135.796808000,1358,-1
1737098135.796808000,1358,-1
1737098135.799679000,1358,-1
1737098135.799679000,1358,-1
1737098135.799679000,1358,-1
1737098135.799679000,1358,-1
1737098135.804512000,142,-1
1737098135.804512000,142,-1
1737098135.816277000,1358,-1
1737098135.816277000,1358,-1
1737098135.816277000,1358,-1
1737098135.816277000,1358,-1
1737098135.816707000,142,1
1737098135.825010000,1358,-1
1737098135.825010000,1358,-1
1737098135.825010000,1358,-1
1737098135.825010000,1358,-1
1737098135.835358000,1358,-1
1737098135.835500000,1358,-1
1737098135.843728000,1358,-1
1737098135.843728000,1358,-1
1737098135.843728000,1358,-1
1737098135.843728000,1358,-1
1737098135.844063000,142,1
1737098135.854988000,1358,-1
1737098135.854988000,1358,-1
1737098135.855371000,1358,-1
1737098135.855371000,1358,-1
1737098135.855371000,1358,-1
1737098135.855515000,1358,-1
1737098135.870588000,1358,-1
1737098135.870588000,1358,-1
1737098135.870588000,1358,-1
1737098135.870588000,1358,-1
1737098135.870965000,142,1
1737098135.874088000,1358,-1
1737098135.874088000,1358,-1
1737098135.874088000,1358,-1
1737098135.874088000,1358,-1
1737098135.895114000,1358,-1
1737098135.895114000,1358,-1
1737098135.895114000,1358,-1
1737098135.895114000,1358,-1
1737098135.899845000,142,1
1737098135.901871000,1358,-1
1737098135.901871000,1358,-1
1737098135.901871000,1358,-1
1737098135.901871000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912069000,1358,-1
1737098135.912538000,142,1
1737098135.916553000,1358,-1
1737098135.916553000,1358,-1
1737098135.916553000,1358,-1
1737098135.916553000,1358,-1
1737098135.921298000,1358,-1
1737098135.921298000,1358,-1
1737098135.921298000,1358,-1
1737098135.921298000,1358,-1
1737098135.921634000,142,1
1737098135.926971000,1358,-1
1737098135.926971000,1358,-1
1737098135.926971000,1358,-1
1737098135.926971000,1358,-1
1737098135.931223000,1358,-1
1737098135.931223000,1358,-1
1737098135.931223000,1358,-1
1737098135.931223000,1358,-1
1737098135.936069000,1358,-1
1737098135.936069000,1358,-1
1737098135.936069000,1358,-1
1737098135.936069000,1358,-1
1737098135.936364000,142,1
1737098135.941854000,1358,-1
1737098135.941854000,1358,-1
1737098135.941854000,1358,-1
1737098135.941854000,1358,-1
1737098135.943862000,1358,-1
1737098135.943862000,1358,-1
1737098135.943862000,1358,-1
1737098135.943862000,1358,-1
1737098135.944193000,142,1
1737098135.948793000,1358,-1
1737098135.948793000,1358,-1
1737098135.948793000,1358,-1
1737098135.948793000,1358,-1
1737098135.955702000,1358,-1
1737098135.955702000,1358,-1
1737098135.955702000,1358,-1
1737098135.955702000,1358,-1
1737098135.957807000,1358,-1
1737098135.957807000,1358,-1
1737098135.957807000,1358,-1
1737098135.957807000,1358,-1
1737098135.958081000,158,1
1737098135.961103000,1358,-1
1737098135.961103000,1358,-1
1737098135.961103000,1358,-1
1737098135.961103000,1358,-1
1737098135.964974000,1358,-1
1737098135.964974000,1358,-1
1737098135.964974000,1358,-1
1737098135.964974000,1358,-1
1737098135.965206000,142,1
1737098135.971043000,1358,-1
1737098135.971043000,1358,-1
1737098135.971043000,1358,-1
1737098135.971043000,1358,-1
1737098135.972696000,1358,-1
1737098135.972696000,1358,-1
1737098135.972696000,1358,-1
1737098135.972696000,1358,-1
1737098135.975875000,1358,-1
1737098135.975875000,1358,-1
1737098135.975875000,1358,-1
1737098135.975875000,1358,-1
1737098135.976134000,142,1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985053000,1358,-1
1737098135.985392000,142,1
1737098135.987239000,1358,-1
1737098135.987239000,1358,-1
1737098135.987239000,1358,-1
1737098135.987239000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997629000,1358,-1
1737098135.997727000,1358,-1
1737098135.997727000,1358,-1
1737098135.997727000,1358,-1
1737098135.998042000,1358,-1
1737098135.998082000,142,1
1737098135.998137000,158,1
1737098135.998150000,142,1
1737098136.004036000,1358,-1
1737098136.004232000,1358,-1
1737098136.018998000,1358,-1
1737098136.018998000,1358,-1
1737098136.018998000,1358,-1
1737098136.018998000,1358,-1
1737098136.021263000,1358,-1
1737098136.021263000,1358,-1
1737098136.021263000,1358,-1
1737098136.021263000,1358,-1
1737098136.021566000,142,1
1737098136.025653000,1358,-1
