timestamp,length,direction
1737117240.213121000,142,1
1737117240.213121000,142,1
1737117241.025750000,222,-1
1737117241.223979000,142,1
1737117242.043648000,158,1
1737117242.043704000,158,1
1737117243.238292000,142,1
1737117243.436522000,174,-1
1737117245.300382000,158,1
1737117245.300456000,158,1
1737117246.166344000,446,1
1737117248.554124000,158,1
1737117248.554255000,158,1
1737117248.877813000,142,1
1737117248.877814000,142,1
1737117248.892992000,158,1
1737117248.924210000,142,1
1737117248.986763000,158,1
1737117248.986772000,158,1
1737117249.048283000,142,1
1737117249.048283000,142,1
1737117249.079123000,142,1
1737117249.079123000,142,1
1737117249.094461000,142,1
1737117249.094461000,142,1
1737117249.094479000,142,1
1737117249.094505000,142,1
1737117249.094508000,142,1
1737117249.094520000,158,1
1737117249.094523000,158,1
1737117249.094524000,142,1
1737117249.094528000,142,1
1737117249.094545000,142,1
1737117249.094562000,158,1
1737117249.094564000,142,1
1737117249.094564000,158,1
1737117249.094602000,142,1
1737117249.094603000,142,1
1737117249.094618000,142,1
1737117249.247842000,398,-1
1737117249.255673000,366,-1
1737117249.313582000,446,1
1737117249.314300000,174,1
1737117249.314898000,446,-1
1737117249.314898000,478,-1
1737117249.314898000,462,-1
1737117249.314898000,430,-1
1737117249.326969000,142,1
1737117249.326969000,142,1
1737117249.330136000,286,-1
1737117249.333000000,526,-1
1737117249.342136000,142,1
1737117249.343038000,142,1
1737117249.373490000,158,1
1737117249.373490000,158,1
1737117249.378105000,318,-1
1737117249.475008000,318,-1
1737117249.502594000,382,-1
1737117249.504947000,142,1
1737117249.522433000,366,-1
1737117249.522433000,366,-1
1737117249.523485000,142,1
1737117249.523534000,142,1
1737117249.523553000,142,1
1737117249.567587000,382,-1
1737117249.573466000,174,1
1737117249.587612000,142,1
1737117249.597899000,366,-1
1737117249.597899000,334,-1
1737117249.597899000,302,-1
1737117249.597899000,350,-1
1737117249.610991000,142,1
1737117249.611212000,142,1
1737117249.664949000,142,1
1737117249.693633000,318,-1
1737117249.730956000,398,-1
1737117249.758072000,318,-1
1737117249.759587000,142,1
1737117249.759611000,142,1
1737117249.759618000,142,1
1737117249.759632000,142,1
1737117249.759784000,142,1
1737117249.788889000,398,-1
1737117249.813000000,158,1
1737117249.813039000,158,1
1737117249.829118000,350,-1
1737117249.831138000,638,-1
1737117249.835283000,174,1
1737117249.866156000,542,-1
1737117249.878058000,142,-1
1737117249.878219000,126,1
1737117249.879019000,382,1
1737117249.887472000,142,-1
1737117249.887472000,142,-1
1737117249.887472000,142,-1
1737117249.887693000,126,1
1737117249.887726000,126,1
1737117249.887741000,126,1
1737117249.888531000,638,1
1737117249.888561000,638,1
1737117249.888578000,638,1
1737117249.897050000,158,1
1737117249.943214000,158,1
1737117249.947722000,158,1
1737117249.949420000,142,-1
1737117249.949553000,126,1
1737117249.949929000,638,1
1737117249.969486000,142,-1
1737117249.969486000,142,-1
1737117249.969857000,126,1
1737117249.969882000,126,1
1737117249.970568000,382,1
1737117249.970613000,382,1
1737117250.015496000,142,1
1737117250.015802000,142,1
1737117250.043602000,366,-1
1737117250.092212000,590,-1
1737117250.092317000,398,-1
1737117250.095225000,142,-1
1737117250.095392000,126,1
1737117250.097841000,142,1
