timestamp,length,direction
1737121484.919948000,106,-1
1737121484.924125000,1386,-1
1737121484.924125000,1386,-1
1737121484.924125000,1386,-1
1737121484.924125000,496,-1
1737121484.924372000,106,-1
1737121484.925558000,199,-1
1737121484.933485000,496,-1
1737121484.933675000,118,-1
1737121485.147765000,1386,-1
1737121485.147765000,1386,-1
1737121485.147765000,1386,-1
1737121485.147765000,496,-1
1737121485.147933000,118,-1
1737121485.147985000,118,-1
1737121485.147985000,118,-1
1737121485.147985000,118,-1
1737121485.206563000,132,-1
1737121485.384368000,106,-1
1737121485.384469000,157,-1
1737121485.385322000,1458,-1
1737121485.385322000,388,-1
1737121485.606577000,157,-1
1737121485.606926000,118,-1
1737121485.853950000,118,-1
1737121485.853950000,106,-1
1737121486.040111000,521,-1
1737121486.040111000,458,-1
1737121486.040111000,140,-1
1737121486.040433000,106,-1
1737121486.337113000,1458,-1
1737121486.337113000,295,-1
1737121486.337326000,1039,-1
1737121486.444762000,907,-1
1737121486.444992000,118,-1
1737121486.806880000,106,-1
1737121486.806880000,118,-1
1737121486.939639000,1228,-1
1737121487.185265000,134,-1
1737121487.185584000,134,-1
1737121487.375475000,132,-1
1737121487.700385000,1228,-1
1737121488.159557000,118,-1
1737121488.195130000,623,-1
1737121488.195592000,106,-1
1737121488.313467000,419,-1
1737121488.404897000,623,-1
1737121488.405131000,118,-1
1737121488.459937000,132,-1
1737121489.502117000,406,-1
1737121490.205267000,374,-1
1737121490.629385000,132,-1
1737121491.714444000,132,-1
1737121493.881901000,132,-1
1737121494.966545000,132,-1
1737121496.782698000,133,-1
1737121497.045492000,246,-1
1737121497.138552000,132,-1
1737121497.247026000,393,-1
1737121497.806506000,129,-1
1737121497.806506000,129,-1
1737121498.029680000,270,-1
1737121498.029680000,288,-1
1737121498.031308000,126,-1
1737121498.223860000,132,-1
1737121498.527237000,126,-1
1737121498.527430000,106,-1
1737121498.534249000,623,-1
1737121499.044682000,126,-1
1737121499.069986000,106,-1
1737121499.069986000,1386,-1
1737121499.069986000,1386,-1
1737121499.069986000,1051,-1
1737121499.070435000,106,-1
1737121499.073577000,232,-1
1737121499.078656000,1051,-1
1737121499.078903000,118,-1
1737121499.264568000,133,-1
1737121499.264720000,133,-1
1737121499.500304000,126,-1
1737121499.500650000,106,-1
1737121499.517921000,623,-1
1737121499.590700000,106,-1
1737121499.590700000,157,-1
1737121499.591716000,1139,-1
1737121499.805720000,157,-1
1737121499.805922000,118,-1
1737121499.927075000,744,-1
1737121499.975911000,106,-1
1737121499.981509000,1386,-1
1737121499.981509000,1386,-1
1737121499.981509000,1386,-1
1737121499.981509000,529,-1
1737121499.981874000,106,-1
1737121499.983806000,232,-1
1737121499.985119000,529,-1
1737121499.985299000,118,-1
1737121500.049050000,428,-1
1737121500.132144000,106,-1
1737121500.184945000,1386,-1
1737121500.184945000,1386,-1
1737121500.184945000,1386,-1
1737121500.184945000,529,-1
1737121500.185170000,118,-1
1737121500.185170000,118,-1
1737121500.185170000,118,-1
1737121500.185170000,118,-1
1737121500.394389000,132,-1
1737121500.438195000,106,-1
1737121500.438288000,157,-1
1737121500.438288000,535,-1
1737121500.438690000,1262,-1
1737121500.487259000,106,-1
1737121500.633253000,157,-1
1737121500.633407000,118,-1
1737121500.891844000,106,-1
1737121500.988801000,634,-1
1737121501.043486000,106,-1
1737121501.195419000,634,-1
1737121501.195642000,118,-1
1737121501.418630000,127,-1
1737121501.418630000,127,-1
1737121501.480646000,132,-1
1737121501.521562000,1458,-1
1737121501.521562000,1458,-1
1737121501.651418000,355,-1
1737121501.961229000,106,-1
1737121501.961367000,106,-1
1737121501.991261000,106,-1
1737121501.991430000,1458,-1
1737121501.991430000,1458,-1
1737121501.991475000,106,-1
1737121501.991554000,1458,-1
1737121501.991554000,846,-1
1737121502.126428000,238,-1
1737121502.127771000,126,-1
1737121502.424186000,1139,-1
1737121502.454910000,106,-1
1737121502.454910000,106,-1
1737121502.486296000,406,-1
1737121502.946030000,106,-1
1737121503.090889000,846,-1
1737121503.136444000,126,-1
1737121503.600064000,106,-1
1737121503.623959000,126,-1
1737121503.624268000,106,-1
1737121503.631094000,623,-1
1737121503.647435000,132,-1
1737121503.687171000,538,-1
1737121503.719594000,1458,-1
1737121503.719594000,402,-1
1737121503.893315000,538,-1
1737121503.893550000,118,-1
1737121504.113444000,106,-1
1737121504.113680000,106,-1
1737121504.152898000,106,-1
1737121504.152898000,264,-1
1737121504.153336000,157,-1
1737121504.153505000,1247,-1
1737121504.200584000,106,-1
1737121504.355707000,264,-1
1737121504.355853000,118,-1
1737121504.554250000,264,-1
1737121504.554398000,118,-1
1737121504.666649000,106,-1
1737121504.673071000,106,-1
1737121504.729918000,132,-1
1737121504.806519000,402,-1
1737121504.912614000,1015,-1
1737121504.960475000,106,-1
1737121505.139734000,135,-1
1737121505.307119000,106,-1
1737121505.327116000,1015,-1
1737121505.327695000,118,-1
1737121505.389984000,296,-1
1737121505.419285000,987,-1
1737121505.440246000,127,-1
1737121505.440320000,127,-1
1737121505.440468000,128,-1
1737121505.440515000,128,-1
1737121505.440515000,128,-1
1737121505.440620000,128,-1
1737121505.472218000,106,-1
1737121505.623884000,987,-1
1737121505.624335000,118,-1
1737121505.684395000,134,-1
1737121505.684549000,134,-1
1737121505.814858000,427,-1
1737121505.879392000,267,-1
1737121505.885036000,267,-1
1737121505.885401000,208,-1
1737121505.931316000,419,-1
1737121505.931316000,374,-1
1737121505.945657000,247,-1
1737121505.947815000,126,-1
1737121505.947901000,126,-1
1737121506.057551000,264,-1
1737121506.058817000,126,-1
1737121506.058920000,126,-1
1737121506.165418000,212,-1
1737121506.167168000,126,-1
1737121506.208232000,133,-1
1737121506.208232000,140,-1
1737121506.208300000,130,-1
1737121506.208424000,130,-1
1737121506.413548000,126,-1
1737121506.414020000,106,-1
1737121506.431279000,623,-1
1737121506.480718000,126,-1
1737121506.481087000,106,-1
1737121506.497370000,623,-1
1737121506.537804000,126,-1
1737121506.538178000,106,-1
1737121506.546868000,126,-1
1737121506.547300000,106,-1
1737121506.554572000,623,-1
1737121506.562114000,623,-1
1737121506.714219000,364,-1
1737121506.721107000,314,-1
1737121506.721229000,266,-1
1737121506.721789000,107,-1
1737121506.899243000,132,-1
1737121506.929913000,107,-1
1737121506.943817000,106,-1
1737121506.945506000,1386,-1
1737121506.945506000,1386,-1
1737121506.945506000,1055,-1
1737121506.945856000,106,-1
1737121506.948300000,232,-1
1737121506.958843000,1055,-1
1737121506.959201000,118,-1
1737121507.065522000,106,-1
1737121507.067256000,1386,-1
1737121507.067256000,1386,-1
1737121507.067256000,1055,-1
1737121507.067569000,106,-1
1737121507.069788000,232,-1
1737121507.078096000,1055,-1
1737121507.078355000,118,-1
1737121507.079118000,106,-1
1737121507.080456000,1386,-1
1737121507.080456000,1386,-1
1737121507.080456000,1055,-1
1737121507.080766000,106,-1
1737121507.083046000,232,-1
1737121507.084776000,1055,-1
1737121507.085012000,118,-1
1737121507.085228000,106,-1
1737121507.090073000,1386,-1
1737121507.090073000,1386,-1
1737121507.090073000,1055,-1
1737121507.090480000,106,-1
1737121507.092898000,232,-1
1737121507.095330000,1055,-1
1737121507.095445000,118,-1
1737121507.131452000,107,-1
1737121507.178889000,126,-1
1737121507.236860000,120,-1
1737121507.346405000,107,-1
1737121507.353637000,1386,-1
1737121507.353785000,118,-1
1737121507.426145000,106,-1
1737121507.434607000,157,-1
1737121507.435246000,1458,-1
1737121507.435246000,127,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.435566000,1458,-1
1737121507.488410000,446,-1
1737121507.500757000,406,-1
1737121507.547343000,107,-1
1737121507.586039000,106,-1
1737121507.586039000,157,-1
1737121507.586869000,1458,-1
1737121507.586869000,126,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.587174000,1458,-1
1737121507.596648000,106,-1
1737121507.596648000,157,-1
1737121507.597281000,1458,-1
1737121507.597281000,113,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.597698000,1458,-1
1737121507.632463000,106,-1
1737121507.632463000,157,-1
1737121507.633090000,1458,-1
1737121507.633090000,122,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.633480000,1458,-1
1737121507.646559000,120,-1
1737121507.659373000,157,-1
1737121507.659536000,118,-1
1737121507.691560000,126,-1
1737121507.692118000,106,-1
1737121507.698868000,623,-1
1737121507.748460000,107,-1
1737121507.797920000,157,-1
1737121507.798194000,118,-1
1737121507.803710000,157,-1
1737121507.803919000,118,-1
1737121507.845633000,157,-1
1737121507.845785000,118,-1
1737121507.921960000,106,-1
1737121507.921960000,118,-1
1737121507.921960000,118,-1
1737121507.922086000,118,-1
1737121507.922086000,118,-1
1737121507.922086000,118,-1
1737121507.922086000,118,-1
1737121507.922086000,118,-1
1737121507.922165000,1458,-1
1737121507.922165000,1458,-1
1737121507.950438000,107,-1
1737121507.980743000,132,-1
1737121508.041903000,1458,-1
1737121508.041965000,1458,-1
1737121508.090553000,118,-1
1737121508.090553000,106,-1
1737121508.090553000,106,-1
1737121508.090943000,1458,-1
1737121508.090943000,1458,-1
1737121508.090943000,1458,-1
1737121508.090943000,1458,-1
1737121508.091089000,106,-1
1737121508.091089000,106,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.091300000,1458,-1
1737121508.102667000,118,-1
1737121508.102667000,106,-1
1737121508.102667000,106,-1
1737121508.102667000,106,-1
1737121508.102854000,106,-1
1737121508.102854000,106,-1
1737121508.102854000,106,-1
1737121508.102941000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103005000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.103077000,1458,-1
1737121508.164386000,107,-1
1737121508.185773000,118,-1
1737121508.185773000,106,-1
1737121508.185773000,106,-1
1737121508.185773000,106,-1
1737121508.185773000,106,-1
1737121508.185773000,106,-1
1737121508.185773000,106,-1
1737121508.185773000,106,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.186106000,1458,-1
1737121508.212761000,1386,-1
1737121508.212761000,1386,-1
1737121508.213038000,106,-1
1737121508.213542000,1055,-1
1737121508.215711000,232,-1
1737121508.381049000,118,-1
1737121508.381321000,118,-1
1737121508.488787000,118,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.489108000,1458,-1
1737121508.543529000,106,-1
1737121508.543706000,1458,-1
1737121508.543706000,1458,-1
1737121508.543713000,106,-1
1737121508.543713000,106,-1
1737121508.543919000,1458,-1
1737121508.543919000,1458,-1
1737121508.543919000,1458,-1
1737121508.543919000,1458,-1
1737121508.543919000,1458,-1
1737121508.543919000,1458,-1
1737121508.547715000,106,-1
1737121508.547715000,106,-1
1737121508.547847000,1458,-1
1737121508.547847000,1458,-1
1737121508.547847000,1458,-1
1737121508.547847000,1458,-1
1737121508.548097000,106,-1
1737121508.548130000,1458,-1
1737121508.548130000,1458,-1
1737121508.553985000,106,-1
1737121508.554131000,1458,-1
1737121508.554131000,1458,-1
1737121508.554269000,106,-1
1737121508.554350000,1458,-1
1737121508.554350000,1458,-1
1737121508.554350000,1458,-1
1737121508.554350000,1458,-1
1737121508.555930000,118,-1
1737121508.555930000,106,-1
1737121508.555930000,106,-1
1737121508.555930000,106,-1
1737121508.555930000,106,-1
1737121508.555930000,106,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1458,-1
1737121508.556146000,1051,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.556302000,1458,-1
1737121508.561154000,106,-1
1737121508.561154000,106,-1
1737121508.561331000,106,-1
1737121508.561331000,106,-1
1737121508.561331000,106,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561364000,1458,-1
1737121508.561553000,1458,-1
1737121508.561553000,1458,-1
1737121508.561553000,1458,-1
1737121508.561553000,1458,-1
1737121508.561553000,1458,-1
