timestamp,length,direction
1737101697.047929000,299,-1
1737101697.047929000,254,-1
1737101697.166072000,145,-1
1737101697.166142000,145,-1
1737101697.283895000,132,-1
1737101697.540629000,608,-1
1737101697.540629000,539,-1
1737101699.451356000,132,-1
1737101699.777252000,122,-1
1737101699.985645000,174,-1
1737101700.538568000,132,-1
1737101700.832453000,140,-1
1737101701.029210000,240,-1
1737101701.030901000,144,-1
1737101701.031680000,140,-1
1737101701.031906000,144,-1
1737101701.032411000,140,-1
1737101701.160582000,134,-1
1737101701.357814000,338,-1
1737101701.449551000,140,-1
1737101701.449551000,140,-1
1737101701.766435000,135,-1
1737101701.766578000,135,-1
1737101701.782548000,136,-1
1737101701.782752000,136,-1
1737101701.971299000,418,-1
1737101701.971299000,403,-1
1737101701.981477000,446,-1
1737101701.985177000,455,-1
1737101702.702359000,132,-1
1737101703.784870000,132,-1
1737101704.033543000,144,-1
1737101704.033648000,144,-1
1737101705.956174000,132,-1
1737101707.042550000,144,-1
1737101707.042621000,144,-1
1737101707.042621000,132,-1
1737101707.645121000,122,-1
1737101707.645121000,122,-1
1737101707.675673000,146,-1
1737101707.675673000,146,-1
1737101707.872693000,526,-1
1737101707.873194000,474,-1
1737101707.885267000,424,-1
1737101707.885570000,360,-1
1737101709.068037000,471,-1
1737101709.068037000,471,-1
1737101709.207394000,132,-1
1737101709.505417000,139,-1
1737101709.505417000,136,-1
1737101709.505581000,123,-1
1737101709.505581000,139,-1
1737101709.505657000,136,-1
1737101709.505676000,123,-1
1737101709.604184000,125,-1
1737101709.604351000,125,-1
1737101709.701583000,172,-1
1737101709.701698000,172,-1
1737101709.708655000,241,-1
1737101709.709746000,278,-1
1737101709.709940000,302,-1
1737101709.711505000,120,-1
1737101709.711561000,120,-1
1737101709.721663000,582,-1
1737101709.727109000,690,-1
1737101709.738872000,296,-1
1737101709.821831000,392,-1
1737101709.950428000,418,-1
1737101709.952414000,145,-1
1737101709.968530000,423,-1
1737101709.968530000,246,-1
1737101709.968530000,299,-1
1737101709.968530000,410,-1
1737101709.968530000,444,-1
1737101709.971518000,122,-1
1737101709.971547000,122,-1
1737101710.187401000,315,-1
1737101710.187401000,266,-1
1737101710.199721000,123,-1
1737101710.199781000,123,-1
1737101710.209968000,145,-1
1737101710.287617000,132,-1
1737101710.441239000,317,-1
1737101710.441239000,268,-1
1737101710.473908000,145,-1
