timestamp,length,direction
1737124169.925972000,206,-1
1737124169.926000000,1220,-1
1737124169.947072000,118,-1
1737124169.947072000,118,-1
1737124169.948816000,288,-1
1737124170.002873000,118,-1
1737124170.038326000,106,-1
1737124170.137685000,106,-1
1737124170.344935000,1458,-1
1737124170.344935000,1458,-1
1737124170.344935000,1458,-1
1737124170.344935000,378,-1
1737124170.447703000,146,-1
1737124170.447769000,146,-1
1737124170.457693000,129,-1
1737124170.556058000,106,-1
1737124170.556058000,106,-1
1737124170.556673000,118,-1
1737124170.556673000,106,-1
1737124170.662906000,435,-1
1737124170.768228000,1458,-1
1737124170.768228000,1458,-1
1737124170.768552000,106,-1
1737124170.769638000,1458,-1
1737124170.770012000,592,-1
1737124170.770132000,106,-1
1737124170.770907000,141,-1
1737124170.912976000,608,-1
1737124170.931109000,132,-1
1737124170.960603000,106,-1
1737124170.990148000,106,-1
1737124171.702274000,129,-1
1737124171.875410000,202,-1
1737124171.875469000,1219,-1
1737124171.913076000,435,-1
1737124172.085048000,106,-1
1737124172.086118000,106,-1
1737124172.228545000,468,-1
1737124172.273188000,106,-1
1737124173.087198000,132,-1
1737124173.338779000,1458,-1
1737124173.338779000,1458,-1
1737124173.338779000,1458,-1
1737124173.338779000,384,-1
1737124173.550424000,106,-1
1737124173.550616000,106,-1
1737124173.550616000,118,-1
1737124173.550616000,106,-1
1737124173.732423000,1458,-1
1737124173.732423000,1458,-1
1737124173.732423000,1458,-1
1737124173.732423000,123,-1
1737124173.732741000,106,-1
1737124174.162803000,132,-1
1737124174.851334000,202,-1
1737124174.851420000,1219,-1
1737124175.061005000,106,-1
1737124175.066917000,106,-1
1737124175.234312000,453,-1
1737124175.277609000,106,-1
1737124176.298215000,1458,-1
1737124176.298215000,1458,-1
1737124176.298215000,1458,-1
1737124176.298215000,627,-1
1737124176.301229000,126,-1
1737124176.325816000,132,-1
1737124176.340075000,1458,-1
1737124176.340075000,1458,-1
1737124176.340075000,1458,-1
1737124176.340075000,382,-1
1737124176.358027000,214,-1
1737124176.358101000,1458,-1
1737124176.358101000,596,-1
1737124176.363605000,170,-1
1737124176.363680000,1458,-1
1737124176.363680000,1458,-1
1737124176.363680000,1458,-1
1737124176.363680000,1458,-1
1737124176.363680000,1397,-1
1737124176.397984000,214,-1
1737124176.398078000,1458,-1
1737124176.398078000,424,-1
1737124176.521143000,106,-1
1737124176.542410000,106,-1
1737124176.542410000,118,-1
1737124176.542410000,106,-1
1737124176.542410000,118,-1
1737124176.542665000,106,-1
1737124176.543045000,1458,-1
1737124176.543045000,512,-1
1737124176.554444000,106,-1
1737124176.554444000,106,-1
1737124176.554444000,118,-1
1737124176.554713000,106,-1
1737124176.571358000,106,-1
1737124176.571358000,118,-1
1737124176.571358000,106,-1
1737124176.572903000,129,-1
1737124176.573931000,106,-1
1737124176.573931000,106,-1
1737124176.573931000,106,-1
1737124176.573931000,106,-1
1737124176.573931000,106,-1
1737124176.607502000,106,-1
1737124176.611033000,106,-1
1737124176.611033000,106,-1
1737124176.619136000,130,-1
1737124176.721761000,1458,-1
1737124176.721761000,1458,-1
1737124176.722103000,106,-1
1737124176.726766000,1458,-1
1737124176.726766000,1458,-1
1737124176.726766000,1458,-1
1737124176.726766000,1458,-1
1737124176.727080000,106,-1
1737124176.730393000,1458,-1
1737124176.730550000,141,-1
1737124176.730550000,118,-1
1737124176.731796000,1458,-1
1737124176.731934000,126,-1
1737124176.753797000,106,-1
1737124176.761632000,1458,-1
1737124176.761632000,1458,-1
1737124176.761632000,652,-1
1737124176.761786000,106,-1
1737124176.761969000,137,-1
1737124176.762087000,106,-1
1737124176.762321000,141,-1
1737124176.776876000,435,-1
1737124176.777991000,137,-1
1737124176.778109000,118,-1
1737124176.779363000,470,-1
1737124176.779600000,118,-1
1737124176.780443000,1458,-1
1737124176.780443000,317,-1
1737124176.780628000,106,-1
1737124176.780973000,170,-1
1737124176.781024000,198,-1
1737124176.781109000,591,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,1458,-1
1737124176.781303000,611,-1
1737124176.828648000,358,-1
1737124176.937088000,1458,-1
1737124176.937088000,1458,-1
1737124176.937419000,126,-1
1737124176.937483000,126,-1
1737124176.939008000,1458,-1
1737124176.939179000,1458,-1
1737124176.939322000,126,-1
1737124176.939385000,126,-1
1737124176.940823000,106,-1
1737124176.950059000,1458,-1
1737124176.950059000,1458,-1
1737124176.950059000,1458,-1
1737124176.950059000,1458,-1
1737124176.950059000,1458,-1
1737124176.950339000,126,-1
1737124176.950385000,126,-1
1737124176.950385000,126,-1
1737124176.950385000,126,-1
1737124176.950385000,126,-1
1737124176.973279000,106,-1
1737124176.991828000,106,-1
1737124176.991828000,401,-1
1737124176.994528000,106,-1
1737124176.994528000,118,-1
1737124176.994528000,106,-1
1737124176.995216000,472,-1
1737124176.995421000,106,-1
1737124176.995460000,137,-1
1737124177.043497000,540,-1
1737124177.043703000,106,-1
1737124177.153066000,1458,-1
1737124177.153066000,802,-1
1737124177.153066000,137,-1
1737124177.153198000,118,-1
1737124177.153235000,106,-1
1737124177.246368000,106,-1
1737124177.255318000,137,-1
1737124177.302352000,106,-1
1737124177.318774000,131,-1
1737124177.318774000,131,-1
1737124177.349362000,214,-1
1737124177.349447000,1458,-1
1737124177.349447000,156,-1
1737124177.362836000,1458,-1
1737124177.363058000,106,-1
1737124177.363858000,845,-1
1737124177.411320000,106,-1
1737124177.411394000,132,-1
1737124177.418890000,1458,-1
1737124177.418890000,1458,-1
1737124177.418890000,1458,-1
1737124177.418890000,1293,-1
1737124177.562543000,106,-1
1737124177.562543000,118,-1
1737124177.562752000,106,-1
1737124177.642763000,106,-1
1737124177.642763000,106,-1
1737124177.709160000,499,-1
1737124177.709260000,137,-1
1737124177.709377000,106,-1
1737124177.713812000,738,-1
1737124177.713812000,354,-1
1737124177.714741000,126,-1
1737124177.915484000,129,-1
1737124177.931336000,118,-1
1737124177.931479000,106,-1
1737124177.931744000,1458,-1
1737124177.931744000,866,-1
1737124177.982688000,1458,-1
1737124177.982688000,1458,-1
1737124177.982855000,106,-1
1737124177.982939000,1458,-1
1737124177.983124000,1458,-1
1737124177.983240000,106,-1
1737124177.986273000,1458,-1
1737124177.995595000,1458,-1
1737124177.995684000,1458,-1
1737124177.995782000,118,-1
1737124177.995782000,118,-1
1737124178.120841000,435,-1
1737124178.143741000,106,-1
1737124178.143741000,106,-1
1737124178.148716000,344,-1
1737124178.149011000,170,-1
1737124178.149082000,198,-1
1737124178.149163000,717,-1
1737124178.149186000,1458,-1
1737124178.149186000,1458,-1
1737124178.149186000,1458,-1
1737124178.149186000,1458,-1
1737124178.149186000,1088,-1
1737124178.195752000,1458,-1
1737124178.195752000,1458,-1
1737124178.195752000,1458,-1
1737124178.195940000,126,-1
1737124178.195983000,134,-1
1737124178.195983000,134,-1
1737124178.210173000,1458,-1
1737124178.210173000,1458,-1
1737124178.210173000,1458,-1
1737124178.210332000,134,-1
1737124178.210369000,134,-1
1737124178.210369000,134,-1
1737124178.363422000,118,-1
1737124178.363422000,106,-1
1737124178.363422000,401,-1
1737124178.363422000,106,-1
1737124178.363422000,177,-1
1737124178.363422000,118,-1
1737124178.363422000,106,-1
