timestamp,length,direction
1737124511.382070000,203,-1
1737124511.388906000,156,-1
1737124512.028907000,246,-1
1737124512.553785000,398,-1
1737124512.554687000,148,-1
1737124512.757199000,132,-1
1737124512.757199000,132,-1
1737124512.967277000,602,-1
1737124512.967277000,367,-1
1737124513.063909000,106,-1
1737124513.261599000,114,-1
1737124513.636254000,114,-1
1737124514.208247000,114,-1
1737124514.358954000,830,-1
1737124514.358954000,1458,-1
1737124514.358954000,1458,-1
1737124514.358954000,1458,-1
1737124514.358954000,1458,-1
1737124514.358954000,1458,-1
1737124514.358954000,1458,-1
1737124514.358954000,936,-1
1737124514.592420000,147,-1
1737124514.592420000,147,-1
1737124514.638238000,114,-1
1737124514.759153000,106,-1
1737124514.760190000,106,-1
1737124514.760190000,106,-1
1737124514.760190000,106,-1
1737124514.794902000,237,-1
1737124514.794902000,237,-1
1737124514.804148000,610,-1
1737124514.804851000,106,-1
1737124514.884608000,114,-1
1737124514.884657000,114,-1
1737124515.323889000,125,-1
1737124515.323971000,125,-1
1737124515.371231000,135,-1
1737124515.371337000,135,-1
1737124515.376057000,106,-1
1737124515.572748000,418,-1
1737124515.572748000,403,-1
1737124515.658099000,154,-1
1737124515.783992000,118,-1
1737124516.110356000,213,-1
1737124516.111828000,126,-1
1737124516.218404000,106,-1
1737124516.218542000,106,-1
1737124516.278686000,126,-1
1737124516.536766000,126,-1
1737124516.691003000,118,-1
1737124516.691388000,106,-1
1737124516.691817000,1458,-1
1737124516.691817000,720,-1
1737124516.945972000,118,-1
1737124516.946100000,106,-1
1737124516.946385000,1458,-1
1737124516.946385000,752,-1
1737124517.101972000,106,-1
1737124517.101972000,106,-1
1737124517.103400000,1458,-1
1737124517.103400000,146,-1
1737124517.103474000,118,-1
1737124517.103534000,1458,-1
1737124517.103534000,413,-1
1737124517.103570000,118,-1
1737124517.103583000,118,-1
1737124517.125351000,126,-1
1737124517.355299000,118,-1
1737124517.355299000,106,-1
1737124517.356912000,1458,-1
1737124517.360032000,1458,-1
1737124517.360032000,413,-1
1737124517.360259000,118,-1
1737124517.360305000,126,-1
1737124517.623633000,1458,-1
1737124517.623791000,106,-1
1737124517.624033000,199,-1
1737124517.624123000,830,-1
1737124517.624151000,1458,-1
1737124517.624151000,1458,-1
1737124517.624151000,1458,-1
1737124517.624151000,1458,-1
1737124517.624151000,1458,-1
1737124517.624151000,1458,-1
1737124517.624151000,836,-1
1737124517.670566000,126,-1
1737124517.670745000,118,-1
1737124517.671089000,1458,-1
1737124517.671089000,533,-1
1737124517.876965000,1458,-1
1737124517.877335000,118,-1
1737124518.037299000,380,-1
1737124518.037299000,106,-1
1737124518.037299000,106,-1
1737124518.037299000,106,-1
1737124518.037299000,106,-1
1737124518.037519000,106,-1
1737124518.086941000,609,-1
1737124518.087750000,106,-1
1737124518.235851000,130,-1
1737124518.235851000,118,-1
1737124518.235851000,1458,-1
1737124518.235851000,824,-1
1737124518.236016000,130,-1
1737124518.284767000,146,-1
1737124518.284967000,106,-1
1737124518.285157000,199,-1
1737124518.496921000,106,-1
1737124518.497097000,106,-1
1737124518.692313000,380,-1
1737124518.733378000,106,-1
1737124518.939828000,1458,-1
1737124518.940126000,118,-1
1737124518.940172000,182,-1
1737124519.498577000,451,-1
1737124519.498847000,130,-1
1737124520.037143000,130,-1
1737124520.037143000,130,-1
1737124520.239296000,358,-1
1737124520.581342000,227,-1
1737124520.581397000,1458,-1
1737124520.581397000,1118,-1
1737124520.603410000,451,-1
1737124520.603535000,138,-1
1737124520.747830000,125,-1
1737124520.747830000,125,-1
1737124520.961217000,275,-1
1737124520.961217000,301,-1
1737124521.039490000,130,-1
1737124521.053293000,106,-1
1737124521.053293000,148,-1
1737124521.053574000,106,-1
1737124521.132729000,400,-1
1737124521.133385000,148,-1
1737124521.245008000,302,-1
1737124521.245860000,126,-1
1737124521.276114000,114,-1
1737124521.460551000,126,-1
1737124521.460842000,118,-1
1737124521.461720000,392,-1
1737124521.638056000,147,-1
1737124521.638056000,147,-1
1737124521.645916000,106,-1
1737124521.653309000,114,-1
1737124521.670059000,118,-1
1737124521.676645000,1458,-1
1737124521.676645000,1458,-1
1737124521.676645000,880,-1
1737124521.676913000,118,-1
1737124521.677996000,244,-1
1737124521.845332000,237,-1
1737124521.845332000,237,-1
1737124521.888120000,169,-1
1737124521.888597000,292,-1
1737124521.888765000,692,-1
1737124522.097222000,118,-1
1737124522.097727000,118,-1
1737124522.102593000,288,-1
1737124522.145239000,118,-1
1737124522.223454000,114,-1
1737124522.266624000,722,-1
1737124522.266793000,130,-1
1737124522.654407000,114,-1
1737124522.886300000,114,-1
1737124522.886300000,114,-1
1737124526.282895000,830,-1
1737124526.282963000,1458,-1
1737124526.282963000,1458,-1
1737124526.282963000,1458,-1
1737124526.282963000,1458,-1
1737124526.282963000,1458,-1
1737124526.282963000,1458,-1
1737124526.282963000,936,-1
1737124526.625092000,147,-1
