timestamp,length,direction
1737118533.963025000,126,-1
1737118534.459538000,129,-1
1737118534.481558000,203,-1
1737118534.691968000,204,-1
1737118535.402714000,136,-1
1737118535.403117000,136,-1
1737118535.403908000,135,-1
1737118535.404186000,135,-1
1737118535.601915000,446,-1
1737118535.608330000,403,-1
1737118535.750183000,128,-1
1737118535.984972000,215,-1
1737118537.188880000,138,-1
1737118537.188937000,138,-1
1737118537.407414000,374,-1
1737118537.407414000,420,-1
1737118537.784006000,133,-1
1737118537.784006000,128,-1
1737118537.784264000,133,-1
1737118537.784264000,128,-1
1737118537.968661000,129,-1
1737118537.968796000,129,-1
1737118538.102483000,225,-1
1737118538.102483000,172,-1
1737118538.102866000,244,-1
1737118538.103839000,160,-1
1737118538.105255000,126,-1
1737118538.105387000,126,-1
1737118538.193594000,136,-1
1737118538.193594000,136,-1
1737118538.193594000,135,-1
1737118538.193594000,135,-1
1737118538.398044000,418,-1
1737118538.398044000,446,-1
1737118538.398044000,403,-1
1737118538.398044000,455,-1
1737118538.539538000,126,-1
1737118538.539924000,118,-1
1737118538.565677000,301,-1
1737118538.948690000,786,-1
1737118538.977240000,717,-1
1737118538.978704000,126,-1
1737118538.993253000,118,-1
1737118538.993253000,1458,-1
1737118538.993253000,1458,-1
1737118538.993253000,1458,-1
1737118538.993253000,194,-1
1737118538.993530000,118,-1
1737118538.993955000,1285,-1
1737118538.995593000,211,-1
1737118539.014783000,126,-1
1737118539.108918000,126,-1
1737118539.427310000,392,-1
1737118539.429209000,300,-1
1737118539.524535000,126,-1
1737118539.525023000,118,-1
1737118539.525770000,635,-1
1737118539.561913000,126,-1
1737118539.562381000,118,-1
1737118539.565438000,126,-1
1737118539.565931000,118,-1
1737118539.566597000,635,-1
1737118539.573671000,260,-1
1737118539.727215000,126,-1
1737118539.727610000,130,-1
1737118539.770929000,126,-1
1737118539.771423000,130,-1
1737118539.860948000,1458,-1
1737118539.860948000,279,-1
1737118539.861536000,118,-1
1737118539.862548000,149,-1
1737118539.862638000,118,-1
1737118540.007445000,118,-1
1737118540.007445000,283,-1
1737118540.007963000,118,-1
1737118540.076894000,118,-1
1737118540.076894000,1458,-1
1737118540.076894000,1458,-1
1737118540.076894000,1458,-1
1737118540.076894000,194,-1
1737118540.076894000,1294,-1
1737118540.077400000,118,-1
1737118540.110959000,118,-1
1737118540.111689000,211,-1
1737118540.111857000,217,-1
1737118540.111896000,1458,-1
1737118540.111896000,1458,-1
1737118540.111896000,1458,-1
1737118540.111896000,194,-1
1737118540.112123000,118,-1
1737118540.112158000,1285,-1
1737118540.113365000,1294,-1
1737118540.113648000,211,-1
1737118540.453865000,118,-1
1737118540.454011000,118,-1
1737118540.656007000,130,-1
1737118540.657880000,392,-1
1737118540.672265000,149,-1
1737118540.702657000,118,-1
1737118540.812100000,1458,-1
1737118541.103257000,130,-1
1737118541.389494000,118,-1
1737118541.389890000,118,-1
1737118541.419567000,134,-1
1737118541.419621000,134,-1
1737118541.465173000,129,-1
1737118541.617835000,224,-1
1737118541.617835000,438,-1
1737118541.680210000,204,-1
1737118542.194468000,1458,-1
1737118542.475343000,187,-1
1737118542.520956000,118,-1
1737118542.740656000,130,-1
1737118542.740656000,392,-1
1737118542.740656000,1458,-1
1737118542.740656000,1458,-1
1737118542.740656000,1458,-1
1737118542.740656000,1458,-1
1737118542.741049000,130,-1
1737118542.741049000,130,-1
1737118542.741049000,130,-1
1737118542.741049000,130,-1
1737118542.751494000,1458,-1
1737118542.751744000,1458,-1
1737118542.751770000,130,-1
1737118542.751918000,130,-1
1737118542.756039000,1458,-1
1737118542.756270000,130,-1
1737118542.774396000,1458,-1
1737118542.774396000,1458,-1
1737118542.774396000,1458,-1
1737118542.774396000,1458,-1
1737118542.774722000,138,-1
1737118542.774722000,138,-1
1737118542.774722000,138,-1
1737118542.774722000,138,-1
1737118542.781763000,1458,-1
1737118542.781763000,1458,-1
1737118542.782064000,138,-1
1737118542.782064000,138,-1
1737118542.789558000,1458,-1
1737118542.789680000,1458,-1
1737118542.789743000,138,-1
1737118542.789778000,138,-1
1737118542.801218000,1458,-1
1737118542.801343000,1458,-1
1737118542.801624000,138,-1
1737118542.801624000,138,-1
1737118542.806278000,1458,-1
1737118542.806665000,146,-1
1737118542.814282000,1458,-1
1737118542.814545000,1458,-1
1737118542.814663000,146,-1
1737118542.814854000,146,-1
1737118542.827960000,1458,-1
1737118542.827960000,1458,-1
1737118542.828330000,146,-1
1737118542.828330000,146,-1
1737118542.831788000,1458,-1
1737118542.831788000,1458,-1
1737118542.832267000,146,-1
1737118542.832267000,146,-1
1737118542.847222000,1458,-1
1737118542.847430000,1458,-1
1737118542.847667000,146,-1
1737118542.847667000,146,-1
1737118542.847862000,1458,-1
1737118542.848169000,146,-1
1737118542.860277000,1458,-1
1737118542.860686000,146,-1
1737118542.868099000,1458,-1
1737118542.868433000,146,-1
1737118542.873555000,1458,-1
1737118542.873755000,1458,-1
1737118542.873974000,146,-1
1737118542.873974000,146,-1
1737118542.886059000,1458,-1
1737118542.886059000,1458,-1
1737118542.886350000,146,-1
1737118542.886405000,146,-1
1737118542.895845000,1458,-1
1737118542.896002000,146,-1
1737118542.899610000,1458,-1
1737118542.899831000,1458,-1
1737118542.899959000,146,-1
1737118542.899996000,146,-1
1737118542.908901000,1458,-1
1737118542.909006000,1458,-1
1737118542.909211000,146,-1
1737118542.909211000,146,-1
1737118542.915362000,1458,-1
1737118542.915570000,146,-1
1737118542.923859000,1458,-1
1737118542.924083000,146,-1
1737118542.932015000,1458,-1
1737118542.932134000,1458,-1
1737118542.932256000,146,-1
1737118542.932256000,146,-1
1737118543.295940000,1458,-1
1737118543.295940000,1458,-1
1737118543.296321000,146,-1
1737118543.296321000,146,-1
1737118543.301962000,196,-1
1737118543.301962000,1458,-1
1737118543.301962000,1458,-1
1737118543.302402000,146,-1
1737118543.302402000,146,-1
1737118543.302402000,146,-1
1737118543.302557000,156,-1
1737118543.308186000,1458,-1
1737118543.308534000,146,-1
1737118543.318774000,1458,-1
1737118543.319135000,146,-1
1737118543.319584000,1458,-1
1737118543.319758000,146,-1
1737118543.319906000,1458,-1
1737118543.320169000,146,-1
1737118543.329418000,1458,-1
1737118543.329646000,146,-1
1737118543.329702000,1458,-1
1737118543.329825000,146,-1
