timestamp,length,direction
1737103674.154303000,126,-1
1737103674.364738000,203,-1
1737103675.440763000,94,-1
1737103676.329956000,94,-1
1737103676.530953000,130,-1
1737103676.530953000,129,-1
1737103676.530953000,129,-1
1737103676.531174000,130,-1
1737103676.736661000,435,-1
1737103676.929723000,423,-1
1737103676.934204000,358,-1
1737103677.337452000,94,-1
1737103678.330074000,94,-1
1737103678.796031000,138,-1
1737103678.796031000,138,-1
1737103678.993045000,420,-1
1737103679.002505000,374,-1
1737103679.041980000,127,-1
1737103679.041980000,127,-1
1737103679.180411000,122,-1
1737103679.196256000,132,-1
1737103679.249862000,290,-1
1737103679.250185000,314,-1
1737103679.334547000,94,-1
1737103679.390791000,280,-1
1737103679.402102000,300,-1
1737103679.550574000,130,-1
1737103679.748279000,302,-1
1737103680.308520000,122,-1
1737103680.339719000,94,-1
1737103680.519305000,217,-1
1737103681.332521000,94,-1
1737103682.341601000,94,-1
1737103683.330119000,94,-1
1737103684.335800000,94,-1
1737103684.856846000,424,-1
1737103685.336787000,94,-1
1737103686.328855000,94,-1
1737103687.330089000,94,-1
1737103687.621946000,130,-1
1737103687.817508000,358,-1
1737103688.334493000,94,-1
1737103689.330662000,94,-1
1737103690.338477000,94,-1
1737103691.328995000,94,-1
1737103692.334918000,94,-1
1737103693.327355000,94,-1
1737103694.332960000,94,-1
1737103694.612757000,128,-1
1737103695.341907000,94,-1
1737103696.332793000,94,-1
1737103696.966235000,125,-1
1737103696.966235000,120,-1
1737103696.966413000,120,-1
1737103697.157608000,208,-1
1737103697.169481000,994,-1
1737103697.170996000,790,-1
1737103697.335675000,94,-1
1737103697.506142000,125,-1
1737103697.506142000,125,-1
1737103697.782790000,158,-1
1737103697.782790000,158,-1
1737103698.272560000,721,-1
1737103698.337254000,94,-1
1737103698.399959000,127,-1
1737103698.399959000,127,-1
1737103698.409591000,782,-1
1737103698.477493000,220,-1
1737103698.769889000,404,-1
1737103699.045477000,343,-1
1737103699.095962000,158,-1
1737103699.172492000,128,-1
1737103699.172492000,128,-1
1737103699.327444000,94,-1
1737103699.739891000,220,-1
1737103700.078687000,241,-1
1737103700.330116000,94,-1
1737103700.462941000,688,-1
1737103700.841503000,132,-1
1737103700.841503000,132,-1
1737103700.949554000,129,-1
1737103700.949554000,129,-1
1737103701.039204000,300,-1
1737103701.049682000,324,-1
1737103701.338213000,94,-1
1737103701.455689000,1100,-1
1737103701.628235000,878,-1
1737103701.972152000,133,-1
1737103701.972152000,133,-1
1737103702.003749000,125,-1
1737103702.003749000,125,-1
1737103702.189495000,128,-1
1737103702.205245000,326,-1
1737103702.211978000,339,-1
1737103702.328481000,94,-1
1737103702.422509000,126,-1
1737103702.432604000,352,-1
1737103702.495023000,1036,-1
1737103702.657673000,832,-1
1737103702.838052000,133,-1
1737103702.876911000,126,-1
1737103702.877184000,118,-1
1737103702.877364000,646,-1
1737103703.034876000,283,-1
1737103703.062892000,126,-1
1737103703.063028000,130,-1
1737103703.312848000,118,-1
1737103703.332861000,94,-1
1737103703.347663000,1458,-1
1737103703.347663000,1458,-1
1737103703.347663000,1231,-1
1737103703.348008000,118,-1
1737103703.360072000,674,-1
1737103703.400367000,832,-1
1737103703.423455000,126,-1
1737103703.423455000,126,-1
1737103703.608986000,126,-1
1737103703.608986000,126,-1
1737103703.631782000,312,-1
1737103703.631782000,288,-1
1737103703.811316000,118,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.877926000,1458,-1
1737103703.878315000,130,-1
1737103703.878363000,118,-1
1737103703.878560000,118,-1
1737103703.878868000,1458,-1
1737103703.878868000,1458,-1
1737103703.879180000,118,-1
1737103703.886819000,1458,-1
1737103703.886819000,1458,-1
1737103703.887415000,118,-1
1737103703.898340000,1458,-1
1737103703.898340000,1458,-1
1737103703.898574000,130,-1
1737103703.898912000,118,-1
1737103703.899771000,1458,-1
1737103703.899771000,1458,-1
1737103703.899980000,130,-1
1737103703.899980000,118,-1
1737103703.906039000,1458,-1
1737103703.906039000,1458,-1
1737103703.906517000,118,-1
1737103703.913002000,1458,-1
1737103703.913002000,1458,-1
1737103703.913356000,118,-1
1737103703.919912000,1458,-1
1737103703.919912000,1458,-1
1737103703.920280000,118,-1
