timestamp,length,direction
1737102783.462249000,137,-1
1737102783.462249000,137,-1
1737102783.570364000,132,-1
1737102783.694891000,231,-1
1737102784.238824000,128,-1
1737102784.430490000,215,-1
1737102785.441882000,128,-1
1737102785.633173000,215,-1
1737102785.740003000,132,-1
1737102786.037633000,144,-1
1737102786.052174000,144,-1
1737102786.394145000,471,-1
1737102786.394145000,471,-1
1737102786.493956000,130,-1
1737102786.493956000,130,-1
1737102786.644962000,128,-1
1737102786.687501000,358,-1
1737102786.687501000,302,-1
1737102786.702147000,231,-1
1737102786.825973000,132,-1
1737102786.843742000,215,-1
1737102787.025688000,134,-1
1737102787.025789000,134,-1
1737102787.223364000,419,-1
1737102787.390543000,374,-1
1737102787.558157000,129,-1
1737102787.558157000,129,-1
1737102787.761854000,423,-1
1737102787.761854000,435,-1
1737102788.791429000,133,-1
1737102788.791496000,133,-1
1737102788.994505000,132,-1
1737102788.998529000,283,-1
1737102789.019657000,246,-1
1737102789.040535000,144,-1
1737102789.055624000,144,-1
1737102789.267005000,130,-1
1737102789.267005000,130,-1
1737102789.483464000,302,-1
1737102789.496810000,358,-1
1737102790.083172000,132,-1
1737102791.184767000,126,-1
1737102791.184834000,126,-1
1737102791.377917000,156,-1
1737102791.877433000,203,-1
1737102791.946833000,126,-1
1737102791.946903000,126,-1
1737102791.970328000,128,-1
1737102791.970506000,128,-1
1737102792.250982000,132,-1
1737102792.409972000,665,-1
1737102792.608887000,693,-1
1737102792.617436000,431,-1
1737102792.620386000,126,-1
1737102792.681511000,439,-1
1737102792.684613000,126,-1
1737102792.716998000,126,-1
1737102792.823554000,118,-1
1737102792.823972000,106,-1
1737102792.824490000,623,-1
1737102792.889861000,118,-1
1737102792.890395000,106,-1
1737102792.891876000,361,-1
1737102792.922648000,118,-1
1737102792.922905000,106,-1
1737102792.923369000,623,-1
1737102793.027034000,106,-1
1737102793.028291000,1458,-1
1737102793.028530000,1458,-1
1737102793.028999000,106,-1
1737102793.048886000,1458,-1
1737102793.048886000,300,-1
1737102793.049421000,106,-1
1737102793.088644000,106,-1
1737102793.090801000,170,-1
1737102793.091022000,198,-1
1737102793.091083000,1458,-1
1737102793.091288000,1458,-1
1737102793.091395000,1169,-1
1737102793.091477000,106,-1
1737102793.114257000,1458,-1
1737102793.114257000,308,-1
1737102793.114568000,106,-1
1737102793.116638000,942,-1
1737102793.122923000,106,-1
1737102793.130682000,1458,-1
1737102793.130741000,1458,-1
1737102793.130960000,106,-1
1737102793.148598000,1458,-1
1737102793.148598000,300,-1
1737102793.148995000,106,-1
1737102793.149125000,170,-1
1737102793.289232000,106,-1
1737102793.289404000,401,-1
1737102793.292187000,456,-1
1737102793.292477000,106,-1
1737102793.292693000,137,-1
1737102793.293740000,128,-1
1737102793.293771000,128,-1
1737102793.336025000,132,-1
1737102793.341702000,106,-1
1737102793.344551000,385,-1
1737102793.352712000,385,-1
1737102793.352765000,385,-1
1737102793.352765000,447,-1
1737102793.352985000,106,-1
1737102793.353021000,106,-1
1737102793.491135000,106,-1
1737102793.495097000,1102,-1
1737102793.495097000,130,-1
1737102793.495364000,106,-1
1737102793.495988000,106,-1
1737102793.496219000,106,-1
1737102793.496913000,130,-1
1737102793.497362000,106,-1
1737102793.693119000,106,-1
1737102793.722357000,447,-1
1737102793.733036000,693,-1
1737102793.734403000,126,-1
1737102793.819398000,126,-1
1737102793.932104000,118,-1
1737102793.932448000,106,-1
1737102793.932867000,623,-1
1737102794.017673000,118,-1
1737102794.018183000,106,-1
1737102794.018627000,623,-1
1737102794.130731000,106,-1
1737102794.137155000,1458,-1
1737102794.137155000,1458,-1
1737102794.137724000,106,-1
1737102794.154872000,1458,-1
1737102794.154872000,317,-1
1737102794.155639000,106,-1
1737102794.163007000,170,-1
1737102794.163139000,198,-1
1737102794.163366000,541,-1
1737102794.163366000,1458,-1
1737102794.163366000,1458,-1
1737102794.163366000,1458,-1
1737102794.163366000,1251,-1
1737102794.221190000,106,-1
1737102794.232093000,1458,-1
1737102794.232343000,1458,-1
1737102794.232667000,106,-1
1737102794.244576000,1458,-1
1737102794.244576000,317,-1
1737102794.244857000,106,-1
1737102794.245249000,170,-1
1737102794.359934000,401,-1
1737102794.361997000,463,-1
1737102794.362646000,106,-1
1737102794.363020000,137,-1
1737102794.367872000,137,-1
1737102794.369525000,106,-1
1737102794.369525000,106,-1
1737102794.394640000,471,-1
1737102794.394640000,471,-1
1737102794.409036000,106,-1
1737102794.443508000,401,-1
1737102794.445077000,463,-1
1737102794.445538000,106,-1
1737102794.524165000,1458,-1
1737102794.524469000,1458,-1
1737102794.524925000,106,-1
1737102794.525383000,761,-1
1737102794.531565000,1458,-1
1737102794.531565000,1458,-1
1737102794.532226000,106,-1
1737102794.532231000,1458,-1
1737102794.532231000,1458,-1
1737102794.532231000,1458,-1
1737102794.532782000,106,-1
1737102794.536425000,1458,-1
1737102794.536425000,1458,-1
1737102794.536425000,1458,-1
1737102794.536681000,106,-1
1737102794.537163000,1458,-1
1737102794.537163000,1458,-1
1737102794.537337000,106,-1
1737102794.540299000,1458,-1
1737102794.540299000,1458,-1
1737102794.540597000,106,-1
1737102794.548854000,1458,-1
1737102794.548854000,1458,-1
1737102794.548854000,1458,-1
1737102794.548854000,1458,-1
1737102794.548854000,1458,-1
1737102794.548854000,1458,-1
1737102794.549134000,128,-1
1737102794.549304000,106,-1
1737102794.550327000,1181,-1
1737102794.579766000,106,-1
1737102794.594962000,106,-1
1737102794.606523000,106,-1
1737102794.674971000,126,-1
1737102794.741577000,439,-1
1737102794.743147000,126,-1
1737102794.871653000,118,-1
1737102794.872046000,106,-1
1737102794.872320000,623,-1
1737102794.939440000,118,-1
1737102794.939807000,106,-1
1737102794.940143000,632,-1
1737102795.069107000,106,-1
1737102795.076299000,1458,-1
1737102795.076299000,1458,-1
1737102795.076893000,106,-1
1737102795.096846000,1458,-1
1737102795.096846000,317,-1
1737102795.097165000,106,-1
1737102795.097434000,170,-1
1737102795.097580000,198,-1
1737102795.097837000,558,-1
1737102795.138048000,106,-1
1737102795.138048000,335,-1
1737102795.139028000,1458,-1
1737102795.139028000,423,-1
1737102795.296332000,106,-1
1737102795.296332000,401,-1
1737102795.296536000,472,-1
1737102795.296651000,106,-1
1737102795.296760000,137,-1
1737102795.339845000,118,-1
1737102795.339845000,106,-1
1737102795.339845000,385,-1
1737102795.381956000,106,-1
1737102795.437499000,1458,-1
1737102795.437499000,407,-1
1737102795.437499000,169,-1
1737102795.438093000,106,-1
1737102795.504943000,1081,-1
1737102795.504943000,130,-1
1737102795.504943000,106,-1
1737102795.506132000,106,-1
1737102795.506520000,132,-1
1737102795.510601000,130,-1
1737102795.511054000,106,-1
1737102795.536204000,106,-1
1737102795.613193000,132,-1
1737102795.613193000,132,-1
1737102795.629289000,134,-1
1737102795.629289000,134,-1
1737102795.629289000,133,-1
1737102795.629289000,134,-1
1737102795.629289000,141,-1
1737102795.629289000,129,-1
1737102795.629289000,134,-1
1737102795.629289000,134,-1
1737102795.629289000,129,-1
1737102795.629496000,133,-1
1737102795.629496000,141,-1
1737102795.629496000,135,-1
1737102795.629496000,135,-1
1737102795.629496000,141,-1
1737102795.629496000,141,-1
1737102795.629496000,134,-1
1737102795.660428000,141,-1
1737102795.660428000,141,-1
1737102795.660428000,127,-1
1737102795.660428000,127,-1
1737102795.676244000,128,-1
1737102795.676244000,137,-1
1737102795.676244000,129,-1
1737102795.676244000,124,-1
1737102795.676244000,127,-1
1737102795.676244000,129,-1
1737102795.676422000,128,-1
1737102795.676422000,129,-1
1737102795.676422000,126,-1
1737102795.676422000,127,-1
1737102795.676422000,127,-1
1737102795.676422000,131,-1
1737102795.676422000,124,-1
1737102795.676545000,126,-1
1737102795.676545000,137,-1
1737102795.676545000,129,-1
1737102795.676545000,131,-1
1737102795.676545000,127,-1
1737102795.691033000,135,-1
1737102795.691033000,135,-1
1737102795.707371000,106,-1
1737102795.883860000,293,-1
1737102795.889376000,291,-1
1737102795.889376000,315,-1
1737102795.890069000,633,-1
1737102795.890069000,160,-1
1737102796.052914000,314,-1
1737102796.060934000,329,-1
1737102796.086331000,214,-1
1737102796.109016000,382,-1
1737102796.109108000,634,-1
1737102796.111528000,126,-1
1737102796.111593000,126,-1
1737102796.202727000,126,-1
1737102796.223148000,341,-1
1737102796.270499000,790,-1
1737102796.276823000,466,-1
1737102796.276946000,757,-1
1737102796.281273000,365,-1
1737102796.282370000,396,-1
1737102796.304858000,608,-1
1737102796.313275000,118,-1
1737102796.313275000,118,-1
1737102796.313495000,106,-1
1737102796.313559000,106,-1
1737102796.313816000,623,-1
1737102796.314010000,623,-1
1737102796.331826000,266,-1
1737102796.352499000,974,-1
1737102796.367242000,874,-1
1737102796.369329000,126,-1
1737102796.403129000,118,-1
1737102796.403485000,106,-1
1737102796.403966000,623,-1
1737102796.406804000,545,-1
1737102796.478133000,421,-1
1737102796.481579000,106,-1
1737102796.488725000,717,-1
1737102796.495578000,213,-1
1737102796.512400000,396,-1
1737102796.512580000,126,-1
1737102796.527627000,106,-1
1737102796.527627000,106,-1
1737102796.527627000,1458,-1
1737102796.527627000,1458,-1
1737102796.527627000,1458,-1
1737102796.527627000,1458,-1
1737102796.528278000,106,-1
1737102796.528278000,106,-1
1737102796.543635000,1458,-1
1737102796.543635000,312,-1
1737102796.544355000,106,-1
1737102796.545993000,1458,-1
1737102796.545993000,312,-1
1737102796.546657000,106,-1
1737102796.551653000,170,-1
1737102796.551653000,170,-1
1737102796.551721000,106,-1
1737102796.551858000,198,-1
1737102796.551985000,628,-1
1737102796.551985000,225,-1
1737102796.587401000,132,-1
1737102796.597692000,690,-1
1737102796.603562000,106,-1
1737102796.607729000,1458,-1
1737102796.607729000,1458,-1
1737102796.607729000,708,-1
1737102796.608461000,106,-1
1737102796.609582000,340,-1
1737102796.620328000,678,-1
1737102796.623472000,126,-1
1737102796.623535000,126,-1
1737102796.623596000,126,-1
1737102796.628728000,1458,-1
1737102796.628728000,312,-1
1737102796.629030000,106,-1
1737102796.629394000,170,-1
1737102796.632997000,134,-1
1737102796.632997000,134,-1
1737102796.633049000,133,-1
1737102796.633049000,141,-1
1737102796.633049000,134,-1
1737102796.633049000,135,-1
1737102796.633049000,141,-1
1737102796.634627000,253,-1
1737102796.634627000,1458,-1
1737102796.634627000,114,-1
1737102796.652165000,703,-1
1737102796.655113000,126,-1
1737102796.655204000,126,-1
1737102796.655288000,126,-1
1737102796.655366000,126,-1
1737102796.655443000,126,-1
1737102796.655520000,126,-1
1737102796.656952000,414,-1
1737102796.679543000,137,-1
1737102796.679701000,124,-1
1737102796.679701000,126,-1
1737102796.679701000,137,-1
1737102796.679701000,126,-1
1737102796.679701000,124,-1
1737102796.679701000,131,-1
1737102796.679910000,131,-1
1737102796.680310000,126,-1
1737102796.699391000,106,-1
1737102796.710983000,126,-1
1737102796.711717000,126,-1
1737102796.734231000,556,-1
1737102796.734910000,106,-1
1737102796.747975000,401,-1
1737102796.747975000,401,-1
1737102796.747975000,118,-1
1737102796.747975000,106,-1
1737102796.748506000,106,-1
1737102796.750307000,401,-1
1737102796.750307000,494,-1
1737102796.750706000,106,-1
1737102796.750924000,137,-1
1737102796.755686000,1458,-1
1737102796.755686000,1458,-1
1737102796.756038000,106,-1
1737102796.771440000,667,-1
1737102796.773900000,433,-1
1737102796.773900000,1458,-1
1737102796.773900000,1458,-1
1737102796.774281000,106,-1
1737102796.794501000,1458,-1
1737102796.794774000,106,-1
1737102796.795795000,1458,-1
1737102796.796011000,106,-1
1737102796.814862000,601,-1
1737102796.817413000,118,-1
1737102796.817701000,106,-1
1737102796.817991000,623,-1
1737102796.825265000,414,-1
1737102796.825265000,703,-1
1737102796.826877000,401,-1
1737102796.832000000,463,-1
1737102796.832000000,280,-1
1737102796.832000000,664,-1
1737102796.832000000,106,-1
1737102796.832000000,118,-1
1737102796.832000000,106,-1
1737102796.832525000,106,-1
1737102796.852200000,118,-1
1737102796.852200000,118,-1
1737102796.852200000,118,-1
