timestamp,length,direction
1737125213.303235000,412,1
1737125213.534384000,147,1
1737125213.755318000,248,1
1737125213.755424000,152,1
1737125213.755510000,172,1
1737125213.836935000,680,-1
1737125214.251250000,249,1
1737125214.266761000,249,1
1737125214.299396000,253,1
1737125214.300853000,239,1
1737125214.330303000,249,1
1737125214.686595000,227,1
1737125215.773991000,248,1
1737125215.776909000,248,1
1737125216.673779000,196,-1
1737125217.258559000,249,1
1737125217.331873000,249,1
1737125217.363497000,253,1
1737125217.363775000,239,1
1737125217.394318000,249,1
1737125218.431137000,150,1
1737125218.648363000,292,-1
1737125219.656685000,196,-1
1737125220.398136000,216,1
1737125220.947875000,302,-1
1737125221.148640000,329,-1
1737125222.417530000,136,1
1737125222.672943000,196,-1
1737125222.695387000,227,1
1737125223.428779000,136,1
1737125223.611392000,136,1
1737125223.812514000,136,-1
1737125223.813795000,124,1
1737125223.817309000,392,1
1737125224.019413000,124,-1
1737125224.019413000,271,-1
1737125224.020449000,124,1
1737125224.025706000,463,1
1737125224.163456000,150,1
1737125224.270603000,124,-1
1737125224.364931000,292,-1
1737125224.370093000,136,1
1737125224.451669000,1406,-1
1737125224.472686000,427,-1
1737125224.473367000,220,1
1737125224.481051000,182,1
1737125224.522609000,232,1
1737125224.686540000,124,-1
1737125224.732069000,124,-1
1737125224.732069000,501,-1
1737125224.733219000,124,1
1737125224.936760000,148,-1
1737125224.936760000,124,-1
1737125224.937304000,124,1
1737125224.937440000,124,1
1737125225.373176000,136,1
1737125225.435886000,136,1
1737125226.130878000,136,1
1737125227.133823000,136,1
1737125227.384463000,136,1
1737125227.964345000,141,1
1737125227.964675000,141,1
1737125228.207097000,337,-1
1737125228.209323000,351,-1
1737125228.212603000,136,1
1737125228.425874000,136,-1
1737125228.426796000,124,1
1737125228.428570000,1466,1
1737125228.428570000,1028,1
1737125228.637920000,124,-1
1737125228.637920000,124,-1
1737125228.638546000,223,-1
1737125228.640658000,1238,1
1737125228.760508000,386,1
1737125228.852671000,124,-1
1737125228.856531000,1406,-1
1737125228.880064000,910,-1
1737125228.880941000,124,1
1737125228.881168000,172,1
1737125228.884589000,198,1
1737125228.962268000,824,-1
1737125228.964282000,840,-1
1737125228.966462000,436,1
1737125228.967075000,216,1
1737125229.093012000,124,-1
1737125229.093012000,693,-1
1737125229.093869000,124,1
1737125229.140836000,136,1
1737125229.173495000,316,-1
1737125229.174287000,144,1
1737125229.174418000,156,-1
1737125229.174504000,435,1
1737125229.174660000,299,1
1737125229.174781000,299,1
1737125229.174995000,144,1
1737125229.175446000,299,1
1737125229.177521000,136,-1
1737125229.177521000,136,-1
1737125229.177521000,136,-1
1737125229.178182000,124,1
1737125229.178355000,124,1
1737125229.178487000,326,1
1737125229.178603000,278,1
1737125229.178710000,278,1
1737125229.213029000,136,-1
1737125229.381028000,144,-1
1737125229.381028000,212,-1
1737125229.382111000,698,-1
1737125229.385687000,946,-1
1737125229.390018000,1179,-1
1737125229.437424000,136,1
1737125229.468443000,256,1
1737125229.469321000,416,1
1737125229.469704000,144,1
1737125229.469964000,144,1
1737125229.470186000,124,1
1737125229.470393000,192,1
1737125229.470568000,172,1
1737125229.470717000,124,1
1737125229.592751000,172,-1
1737125229.593589000,124,-1
1737125229.593878000,124,1
1737125229.594389000,124,1
1737125229.594678000,124,1
1737125229.682705000,212,-1
1737125229.685052000,144,-1
1737125229.687041000,124,-1
1737125229.688047000,172,-1
1737125230.151021000,144,1
1737125230.356531000,144,-1
1737125231.396993000,136,1
1737125232.204516000,156,1
1737125232.204710000,136,1
1737125232.221459000,156,1
1737125232.221687000,136,1
1737125233.155779000,136,1
1737125233.233197000,216,1
1737125235.242200000,136,1
1737125235.375729000,143,1
1737125235.578140000,226,-1
1737125236.777872000,150,1
1737125236.778097000,150,1
1737125236.984818000,292,-1
1737125237.450719000,136,1
1737125237.508678000,140,1
1737125237.509091000,140,1
1737125237.663717000,465,-1
1737125237.712767000,222,-1
1737125237.712767000,234,-1
1737125237.888621000,136,1
1737125237.897334000,216,1
1737125238.092349000,136,-1
1737125238.093119000,124,1
1737125238.095407000,392,1
1737125238.100483000,234,-1
1737125238.101299000,233,-1
1737125238.296635000,271,-1
1737125238.297702000,124,1
1737125238.303780000,463,1
1737125238.552040000,124,-1
1737125238.711050000,1406,-1
1737125238.731295000,427,-1
1737125238.732312000,124,1
1737125238.733162000,124,1
1737125238.733711000,124,1
1737125238.742056000,182,1
1737125238.812885000,218,1
1737125238.814460000,232,1
1737125238.942738000,124,-1
1737125239.018145000,124,-1
1737125239.018145000,391,-1
1737125239.019561000,124,1
1737125239.032939000,452,-1
1737125239.034027000,680,-1
1737125239.222105000,196,-1
1737125239.222949000,124,1
1737125239.223259000,124,1
1737125239.242990000,136,1
1737125239.399374000,136,1
1737125241.170324000,136,1
1737125245.064416000,150,1
1737125245.709593000,292,-1
1737125246.340744000,218,1
1737125246.547969000,459,-1
1737125246.548947000,286,-1
1737125247.258478000,136,1
1737125251.897781000,148,1
1737125251.898033000,148,1
1737125252.368444000,148,-1
1737125252.392374000,182,-1
1737125259.180290000,143,1
1737125259.180497000,143,1
1737125259.394116000,256,-1
1737125259.394920000,326,-1
1737125259.396569000,136,1
1737125259.656035000,136,1
1737125259.845899000,136,-1
1737125259.846658000,124,1
1737125259.847315000,1466,1
1737125259.847315000,651,1
1737125259.912361000,148,1
1737125259.913067000,226,1
1737125259.913290000,154,1
1737125259.930910000,152,1
1737125259.931386000,152,1
1737125260.047500000,166,1
1737125260.047636000,166,1
1737125260.109151000,136,-1
1737125260.110439000,124,1
1737125260.111308000,1466,1
1737125260.111308000,619,1
1737125260.127422000,299,-1
1737125260.284091000,418,-1
1737125260.285239000,462,-1
1737125260.298981000,124,-1
1737125260.298981000,282,-1
1737125260.317000000,175,1
1737125260.317198000,1466,1
1737125260.317198000,147,1
1737125260.317382000,136,1
1737125260.377602000,238,-1
1737125260.501726000,282,-1
1737125260.502557000,136,1
1737125260.565061000,124,-1
1737125260.565061000,282,-1
1737125260.567184000,175,1
1737125260.571550000,136,1
1737125260.616056000,136,-1
1737125260.617013000,124,1
1737125260.617860000,1466,1
1737125260.617860000,633,1
1737125260.700292000,282,-1
1737125260.700748000,136,1
1737125260.767126000,124,-1
1737125260.769560000,172,-1
1737125260.831270000,1086,-1
1737125260.866128000,136,-1
1737125260.913450000,124,-1
1737125260.913450000,223,-1
1737125260.926037000,232,1
1737125260.941167000,228,1
1737125260.977566000,282,-1
1737125261.018098000,124,-1
1737125261.031745000,282,-1
1737125261.032353000,136,1
1737125261.032655000,124,1
1737125261.033009000,136,1
1737125261.033696000,1466,1
1737125261.033696000,538,1
1737125261.037585000,843,1
1737125261.050323000,230,1
1737125261.067831000,1086,-1
1737125261.069068000,136,1
1737125261.234316000,1086,-1
1737125261.234742000,136,1
1737125261.331925000,124,-1
1737125261.338398000,1406,-1
1737125261.359004000,1406,-1
1737125261.359004000,132,-1
1737125261.359390000,124,1
1737125261.359486000,124,1
1737125261.361600000,198,1
1737125261.362777000,748,1
1737125261.362876000,216,1
1737125261.363041000,952,1
1737125261.363098000,901,1
1737125261.434172000,1086,-1
1737125261.434812000,136,1
1737125261.622124000,324,-1
1737125261.629549000,348,-1
1737125261.631055000,360,-1
1737125261.631968000,360,-1
1737125261.632635000,388,1
1737125261.635586000,136,1
1737125261.656261000,337,-1
1737125261.657744000,155,-1
1737125261.660361000,1406,-1
1737125261.686424000,1315,-1
1737125261.711237000,124,-1
1737125261.914574000,124,1
1737125261.914666000,172,1
1737125261.916487000,198,1
1737125261.916622000,155,1
1737125261.937922000,232,1
1737125262.063242000,153,1
1737125262.121170000,382,-1
1737125262.121664000,124,1
1737125262.122635000,1466,1
1737125262.122635000,875,1
1737125262.123849000,136,1
1737125262.189490000,136,-1
1737125262.189964000,136,1
1737125262.209402000,405,-1
1737125262.210053000,124,1
1737125262.211643000,227,-1
1737125262.212584000,186,-1
1737125262.213328000,124,1
1737125262.214898000,1029,1
1737125262.257918000,124,-1
1737125262.264277000,300,-1
1737125262.313210000,136,1
1737125262.378675000,136,1
1737125262.396714000,136,-1
1737125262.397482000,136,1
1737125262.469957000,150,1
1737125262.515549000,124,-1
1737125262.518733000,223,-1
1737125262.558808000,124,1
1737125262.570022000,124,-1
1737125262.570022000,378,-1
1737125262.571600000,204,1
1737125262.670804000,292,-1
1737125262.715054000,136,-1
1737125262.715587000,124,1
1737125262.716424000,1466,1
1737125262.716424000,797,1
1737125262.774921000,378,-1
1737125262.775244000,136,1
1737125262.783190000,136,-1
1737125262.783190000,365,-1
1737125262.784518000,124,1
1737125262.785078000,1466,1
1737125262.785078000,797,1
1737125262.797652000,410,-1
1737125262.803885000,454,-1
1737125262.983272000,378,-1
1737125263.020381000,124,-1
1737125263.020381000,537,-1
1737125263.046704000,542,1
1737125263.046818000,124,1
1737125263.047677000,136,1
1737125263.124431000,124,-1
1737125263.124431000,124,-1
1737125263.126371000,1406,-1
1737125263.130723000,136,1
1737125263.138671000,1406,-1
1737125263.138671000,636,-1
1737125263.139577000,124,1
1737125263.139767000,136,1
1737125263.140652000,250,1
1737125263.141088000,943,1
1737125263.190313000,124,-1
1737125263.223966000,1406,-1
1737125263.223966000,1406,-1
1737125263.247743000,1406,-1
1737125263.247743000,1093,-1
1737125263.249615000,124,1
1737125263.250113000,196,1
1737125263.252235000,250,1
1737125263.253035000,943,1
1737125263.302975000,136,1
1737125263.428541000,489,-1
1737125263.428829000,136,1
1737125263.458716000,1404,-1
1737125263.458940000,136,1
1737125263.517208000,136,-1
1737125263.517644000,124,1
1737125263.518405000,1466,1
1737125263.518405000,909,1
1737125263.537002000,136,-1
1737125263.537305000,124,1
1737125263.537709000,1466,1
1737125263.537709000,765,1
1737125263.622887000,196,-1
1737125263.623159000,136,1
1737125263.623247000,136,1
1737125263.624242000,410,-1
1737125263.651857000,1045,-1
1737125263.652092000,136,1
1737125263.655359000,136,-1
1737125263.704270000,136,-1
1737125263.704980000,124,1
1737125263.705696000,1466,1
1737125263.705696000,765,1
1737125263.766993000,1069,1
1737125263.829532000,196,-1
1737125263.829912000,196,1
1737125263.935209000,196,-1
1737125263.935602000,136,1
1737125263.935744000,136,1
1737125263.947118000,124,-1
1737125263.947118000,124,-1
1737125263.948122000,1406,-1
1737125263.948122000,1380,-1
1737125263.948841000,124,1
1737125263.952587000,1069,1
1737125263.961238000,1406,-1
1737125263.961238000,684,-1
1737125263.961788000,136,1
1737125263.962889000,250,1
1737125263.963514000,943,1
1737125263.988408000,136,-1
1737125264.106407000,124,-1
1737125264.106407000,124,-1
1737125264.109187000,1406,-1
1737125264.109790000,1380,-1
1737125264.110555000,124,1
1737125264.119678000,1406,-1
1737125264.122743000,1466,1
1737125264.122743000,64,1
1737125264.170584000,136,-1
1737125264.170584000,398,-1
1737125264.172037000,829,-1
1737125264.176150000,829,-1
1737125264.238934000,1404,-1
1737125264.304425000,146,1
1737125264.324285000,309,1
1737125264.330816000,153,1
1737125264.363630000,1045,-1
1737125264.372516000,124,-1
1737125264.372516000,398,-1
1737125264.372516000,684,-1
1737125264.372925000,136,1
1737125264.373005000,244,1
1737125264.373054000,136,1
1737125264.373449000,250,1
1737125264.376656000,1406,-1
1737125264.376656000,688,-1
1737125264.378588000,172,1
1737125264.382682000,136,1
1737125264.386916000,825,-1
1737125264.388629000,136,1
1737125264.391219000,136,1
1737125264.392629000,136,1
1737125264.443125000,365,-1
1737125264.444649000,393,1
1737125264.566979000,1406,-1
1737125264.575880000,1191,-1
1737125264.576679000,136,1
1737125264.593149000,124,-1
1737125264.593149000,378,-1
1737125264.594359000,204,1
1737125264.637337000,136,1
1737125264.705169000,1103,-1
1737125264.706062000,136,1
1737125264.749449000,378,-1
1737125264.749943000,136,1
1737125264.773951000,124,-1
1737125264.773951000,398,-1
1737125264.782500000,136,-1
1737125264.783357000,124,1
