timestamp,length,direction
1737116202.700688000,423,1
1737116203.132124000,313,-1
1737116204.953482000,156,1
1737116205.028128000,167,1
1737116205.676493000,233,-1
1737116205.742658000,451,1
1737116206.846562000,160,1
1737116208.920321000,152,1
1737116209.555176000,310,-1
1737116214.072765000,160,1
1737116215.199063000,154,1
1737116215.199312000,154,1
1737116215.326787000,167,1
1737116215.750887000,164,1
1737116215.963490000,220,1
1737116215.969034000,334,-1
1737116215.999548000,365,-1
1737116216.118480000,158,1
1737116216.118667000,158,1
1737116216.177464000,599,-1
1737116216.208569000,599,-1
1737116216.372694000,314,-1
1737116216.373363000,341,-1
1737116216.489148000,156,1
1737116216.504600000,158,1
1737116216.590064000,224,1
1737116216.717085000,341,-1
1737116216.805103000,144,-1
1737116216.805103000,144,-1
1737116216.815512000,150,1
1737116216.815835000,158,1
1737116216.817902000,156,1
1737116216.847508000,156,1
1737116216.847694000,156,1
1737116217.011323000,136,1
1737116217.011816000,1506,1
1737116217.011816000,530,1
1737116217.012091000,158,1
1737116217.012305000,156,1
1737116217.012519000,156,1
1737116217.012721000,162,1
1737116217.012908000,162,1
1737116217.031410000,148,-1
1737116217.126940000,156,1
1737116217.127004000,156,1
1737116217.215890000,428,-1
1737116217.219485000,341,-1
1737116217.266603000,156,1
1737116217.266752000,156,1
1737116217.428880000,1406,-1
1737116217.433093000,1406,-1
1737116217.458118000,552,-1
1737116217.483720000,158,1
1737116217.497004000,144,-1
1737116217.634947000,148,1
1737116217.634992000,136,1
1737116217.635026000,136,1
1737116217.635092000,136,1
1737116217.635474000,1506,1
1737116217.635474000,530,1
1737116217.635872000,391,1
1737116217.636132000,391,1
1737116217.636607000,156,1
1737116217.659299000,184,1
1737116217.659364000,148,1
1737116217.659448000,136,1
1737116217.659494000,184,1
1737116217.659791000,1506,1
1737116217.659791000,466,1
1737116217.659837000,391,1
1737116217.660041000,1506,1
1737116217.660041000,466,1
1737116217.660579000,156,1
1737116217.661854000,200,1
1737116217.662686000,184,1
1737116217.662812000,228,1
1737116217.663485000,1382,1
1737116217.663520000,403,1
1737116217.683896000,308,-1
1737116217.684301000,256,1
1737116217.684535000,391,1
1737116217.703730000,148,-1
1737116217.703916000,272,-1
1737116217.704119000,148,1
1737116217.848035000,232,-1
1737116217.849529000,1406,-1
1737116217.892742000,156,1
1737116217.896541000,1406,-1
1737116217.899191000,423,1
1737116217.915730000,156,1
1737116217.942414000,1406,-1
1737116217.965697000,1406,-1
1737116218.035265000,1406,-1
1737116218.151668000,1406,-1
1737116218.176295000,1406,-1
1737116218.178383000,156,1
1737116218.197761000,1406,-1
1737116218.220738000,1406,-1
1737116218.269759000,1406,-1
1737116218.309409000,162,1
1737116218.314669000,1406,-1
1737116218.381551000,1406,-1
1737116218.425637000,1406,-1
1737116218.439959000,391,1
1737116218.441134000,156,1
1737116218.458529000,1406,-1
1737116218.479683000,1406,-1
1737116218.501199000,391,1
1737116218.503668000,1406,-1
1737116218.522464000,1406,-1
1737116218.545355000,1406,-1
1737116218.564138000,1406,-1
1737116218.587394000,1406,-1
1737116218.606996000,1406,-1
1737116218.628129000,1406,-1
1737116218.649306000,1406,-1
1737116218.670497000,1488,1
1737116218.670748000,232,1
1737116218.670785000,136,1
1737116218.670808000,136,1
1737116218.670858000,136,1
1737116218.670889000,136,1
1737116218.671030000,280,1
1737116218.671069000,232,1
1737116218.671204000,232,1
1737116218.671240000,200,1
1737116218.671443000,167,1
1737116218.673446000,262,1
1737116218.673820000,262,1
1737116218.674101000,262,1
1737116218.674225000,391,1
1737116218.674630000,262,1
1737116218.703047000,156,1
1737116218.707868000,829,-1
1737116218.708089000,136,1
1737116218.709120000,156,1
1737116218.721645000,136,-1
1737116218.858468000,1406,-1
1737116218.866618000,148,-1
1737116218.883962000,565,-1
1737116218.884408000,148,1
1737116218.887451000,1406,-1
1737116218.908566000,1406,-1
1737116218.928055000,1406,-1
1737116218.946274000,158,1
1737116218.946782000,244,1
1737116218.968336000,156,1
1737116218.968336000,1406,-1
1737116218.968459000,156,1
1737116218.994059000,1406,-1
1737116219.009063000,1406,-1
1737116219.082659000,158,1
1737116219.082715000,158,1
1737116219.220237000,156,1
1737116219.220429000,156,1
1737116219.221246000,1406,-1
1737116219.221503000,136,1
1737116219.221571000,136,1
1737116219.221659000,136,1
1737116219.221685000,136,1
1737116219.221711000,184,1
1737116219.221735000,136,1
1737116219.221759000,136,1
1737116219.221779000,136,1
1737116219.221933000,136,1
1737116219.223095000,156,1
1737116219.236566000,1506,1
1737116219.236566000,196,1
1737116219.236835000,1506,1
1737116219.236835000,193,1
1737116219.237247000,1506,1
1737116219.237247000,194,1
1737116219.237579000,1506,1
1737116219.237579000,193,1
1737116219.276526000,136,1
1737116219.280534000,262,1
1737116219.293044000,154,1
1737116219.293315000,154,1
1737116219.340818000,161,1
1737116219.341063000,161,1
1737116219.438696000,1406,-1
1737116219.454377000,1406,-1
1737116219.468540000,1406,-1
1737116219.473070000,156,1
1737116219.473415000,156,1
1737116219.474373000,156,1
1737116219.484385000,1406,-1
1737116219.501849000,1406,-1
1737116219.517267000,1406,-1
1737116219.541825000,1406,-1
1737116219.578866000,163,1
1737116219.579084000,163,1
1737116219.585622000,158,1
1737116219.585947000,156,1
1737116219.629465000,1406,-1
1737116219.629850000,184,1
1737116219.629912000,184,1
1737116219.629949000,136,1
1737116219.630208000,184,1
1737116219.630263000,136,1
1737116219.630299000,136,1
1737116219.630509000,1506,1
1737116219.630509000,518,1
1737116219.631067000,156,1
1737116219.631764000,156,1
1737116219.631902000,156,1
1737116219.647613000,156,1
1737116219.647689000,156,1
1737116219.647724000,156,1
1737116219.678340000,136,1
1737116219.678430000,136,1
1737116219.711292000,1506,1
1737116219.711292000,1118,1
1737116219.726882000,156,1
1737116219.844313000,220,1
1737116219.885309000,156,1
1737116219.885565000,224,1
1737116219.942193000,156,1
1737116219.942443000,156,1
1737116219.989181000,156,1
1737116220.203446000,184,1
1737116220.203508000,136,1
1737116220.203726000,136,1
1737116220.203788000,232,1
1737116220.203826000,136,1
1737116220.203861000,136,1
1737116220.203912000,136,1
1737116220.203957000,1506,1
1737116220.203957000,470,1
1737116220.204005000,184,1
1737116220.204159000,196,1
1737116220.204222000,1506,1
1737116220.204222000,672,1
1737116220.204275000,136,1
1737116220.204450000,1506,1
1737116220.204450000,630,1
1737116220.204591000,1506,1
1737116220.204591000,537,1
1737116220.204916000,1506,1
1737116220.204916000,534,1
1737116220.205072000,1506,1
1737116220.205072000,470,1
1737116220.205230000,1506,1
1737116220.205230000,502,1
1737116220.205409000,1506,1
1737116220.205409000,530,1
1737116220.205529000,156,1
1737116220.205712000,1506,1
1737116220.205712000,470,1
1737116220.205872000,1506,1
1737116220.205872000,569,1
1737116220.206067000,1506,1
1737116220.206067000,562,1
1737116220.206209000,1506,1
1737116220.206209000,537,1
1737116220.206380000,1506,1
1737116220.206380000,537,1
1737116220.218714000,395,1
1737116220.219595000,156,1
1737116220.219652000,156,1
1737116220.220530000,262,1
1737116220.220703000,184,1
1737116220.220764000,232,1
1737116220.220804000,235,1
1737116220.221072000,1432,1
1737116220.221128000,717,1
