timestamp,length,direction
1737123875.301333000,1406,-1
1737123875.301333000,888,-1
1737123875.305615000,1406,-1
1737123875.312783000,1406,-1
1737123875.312783000,206,-1
1737123875.537693000,220,1
1737123875.537917000,144,1
1737123875.538218000,144,1
1737123875.541825000,302,1
1737123875.546367000,302,1
1737123875.547047000,696,1
1737123875.547964000,224,1
1737123875.548218000,224,1
1737123875.549351000,792,1
1737123875.549752000,144,1
1737123875.550074000,243,1
1737123875.550498000,790,1
1737123875.550709000,1442,1
1737123875.550955000,1466,1
1737123875.550955000,962,1
1737123875.711450000,136,1
1737123875.742733000,136,1
1737123875.750788000,144,-1
1737123875.750788000,486,-1
1737123875.750788000,213,-1
1737123875.751287000,144,1
1737123875.751478000,182,1
1737123875.753459000,144,-1
1737123875.755591000,431,-1
1737123875.757969000,521,-1
1737123875.757969000,431,-1
1737123875.758219000,144,1
1737123875.761942000,521,-1
1737123875.761942000,645,-1
1737123875.761942000,348,-1
1737123875.765313000,1406,-1
1737123875.770074000,172,-1
1737123875.776189000,1406,-1
1737123875.779767000,172,-1
1737123875.790087000,1406,-1
1737123875.790087000,1268,-1
1737123875.801975000,1406,-1
1737123875.801975000,292,-1
1737123875.827416000,1406,-1
1737123875.830712000,172,-1
1737123875.838718000,1406,-1
1737123875.842197000,489,-1
1737123875.854068000,166,1
1737123875.854242000,166,1
1737123875.874416000,393,-1
1737123875.960717000,144,-1
1737123876.114483000,424,-1
1737123876.114483000,470,-1
1737123876.161449000,144,1
1737123876.161595000,212,1
1737123876.423085000,696,1
1737123876.560402000,144,1
1737123876.563644000,156,1
1737123876.612724000,212,1
1737123876.629622000,156,-1
1737123876.678391000,552,1
1737123876.721401000,144,1
1737123876.763255000,393,-1
1737123876.765642000,266,1
1737123876.770394000,156,-1
1737123876.815533000,156,1
1737123876.860904000,256,1
1737123876.871572000,1406,-1
1737123876.871979000,144,1
1737123876.872090000,224,1
1737123876.873056000,136,1
1737123876.874391000,1466,1
1737123876.874391000,836,1
1737123876.875746000,136,1
1737123876.877630000,378,1
1737123876.878471000,218,1
1737123876.879092000,440,1
1737123876.985132000,512,-1
1737123877.028091000,156,-1
1737123877.063908000,470,-1
1737123877.083376000,136,-1
1737123877.083376000,212,-1
1737123877.084697000,1406,-1
1737123877.101085000,537,-1
1737123877.109522000,447,-1
1737123877.118254000,589,-1
