timestamp,length,direction
1737123343.836729000,157,1
1737123343.836791000,157,1
1737123343.849350000,157,1
1737123343.849449000,157,1
1737123343.857558000,227,1
1737123343.857628000,157,1
1737123343.857654000,158,1
1737123343.857782000,157,1
1737123343.857945000,157,1
1737123344.351566000,250,-1
1737123344.357143000,227,-1
1737123344.358198000,156,1
1737123344.375328000,256,-1
1737123344.605840000,294,-1
1737123344.606879000,156,1
1737123344.607098000,156,1
1737123344.607195000,224,1
1737123344.607258000,156,1
1737123344.608769000,156,1
1737123344.660933000,156,1
1737123344.665164000,360,-1
1737123344.665164000,356,-1
1737123344.859525000,156,1
1737123344.860904000,296,1
1737123344.860957000,157,1
1737123344.887626000,148,-1
1737123345.006173000,722,-1
1737123345.029547000,156,-1
1737123345.037221000,155,1
1737123345.037287000,155,1
1737123345.042307000,156,-1
1737123345.045308000,156,-1
1737123345.045308000,156,-1
1737123345.046164000,156,-1
1737123345.118202000,148,-1
1737123345.143374000,136,1
1737123345.143533000,148,1
1737123345.143579000,268,1
1737123345.143606000,148,1
1737123345.143625000,136,1
1737123345.143795000,1506,1
1737123345.143795000,725,1
1737123345.143972000,1506,1
1737123345.143972000,525,1
1737123345.144403000,1506,1
1737123345.144403000,898,1
1737123345.144524000,1506,1
1737123345.144524000,589,1
1737123345.144679000,1506,1
1737123345.144679000,557,1
1737123345.144931000,1506,1
1737123345.144931000,757,1
1737123345.145091000,156,1
1737123345.256319000,1406,-1
1737123345.264621000,110,-1
1737123345.264909000,136,1
1737123345.265270000,1506,1
1737123345.265270000,661,1
1737123345.265517000,156,1
1737123345.289512000,236,-1
1737123345.289512000,242,-1
1737123345.290503000,156,1
1737123345.349624000,480,-1
1737123345.349945000,148,1
1737123345.350316000,1506,1
1737123345.350316000,557,1
1737123345.350748000,156,1
1737123345.400025000,156,1
1737123345.426463000,156,-1
1737123345.427111000,148,1
1737123345.427288000,1506,1
1737123345.427288000,734,1
1737123345.436547000,390,-1
1737123345.517855000,156,1
1737123345.527310000,156,-1
1737123345.527601000,148,1
