timestamp,length,direction
1737123649.773353000,124,1
1737123653.868978000,136,1
1737123654.117501000,136,1
1737123664.799087000,431,1
1737123664.799274000,289,1
1737123665.165831000,378,-1
1737123665.294681000,292,-1
1737123665.300993000,387,-1
1737123665.302107000,298,-1
1737123665.303746000,136,1
1737123665.304459000,136,1
1737123665.305689000,218,1
1737123665.349848000,256,1
1737123665.391977000,374,-1
1737123665.397440000,665,-1
1737123665.403552000,224,1
1737123665.564512000,136,1
1737123665.630385000,470,-1
1737123665.632716000,424,-1
1737123665.653183000,136,1
1737123665.702298000,1042,-1
1737123665.709862000,136,-1
1737123665.710690000,124,1
1737123665.814716000,148,1
1737123665.845218000,136,-1
1737123665.856548000,459,-1
1737123665.866350000,124,1
1737123665.907273000,136,1
1737123665.959051000,1082,-1
1737123665.961817000,385,-1
1737123665.963803000,136,-1
1737123665.964622000,124,1
1737123666.074023000,850,-1
1737123666.095215000,136,-1
1737123666.095934000,124,1
1737123666.097555000,1466,1
1737123666.097555000,633,1
1737123666.110361000,124,-1
1737123666.110708000,1466,1
1737123666.110708000,759,1
1737123666.258377000,742,-1
1737123666.261525000,136,1
1737123666.268302000,124,-1
1737123666.269924000,1466,1
1737123666.269924000,727,1
1737123666.344311000,136,-1
1737123666.345370000,124,1
1737123666.345525000,1466,1
1737123666.345525000,665,1
1737123666.361482000,124,-1
1737123666.361817000,1466,1
1737123666.361817000,759,1
1737123666.452121000,850,-1
1737123666.452724000,660,1
1737123666.496742000,124,-1
1737123666.525887000,124,-1
1737123666.540870000,223,-1
1737123666.657467000,172,-1
1737123666.657467000,280,-1
1737123666.723259000,136,-1
1737123666.723809000,1466,1
1737123666.723809000,886,1
1737123666.724255000,136,1
1737123666.724876000,843,1
1737123666.725054000,175,1
1737123666.725191000,1466,1
1737123666.725191000,207,1
1737123666.749217000,172,-1
1737123666.749802000,280,-1
1737123666.751600000,175,1
1737123666.856582000,293,-1
1737123666.859682000,875,1
1737123666.928487000,124,-1
1737123666.928487000,124,-1
1737123666.932957000,362,-1
1737123666.949517000,280,-1
1737123667.113150000,124,-1
1737123667.129033000,280,-1
1737123667.130307000,196,1
1737123667.130638000,188,1
1737123667.170255000,1406,-1
1737123667.331879000,1406,-1
1737123667.332481000,124,1
1737123667.332760000,124,1
1737123667.334817000,198,1
1737123667.335327000,216,1
