timestamp,length,direction
1737126152.979622000,1406,-1
1737126152.982079000,208,-1
1737126152.986992000,1406,-1
1737126152.990047000,208,-1
1737126152.994863000,1406,-1
1737126152.997153000,208,-1
1737126153.005495000,1406,-1
1737126153.005495000,208,-1
1737126153.010814000,1406,-1
1737126153.010814000,148,-1
1737126153.012073000,1406,-1
1737126153.012073000,148,-1
1737126153.018327000,148,-1
1737126153.021182000,1406,-1
1737126153.026141000,1406,-1
1737126153.028401000,208,-1
1737126153.040893000,1406,-1
1737126153.040893000,208,-1
1737126153.068929000,1406,-1
1737126153.068929000,208,-1
1737126153.073568000,1406,-1
1737126153.075273000,208,-1
1737126153.086039000,1406,-1
1737126153.088189000,208,-1
1737126153.099107000,1406,-1
1737126153.101723000,208,-1
1737126153.122621000,1406,-1
1737126153.123780000,208,-1
1737126153.128619000,1406,-1
1737126153.130415000,208,-1
1737126153.136073000,1406,-1
1737126153.136445000,148,1
1737126153.136487000,268,1
1737126153.136507000,148,1
1737126153.136524000,148,1
1737126153.136541000,148,1
1737126153.136638000,268,1
1737126153.136693000,268,1
1737126153.136712000,148,1
1737126153.136730000,148,1
1737126153.136746000,148,1
1737126153.136780000,148,1
1737126153.136800000,148,1
1737126153.136832000,190,1
1737126153.136849000,208,1
1737126153.136865000,148,1
1737126153.136880000,148,1
1737126153.136896000,148,1
1737126153.136925000,148,1
1737126153.136939000,148,1
1737126153.136955000,148,1
1737126153.136971000,148,1
1737126153.136986000,148,1
1737126153.137001000,148,1
1737126153.137015000,148,1
1737126153.137029000,148,1
1737126153.137045000,148,1
1737126153.137061000,148,1
1737126153.137077000,208,1
1737126153.137093000,148,1
1737126153.137107000,148,1
1737126153.137182000,148,1
1737126153.137225000,268,1
1737126153.137273000,148,1
1737126153.137293000,148,1
1737126153.137313000,148,1
1737126153.137428000,148,1
1737126153.137461000,328,1
1737126153.137479000,148,1
1737126153.137497000,208,1
1737126153.137513000,148,1
1737126153.137527000,148,1
1737126153.142162000,1406,-1
1737126153.143284000,208,-1
1737126153.155757000,1406,-1
1737126153.173324000,208,-1
1737126153.173324000,1406,-1
1737126153.173324000,208,-1
1737126153.175644000,1406,-1
1737126153.175994000,148,1
1737126153.176153000,628,1
1737126153.176182000,328,1
1737126153.176202000,148,1
1737126153.176223000,148,1
1737126153.176245000,208,1
1737126153.176266000,148,1
1737126153.176286000,208,1
1737126153.176308000,208,1
1737126153.176327000,148,1
1737126153.176346000,148,1
1737126153.180908000,1406,-1
1737126153.182895000,208,-1
1737126153.193693000,1406,-1
1737126153.206589000,1406,-1
1737126153.208543000,208,-1
1737126153.219906000,1406,-1
1737126153.221615000,208,-1
1737126153.232536000,1406,-1
1737126153.236915000,208,-1
1737126153.246153000,1406,-1
1737126153.248792000,208,-1
1737126153.262878000,148,-1
1737126153.262878000,1406,-1
1737126153.262878000,148,-1
1737126153.264549000,148,-1
1737126153.265219000,628,1
1737126153.265301000,328,1
1737126153.265343000,208,1
1737126153.265374000,148,1
1737126153.265545000,148,1
1737126153.265617000,388,1
1737126153.265647000,208,1
1737126153.265671000,148,1
1737126153.273131000,1406,-1
1737126153.274188000,208,-1
1737126153.285034000,1406,-1
1737126153.286742000,208,-1
1737126153.298463000,1406,-1
1737126153.299778000,208,-1
1737126153.311218000,1406,-1
1737126153.312614000,1488,1
1737126153.316272000,208,-1
1737126153.328885000,1406,-1
1737126153.329076000,208,-1
1737126153.339184000,1406,-1
1737126153.340160000,208,-1
1737126153.350789000,1406,-1
1737126153.352311000,208,-1
1737126153.374541000,148,-1
1737126153.374541000,148,-1
1737126153.412485000,1406,-1
1737126153.412485000,208,-1
1737126153.412485000,1406,-1
1737126153.412485000,208,-1
1737126153.412485000,148,-1
1737126153.415288000,1406,-1
1737126153.417443000,208,-1
1737126153.435551000,148,-1
1737126153.435551000,1406,-1
1737126153.435551000,148,-1
1737126153.443649000,208,-1
1737126153.443649000,1406,-1
1737126153.443967000,148,1
1737126153.443996000,328,1
1737126153.444018000,208,1
1737126153.444041000,148,1
1737126153.444062000,208,1
1737126153.444082000,208,1
1737126153.444102000,148,1
1737126153.444117000,208,1
1737126153.444132000,148,1
1737126153.444173000,148,1
1737126153.444196000,208,1
1737126153.444218000,208,1
1737126153.444237000,208,1
1737126153.444258000,148,1
1737126153.444279000,208,1
1737126153.444298000,208,1
1737126153.447800000,208,-1
1737126153.455665000,1406,-1
1737126153.457208000,208,-1
1737126153.477178000,1406,-1
1737126153.477178000,208,-1
1737126153.481109000,1406,-1
1737126153.482729000,208,-1
1737126153.493937000,1406,-1
1737126153.493937000,148,-1
1737126153.494657000,1406,-1
1737126153.494657000,148,-1
1737126153.513048000,1406,-1
1737126153.519643000,1406,-1
1737126153.521725000,208,-1
1737126153.533396000,148,-1
1737126153.533995000,148,-1
1737126153.545850000,1406,-1
1737126153.559915000,1406,-1
1737126153.561629000,208,-1
1737126153.571895000,1406,-1
1737126153.577988000,208,-1
1737126153.584807000,148,-1
1737126153.585799000,148,-1
1737126153.598087000,1406,-1
1737126153.598087000,148,-1
1737126153.600458000,148,-1
1737126153.611095000,1406,-1
1737126153.614660000,208,-1
1737126153.624458000,1406,-1
1737126153.625840000,208,-1
1737126153.634699000,1406,-1
1737126153.636635000,208,-1
1737126153.645788000,1406,-1
1737126153.645999000,148,-1
1737126153.656921000,1406,-1
1737126153.656921000,208,-1
1737126153.663183000,1406,-1
1737126153.665237000,208,-1
1737126153.683412000,1406,-1
1737126153.683412000,1406,-1
1737126153.685247000,208,-1
1737126153.692854000,1406,-1
1737126153.695278000,208,-1
1737126153.702411000,148,-1
1737126153.703652000,148,-1
1737126153.712244000,1406,-1
1737126153.715159000,208,-1
1737126153.721728000,148,-1
1737126153.722643000,148,-1
1737126153.730759000,1406,-1
1737126153.732423000,208,-1
1737126153.739903000,1406,-1
