timestamp,length,direction
1737115339.733284000,449,1
1737115340.887063000,226,1
1737115341.037596000,156,1
1737115341.043382000,162,1
1737115341.096078000,320,-1
1737115341.109064000,344,-1
1737115341.503174000,148,-1
1737115341.503737000,136,1
1737115341.517288000,653,1
1737115341.703954000,162,1
1737115341.909489000,330,-1
1737115341.953256000,220,1
1737115341.976283000,136,-1
1737115341.981880000,1406,-1
1737115342.007246000,124,1
1737115342.019957000,621,-1
1737115342.176205000,264,-1
1737115342.186271000,330,-1
1737115342.187176000,136,1
1737115342.187216000,136,1
1737115342.187986000,229,1
1737115342.384240000,276,-1
1737115342.634024000,156,1
1737115342.646573000,136,-1
1737115342.646826000,187,-1
1737115342.647260000,1105,1
1737115342.836326000,124,1
1737115343.036100000,215,1
1737115343.051741000,156,1
1737115343.054432000,148,-1
1737115343.054979000,136,1
1737115343.067492000,653,1
1737115343.112132000,136,-1
1737115343.430148000,1406,-1
1737115343.515741000,159,1
1737115343.516004000,156,1
1737115343.535321000,1406,-1
1737115343.567524000,1406,-1
1737115343.585519000,1201,-1
1737115343.733436000,324,-1
1737115343.820459000,136,1
1737115343.820524000,136,1
1737115343.820736000,136,1
1737115343.821910000,229,1
1737115343.822466000,156,1
1737115343.829222000,124,1
1737115343.844343000,653,1
1737115344.237951000,136,-1
1737115344.288403000,148,-1
1737115344.310073000,136,-1
1737115344.310312000,292,-1
1737115344.515780000,1430,1
1737115344.515892000,1438,1
1737115344.521762000,156,1
1737115344.832693000,124,1
1737115344.939385000,136,-1
1737115344.951017000,741,-1
1737115344.958894000,1377,1
1737115344.967259000,157,1
1737115344.985196000,136,-1
1737115344.985196000,136,-1
1737115344.988134000,136,-1
1737115344.990422000,924,-1
1737115344.990886000,136,1
1737115344.991755000,448,1
1737115345.045707000,167,1
1737115345.045793000,136,1
1737115345.320203000,1406,-1
1737115345.451447000,1406,-1
1737115345.455356000,150,-1
1737115345.511903000,136,-1
1737115345.552014000,136,-1
1737115345.632650000,157,1
1737115345.649903000,1080,-1
1737115345.834099000,1377,1
1737115345.834758000,124,1
1737115345.844956000,1080,-1
1737115346.061290000,136,1
1737115346.061373000,136,1
1737115346.064877000,156,1
1737115346.112137000,136,1
1737115346.560991000,156,1
1737115346.602115000,156,1
1737115346.603033000,158,1
1737115346.603196000,158,1
1737115346.729933000,156,1
1737115346.746565000,148,-1
1737115346.771237000,148,-1
1737115346.838918000,124,1
1737115346.952092000,136,1
1737115346.952477000,653,1
1737115347.178555000,136,-1
1737115347.178555000,1406,-1
1737115347.195118000,1406,-1
1737115347.214245000,388,-1
1737115347.256948000,136,1
1737115347.272837000,228,1
1737115347.386118000,1322,-1
1737115347.386951000,244,1
1737115347.388739000,229,1
1737115347.603100000,136,-1
1737115347.614195000,156,1
1737115347.660896000,156,1
1737115347.833467000,124,1
1737115348.043967000,718,-1
1737115348.061753000,148,-1
1737115348.202336000,862,-1
1737115348.220002000,718,-1
1737115348.252809000,441,1
1737115348.265385000,653,1
1737115348.406127000,187,-1
1737115348.406460000,148,1
1737115348.466377000,136,-1
1737115348.466377000,1077,-1
1737115348.474265000,1406,-1
1737115348.513896000,136,1
1737115348.592394000,1406,-1
1737115348.621532000,360,-1
1737115348.671879000,136,-1
1737115348.671879000,1406,-1
1737115348.695243000,1199,-1
1737115348.840763000,124,1
1737115348.904676000,184,1
1737115348.904787000,232,1
1737115348.904857000,136,1
1737115348.906224000,229,1
1737115349.138366000,152,1
1737115349.180874000,208,1
1737115349.233684000,159,1
1737115349.310464000,187,-1
1737115349.354844000,238,-1
1737115349.446810000,862,-1
1737115349.629824000,1506,1
1737115349.629824000,757,1
1737115349.711532000,274,-1
1737115349.723092000,156,1
1737115349.723129000,156,1
1737115349.816525000,156,1
1737115349.833193000,124,1
1737115349.939582000,148,-1
1737115349.940092000,136,1
1737115349.957051000,653,1
1737115349.963007000,163,1
1737115350.026945000,136,-1
1737115350.028433000,136,-1
1737115350.104891000,311,-1
1737115350.175532000,1406,-1
1737115350.222158000,1406,-1
1737115350.233690000,314,-1
1737115350.236285000,148,-1
1737115350.258268000,136,1
1737115350.258756000,1476,1
1737115350.281196000,653,1
1737115350.286732000,137,-1
1737115350.311907000,136,1
1737115350.400437000,137,-1
1737115350.482671000,653,1
1737115350.495608000,136,-1
1737115350.496106000,136,1
1737115350.496217000,244,1
1737115350.496258000,148,1
1737115350.496877000,216,1
1737115350.497056000,968,1
1737115350.504566000,136,-1
1737115350.512935000,653,1
1737115350.514981000,1406,-1
1737115350.529848000,1406,-1
1737115350.538203000,1406,-1
1737115350.543628000,156,1
1737115350.550734000,1051,-1
1737115350.624848000,137,-1
1737115350.695654000,136,-1
1737115350.701716000,148,-1
1737115350.703895000,741,-1
1737115350.719414000,471,-1
1737115350.719515000,493,-1
1737115350.779286000,137,-1
1737115350.821902000,364,1
1737115350.821990000,196,1
1737115350.822221000,1506,1
1737115350.822221000,772,1
1737115350.822542000,216,1
1737115350.822620000,968,1
1737115350.838832000,124,1
1737115350.868532000,136,1
1737115350.928335000,136,-1
1737115350.928335000,1406,-1
1737115350.961444000,1406,-1
1737115350.974850000,311,-1
1737115350.975344000,184,1
1737115350.975420000,136,1
1737115350.975746000,653,1
1737115350.976487000,229,1
1737115350.993856000,156,1
1737115351.024549000,136,1
1737115351.060698000,137,-1
1737115351.060698000,136,-1
1737115351.060698000,850,-1
1737115351.061171000,148,1
1737115351.061327000,136,1
1737115351.084858000,163,1
1737115351.084928000,163,1
1737115351.230962000,137,-1
1737115351.231459000,148,1
1737115351.241256000,136,-1
1737115351.241619000,136,-1
1737115351.275013000,666,-1
1737115351.287944000,156,1
1737115351.318872000,136,1
1737115351.322656000,276,-1
1737115351.322656000,311,-1
1737115351.385558000,136,-1
1737115351.389742000,1406,-1
1737115351.399845000,1406,-1
1737115351.437255000,1406,-1
1737115351.437255000,150,-1
1737115351.497579000,137,-1
1737115351.606487000,244,1
1737115351.606651000,1506,1
1737115351.606651000,1237,1
1737115351.606835000,653,1
1737115351.607106000,216,1
1737115351.607320000,993,1
1737115351.660416000,136,1
1737115351.681173000,148,-1
1737115351.681609000,136,1
1737115351.681797000,653,1
1737115351.830446000,124,1
1737115352.016510000,136,-1
1737115352.017944000,1406,-1
1737115352.060540000,1406,-1
1737115352.075314000,1173,-1
1737115352.076076000,232,1
1737115352.076746000,1506,1
1737115352.076746000,247,1
1737115352.088200000,1406,-1
1737115352.095734000,156,1
1737115352.126635000,136,1
1737115352.130748000,1406,-1
1737115352.159256000,759,-1
1737115352.160216000,184,1
1737115352.160407000,136,1
1737115352.160930000,216,1
1737115352.161064000,1506,1
1737115352.161064000,366,1
1737115352.162794000,1417,1
1737115352.177768000,1506,1
1737115352.177768000,150,1
1737115352.485389000,934,-1
1737115352.485773000,136,1
1737115352.501897000,148,-1
1737115352.502303000,136,1
1737115352.514036000,653,1
1737115352.528267000,1406,-1
1737115352.829152000,232,1
1737115352.839775000,124,1
1737115352.927233000,136,1
1737115352.944712000,1506,1
1737115352.944712000,971,1
1737115352.955950000,168,1
1737115352.978964000,136,1
1737115353.502550000,156,1
1737115353.502694000,156,1
1737115353.625541000,168,1
1737115353.826742000,124,1
1737115353.997592000,1488,1
1737115354.013734000,156,1
1737115354.013798000,156,1
1737115354.168996000,224,1
1737115354.445629000,184,1
1737115354.445688000,232,1
1737115354.445724000,184,1
1737115354.445755000,136,1
1737115354.445908000,148,1
1737115354.445975000,184,1
1737115354.446316000,653,1
1737115354.446461000,216,1
1737115354.446551000,1506,1
1737115354.446551000,364,1
1737115354.453335000,1506,1
1737115354.453335000,115,1
1737115354.464416000,653,1
1737115354.495075000,136,1
1737115354.541059000,156,1
1737115354.541126000,156,1
1737115354.835385000,124,1
1737115354.996784000,1406,-1
1737115355.046234000,1406,-1
1737115355.099953000,1406,-1
1737115355.253290000,1488,1
1737115355.266390000,1406,-1
1737115355.300937000,653,1
1737115355.319596000,1406,-1
1737115355.368084000,1406,-1
1737115355.424299000,1406,-1
1737115355.502337000,1488,1
1737115355.548834000,156,1
1737115355.548896000,156,1
1737115355.584707000,1406,-1
1737115355.640175000,1406,-1
1737115355.698327000,1406,-1
1737115355.737247000,1406,-1
1737115355.778159000,1406,-1
1737115355.818995000,1406,-1
1737115355.829090000,124,1
1737115355.908471000,1406,-1
1737115355.992708000,1406,-1
1737115356.035753000,1406,-1
1737115356.070783000,1406,-1
1737115356.110919000,1406,-1
1737115356.152275000,1406,-1
1737115356.233458000,1406,-1
1737115356.261808000,1488,1
1737115356.266801000,1406,-1
1737115356.310633000,280,1
1737115356.310731000,136,1
1737115356.310793000,244,1
1737115356.310851000,232,1
1737115356.310882000,136,1
1737115356.310913000,136,1
1737115356.310942000,136,1
1737115356.310971000,136,1
1737115356.311029000,136,1
1737115356.311086000,229,1
1737115356.311359000,229,1
1737115356.324027000,1218,1
1737115356.354789000,136,1
1737115356.385723000,1406,-1
1737115356.423474000,1406,-1
1737115356.461709000,1406,-1
1737115356.494914000,1406,-1
1737115356.525441000,1406,-1
1737115356.557537000,1406,-1
1737115356.624560000,1406,-1
1737115356.649970000,1488,1
1737115356.658592000,1406,-1
1737115356.716843000,1406,-1
1737115356.749349000,1406,-1
1737115356.831184000,1406,-1
1737115356.837069000,124,1
1737115356.891112000,1406,-1
1737115356.909038000,1406,-1
1737115356.937923000,1406,-1
1737115356.971436000,1406,-1
1737115357.001062000,1406,-1
1737115357.026773000,1406,-1
1737115357.058733000,1406,-1
1737115357.089612000,1406,-1
1737115357.100564000,156,1
1737115357.115073000,229,1
1737115357.118596000,1406,-1
