timestamp,length,direction
1737115548.718276000,136,-1
1737115548.735078000,741,-1
1737115548.755674000,1506,1
1737115548.755674000,655,1
1737115549.160640000,136,-1
1737115549.171135000,741,-1
1737115549.191855000,1506,1
1737115549.191855000,657,1
1737115549.550248000,167,-1
1737115549.550248000,136,-1
1737115549.550649000,136,1
1737115549.602308000,741,-1
1737115549.729182000,1488,1
1737115550.029294000,1506,1
1737115550.029294000,638,1
1737115550.136288000,148,-1
1737115550.432146000,136,-1
1737115550.432452000,136,-1
1737115550.455365000,741,-1
1737115550.471234000,1506,1
1737115550.471234000,639,1
1737115550.870517000,136,-1
1737115550.870517000,136,-1
1737115550.880299000,741,-1
1737115550.895881000,1506,1
1737115550.895881000,661,1
1737115551.302365000,184,-1
1737115551.308981000,741,-1
1737115551.343486000,1488,1
1737115551.509053000,136,1
1737115551.526591000,1506,1
1737115551.526591000,659,1
1737115551.741634000,148,-1
1737115551.752494000,215,-1
1737115551.752710000,136,1
1737115551.934519000,741,-1
1737115551.966705000,215,-1
1737115551.978049000,1488,1
1737115552.395831000,148,-1
1737115552.428761000,1488,1
1737115552.855427000,148,-1
1737115552.876309000,747,1
1737115552.895063000,1506,1
1737115552.895063000,642,1
1737115553.283011000,148,-1
1737115553.325173000,136,-1
1737115553.325173000,136,-1
1737115553.326366000,741,-1
1737115553.492651000,148,1
1737115553.506259000,1506,1
1737115553.506259000,658,1
1737115553.906430000,184,-1
1737115553.938544000,741,-1
1737115553.958699000,1506,1
1737115553.958699000,637,1
1737115553.972057000,208,-1
1737115553.972556000,136,1
1737115554.291256000,136,-1
1737115554.291476000,136,1
1737115554.389072000,184,-1
1737115554.394706000,741,-1
1737115554.413599000,1506,1
1737115554.413599000,638,1
1737115554.826029000,741,-1
1737115555.006091000,1488,1
1737115555.218195000,171,1
1737115555.218516000,171,1
1737115555.316836000,1506,1
1737115555.316836000,653,1
1737115555.406176000,148,-1
1737115555.440947000,451,1
1737115555.442406000,479,-1
1737115555.453639000,436,-1
1737115555.746385000,741,-1
1737115555.905941000,1488,1
1737115556.174231000,1506,1
1737115556.174231000,634,1
1737115556.310031000,148,-1
1737115556.593793000,184,-1
1737115556.602661000,741,-1
1737115556.607986000,1506,1
1737115556.607986000,636,1
1737115557.010794000,136,-1
1737115557.010794000,136,-1
1737115557.014410000,741,-1
1737115557.033365000,1506,1
1737115557.033365000,653,1
1737115557.176166000,156,1
1737115557.434259000,184,-1
1737115557.446180000,741,-1
1737115557.458992000,1506,1
1737115557.458992000,654,1
1737115557.865109000,136,-1
1737115557.874484000,741,-1
1737115557.887909000,1506,1
1737115557.887909000,638,1
1737115558.185894000,156,1
1737115558.288818000,136,-1
1737115558.299145000,741,-1
1737115558.321586000,1506,1
1737115558.321586000,638,1
1737115558.724665000,136,-1
1737115558.730853000,741,-1
1737115558.754163000,1506,1
1737115558.754163000,640,1
1737115559.153591000,136,-1
1737115559.164135000,741,-1
1737115559.179534000,1506,1
1737115559.179534000,656,1
1737115559.581906000,136,-1
1737115559.876855000,224,1
1737115559.880364000,158,1
1737115559.880549000,158,1
1737115560.073866000,158,1
1737115560.074011000,158,1
1737115560.085344000,723,-1
1737115560.087444000,477,-1
1737115560.091144000,165,1
1737115560.091347000,165,1
1737115560.297268000,156,1
1737115560.302012000,323,-1
1737115560.310510000,1506,1
1737115560.310510000,658,1
1737115560.510687000,1406,-1
1737115560.510687000,391,-1
1737115560.515280000,156,1
1737115560.515696000,156,1
1737115560.536506000,224,1
1737115560.543437000,148,-1
1737115560.544114000,136,1
1737115560.545047000,391,1
1737115560.599202000,156,1
1737115560.614464000,156,1
1737115560.701323000,741,-1
1737115560.701721000,148,1
1737115560.730712000,148,-1
1737115560.731297000,136,1
1737115560.733258000,653,1
1737115560.740392000,148,-1
1737115560.746685000,741,-1
1737115560.771814000,136,-1
1737115560.779890000,148,-1
1737115560.785037000,1488,1
1737115560.804623000,148,-1
1737115560.804623000,338,-1
1737115560.811219000,148,-1
1737115560.837234000,148,-1
1737115560.859472000,695,-1
1737115560.894728000,461,-1
1737115560.950253000,124,1
1737115560.961665000,136,-1
1737115560.963489000,1406,-1
1737115560.986913000,407,-1
1737115560.990022000,148,-1
1737115561.031981000,461,-1
1737115561.046009000,695,-1
1737115561.066117000,148,-1
1737115561.093359000,148,-1
1737115561.111478000,391,1
1737115561.166828000,136,1
1737115561.167070000,653,1
1737115561.176530000,1455,1
1737115561.188444000,148,-1
1737115561.219035000,136,1
1737115561.247795000,136,1
1737115561.247889000,184,1
1737115561.248379000,653,1
1737115561.248605000,653,1
1737115561.253432000,972,1
1737115561.266008000,156,1
1737115561.325954000,148,-1
1737115561.385519000,136,-1
1737115561.395316000,1406,-1
1737115561.447567000,347,-1
1737115561.453613000,156,1
1737115561.465309000,136,-1
1737115561.465309000,136,-1
1737115561.465719000,415,-1
1737115561.468220000,1406,-1
1737115561.530813000,1406,-1
1737115561.592542000,1406,-1
1737115561.599974000,111,-1
1737115561.652240000,1455,1
1737115561.667169000,148,-1
1737115561.684888000,1131,-1
1737115561.684888000,208,-1
1737115561.732775000,148,-1
1737115561.806267000,136,1
1737115561.806459000,316,1
1737115561.806548000,148,1
1737115561.822580000,972,1
1737115561.838870000,124,1
1737115561.851386000,200,1
1737115561.853715000,228,1
1737115561.855147000,574,1
1737115561.924132000,148,-1
1737115562.034982000,148,-1
1737115562.056006000,148,-1
1737115562.065747000,431,-1
1737115562.118434000,1455,1
1737115562.274518000,156,1
1737115562.283305000,80,-1
1737115562.284386000,167,-1
1737115562.297300000,1406,-1
1737115562.297824000,136,1
1737115562.297912000,196,1
1737115562.297947000,136,1
1737115562.298012000,136,1
1737115562.298050000,136,1
1737115562.298138000,136,1
1737115562.298177000,136,1
1737115562.298336000,136,1
1737115562.298433000,136,1
1737115562.298485000,184,1
1737115562.298531000,208,1
1737115562.298699000,200,1
1737115562.299127000,653,1
1737115562.299192000,653,1
1737115562.301003000,160,1
1737115562.301737000,136,1
1737115562.304634000,200,1
1737115562.304668000,200,1
1737115562.304712000,136,1
1737115562.304767000,228,1
1737115562.304914000,619,1
1737115562.308299000,1484,1
1737115562.325079000,156,1
1737115562.338990000,148,-1
1737115562.352561000,136,1
1737115562.406283000,352,-1
1737115562.447364000,136,-1
1737115562.489275000,148,-1
1737115562.490028000,148,1
1737115562.490109000,196,1
1737115562.490903000,167,1
1737115562.494101000,352,-1
1737115562.520037000,491,-1
1737115562.520460000,1406,-1
1737115562.520460000,1406,-1
1737115562.525896000,1030,-1
1737115562.527977000,493,-1
1737115562.540155000,431,-1
1737115562.540155000,137,-1
1737115562.834630000,124,1
1737115562.864392000,160,1
1737115562.916393000,304,1
1737115562.916445000,148,1
1737115562.958345000,136,1
1737115562.961101000,148,1
1737115562.961173000,136,1
1737115562.986940000,136,1
1737115562.986978000,196,1
1737115562.987828000,662,1
1737115562.989004000,167,1
1737115562.992104000,1488,1
1737115563.004123000,184,1
1737115563.004202000,136,1
1737115563.206306000,148,1
1737115563.215375000,1506,1
1737115563.215375000,413,1
1737115563.270605000,184,1
1737115563.738072000,1488,1
1737115563.832990000,124,1
1737115564.224147000,235,1
1737115564.224215000,1506,1
1737115564.224215000,1282,1
1737115564.357190000,184,1
1737115564.357346000,280,1
1737115564.358908000,160,1
1737115564.359428000,136,1
1737115564.363417000,1471,1
1737115564.375377000,200,1
1737115564.375432000,200,1
1737115564.375599000,276,1
1737115564.375770000,1249,1
1737115564.572251000,136,1
1737115564.572378000,184,1
1737115564.827884000,124,1
1737115565.120502000,1471,1
1737115565.441957000,148,1
1737115565.442253000,136,1
1737115565.442696000,136,1
1737115565.443061000,167,1
1737115565.460168000,1482,1
1737115565.647291000,136,1
1737115565.695932000,136,1
1737115565.837711000,124,1
1737115565.898539000,1481,1
1737115566.102341000,999,1
1737115566.242401000,1406,-1
1737115566.286613000,1406,-1
1737115566.332183000,1406,-1
1737115566.425330000,1406,-1
1737115566.467478000,1406,-1
1737115566.489290000,150,1
1737115566.559208000,1406,-1
1737115566.602601000,1406,-1
1737115566.613684000,1481,1
1737115566.691192000,1406,-1
1737115566.754393000,951,1
1737115566.765259000,1406,-1
1737115566.832893000,124,1
1737115566.863421000,1406,-1
1737115566.924605000,1406,-1
1737115567.030648000,1406,-1
1737115567.082810000,1406,-1
1737115567.188828000,1406,-1
1737115567.243534000,1406,-1
1737115567.294332000,1406,-1
1737115567.328798000,1481,1
1737115567.346794000,701,-1
1737115567.515799000,951,1
1737115567.593597000,136,1
1737115567.593981000,376,1
1737115567.594099000,184,1
1737115567.674446000,387,-1
1737115567.681985000,167,1
1737115567.682103000,167,1
1737115567.695572000,162,1
1737115567.695653000,162,1
1737115567.842839000,124,1
1737115567.881258000,673,-1
1737115567.934717000,741,-1
1737115567.996346000,136,1
1737115567.996501000,136,1
1737115567.996777000,148,1
1737115567.996902000,208,1
1737115568.015570000,1481,1
1737115568.141758000,509,-1
1737115568.142591000,148,1
1737115568.174285000,919,-1
1737115568.190701000,517,-1
1737115568.193388000,156,1
1737115568.193429000,156,1
1737115568.352560000,236,1
1737115568.413216000,148,-1
1737115568.413808000,136,1
1737115568.414106000,653,1
1737115568.438189000,787,-1
1737115568.562940000,395,-1
1737115568.568194000,787,-1
1737115568.633677000,136,-1
1737115568.637020000,1406,-1
1737115568.718276000,1406,-1
1737115568.761575000,630,-1
1737115568.834666000,124,1
1737115568.838188000,218,-1
1737115568.838889000,136,1
1737115568.839693000,653,1
1737115568.931024000,426,1
1737115568.957205000,1478,1
1737115569.066491000,1406,-1
1737115569.107785000,136,1
1737115569.107921000,196,1
1737115569.114745000,200,1
1737115569.114829000,228,1
1737115569.115134000,616,1
1737115569.198493000,1406,-1
1737115569.242391000,898,-1
1737115569.295895000,610,-1
1737115569.335612000,136,-1
1737115569.335612000,431,-1
1737115569.347437000,1406,-1
1737115569.394733000,1015,-1
1737115569.484114000,136,1
1737115569.484206000,244,1
1737115569.484673000,200,1
1737115569.485127000,167,1
1737115569.497882000,1483,1
1737115569.503624000,156,1
1737115569.532854000,136,1
1737115569.535541000,240,1
1737115569.535655000,240,1
1737115569.555009000,246,1
1737115569.555128000,394,1
1737115569.555187000,165,1
1737115569.555348000,159,1
1737115569.557577000,159,1
1737115569.557778000,238,1
1737115569.557862000,167,1
1737115569.559158000,223,1
1737115569.559290000,161,1
1737115569.559362000,432,1
1737115569.559410000,161,1
1737115569.559455000,156,1
1737115569.559495000,159,1
1737115569.559532000,158,1
1737115569.559639000,157,1
1737115569.559788000,157,1
1737115569.603689000,164,1
1737115569.603924000,240,1
1737115569.604114000,164,1
1737115569.708749000,431,-1
1737115569.718585000,493,-1
1737115569.718786000,136,1
1737115569.727490000,148,-1
1737115569.727856000,136,1
1737115569.728086000,653,1
1737115569.748144000,136,-1
1737115569.774379000,321,-1
1737115569.777445000,1406,-1
1737115569.811299000,156,1
1737115569.811494000,156,1
1737115569.812761000,367,-1
1737115569.827543000,124,1
1737115569.901224000,136,-1
1737115569.917863000,741,-1
1737115569.923948000,1479,1
1737115569.947855000,136,-1
1737115569.957100000,1406,-1
1737115570.071032000,412,-1
1737115570.081914000,788,-1
1737115570.098907000,858,-1
1737115570.119829000,637,-1
1737115570.198063000,226,1
1737115570.203517000,738,-1
1737115570.213929000,394,1
1737115570.214054000,394,1
1737115570.228913000,381,1
1737115570.229059000,720,1
1737115570.229126000,223,1
1737115570.269205000,575,-1
1737115570.276154000,316,1
1737115570.276199000,164,1
1737115570.280533000,370,-1
1737115570.339297000,184,1
1737115570.339393000,136,1
1737115570.339570000,136,1
1737115570.339693000,200,1
1737115570.339926000,653,1
1737115570.340034000,653,1
1737115570.340228000,184,1
1737115570.340308000,228,1
1737115570.340526000,1002,1
1737115570.341647000,156,1
1737115570.341697000,156,1
1737115570.341753000,156,1
1737115570.341835000,156,1
1737115570.427055000,1406,-1
1737115570.475008000,1406,-1
1737115570.511164000,1406,-1
1737115570.530507000,1406,-1
1737115570.542410000,879,-1
1737115570.565018000,148,-1
1737115570.565369000,290,-1
1737115570.571485000,1406,-1
1737115570.605003000,156,1
1737115570.731818000,1406,-1
1737115570.736921000,1406,-1
1737115570.822425000,1406,-1
1737115570.836647000,1479,1
1737115570.837289000,124,1
1737115570.852829000,1406,-1
1737115570.867505000,1062,1
1737115570.878134000,1406,-1
1737115570.936768000,148,1
1737115570.936810000,148,1
1737115570.937064000,148,1
1737115570.937167000,232,1
1737115570.937243000,136,1
1737115570.937312000,184,1
1737115570.937382000,184,1
1737115570.937450000,701,1
1737115570.937518000,653,1
1737115570.937608000,653,1
1737115570.938036000,653,1
1737115570.938071000,167,1
1737115570.951123000,1406,-1
1737115570.951523000,1482,1
1737115570.978152000,1406,-1
1737115571.005573000,1406,-1
1737115571.023583000,1406,-1
1737115571.099479000,1406,-1
1737115571.123285000,1406,-1
1737115571.147717000,577,-1
1737115571.157716000,184,-1
1737115571.158603000,206,-1
1737115571.161373000,1406,-1
1737115571.224470000,246,1
1737115571.224551000,323,1
1737115571.224577000,165,1
1737115571.239624000,313,1
1737115571.239680000,233,1
1737115571.286557000,316,1
1737115571.286615000,164,1
1737115571.472695000,167,1
1737115571.502573000,1406,-1
1737115571.502573000,1406,-1
1737115571.502573000,1406,-1
1737115571.502573000,1406,-1
1737115571.502573000,1406,-1
1737115571.502573000,1406,-1
1737115571.503235000,148,1
1737115571.503282000,268,1
1737115571.503300000,136,1
1737115571.503502000,208,1
1737115571.504021000,653,1
1737115571.505021000,156,1
1737115571.505055000,156,1
1737115571.505151000,156,1
1737115571.505185000,156,1
1737115571.505461000,156,1
1737115571.505516000,156,1
1737115571.505631000,156,1
1737115571.505685000,156,1
1737115571.505811000,156,1
1737115571.640091000,156,1
1737115571.640673000,156,1
1737115571.657362000,156,1
1737115571.688629000,156,1
1737115571.689273000,156,1
1737115571.725729000,1406,-1
1737115571.819790000,1406,-1
1737115571.842741000,124,1
1737115571.844527000,1406,-1
1737115571.868788000,1406,-1
1737115571.871868000,1482,1
1737115571.894117000,1406,-1
1737115571.894715000,136,1
1737115571.894795000,184,1
1737115571.894863000,136,1
1737115571.895279000,232,1
1737115571.895474000,136,1
1737115571.900812000,200,1
1737115571.900919000,200,1
1737115571.901056000,200,1
1737115571.901115000,200,1
1737115571.901206000,136,1
1737115571.901239000,136,1
1737115571.901260000,136,1
1737115571.901278000,228,1
1737115571.901395000,649,1
1737115571.901428000,592,1
1737115571.918535000,1406,-1
1737115571.945673000,1406,-1
1737115571.965272000,1406,-1
1737115571.990217000,1406,-1
