timestamp,length,direction
1737116416.634803000,124,1
1737116417.331332000,124,1
1737116418.339340000,124,1
1737116418.975242000,423,1
1737116422.016924000,451,1
1737116424.012938000,163,1
1737116424.013155000,163,1
1737116424.234307000,313,-1
1737116424.248437000,276,-1
1737116424.708856000,157,1
1737116424.708931000,157,1
1737116425.027140000,164,1
1737116425.131919000,159,1
1737116425.132060000,159,1
1737116425.211686000,155,1
1737116425.211792000,155,1
1737116425.301556000,158,1
1737116425.368198000,226,1
1737116425.401727000,412,-1
1737116425.466658000,160,1
1737116425.466830000,160,1
1737116425.474731000,165,1
1737116425.474808000,165,1
1737116425.488446000,157,1
1737116425.488522000,157,1
1737116425.514004000,374,-1
1737116425.537695000,156,1
1737116425.562085000,155,1
1737116425.562174000,155,1
1737116425.573542000,386,-1
1737116425.574974000,156,1
1737116425.603964000,159,1
1737116425.604045000,159,1
1737116425.613543000,155,1
1737116425.613634000,155,1
1737116425.613671000,220,1
1737116425.613824000,286,1
1737116425.614034000,224,1
1737116425.614084000,158,1
1737116425.614110000,158,1
1737116425.614308000,158,1
1737116425.701573000,370,-1
1737116425.701573000,398,-1
1737116425.702026000,382,-1
1737116425.793224000,357,-1
1737116425.799635000,230,1
1737116425.825931000,368,-1
1737116425.825931000,346,-1
1737116425.877111000,222,1
1737116425.906850000,148,-1
1737116425.907025000,672,-1
1737116425.907453000,136,1
1737116425.909244000,156,1
1737116425.921833000,408,-1
1737116425.924032000,333,-1
1737116425.925605000,156,1
1737116425.925679000,156,1
1737116425.928025000,653,1
1737116425.986169000,156,1
1737116425.998599000,148,-1
1737116425.998874000,136,1
1737116425.999369000,390,1
1737116426.031953000,968,-1
1737116426.076944000,627,-1
1737116426.110470000,156,1
1737116426.121001000,1406,-1
1737116426.121001000,1134,-1
1737116426.123639000,160,1
1737116426.129284000,175,1
1737116426.129369000,175,1
1737116426.131891000,542,-1
1737116426.134916000,148,-1
1737116426.135148000,136,1
1737116426.135441000,392,1
1737116426.139179000,242,1
1737116426.171030000,305,-1
1737116426.223131000,314,-1
1737116426.223131000,284,-1
1737116426.232358000,155,1
1737116426.240312000,322,-1
1737116426.278155000,294,1
1737116426.278253000,356,1
1737116426.292065000,148,-1
1737116426.300509000,136,-1
1737116426.300509000,1406,-1
1737116426.304185000,333,-1
1737116426.332238000,322,-1
1737116426.334955000,161,1
1737116426.335083000,161,1
1737116426.342204000,378,-1
1737116426.347109000,136,-1
1737116426.351163000,314,-1
1737116426.351163000,284,-1
1737116426.351163000,1406,-1
1737116426.355720000,290,-1
1737116426.368204000,1406,-1
1737116426.369171000,1406,-1
1737116426.372276000,380,-1
1737116426.376893000,1003,-1
1737116426.384335000,610,-1
1737116426.384335000,600,-1
1737116426.390799000,148,-1
1737116426.390799000,328,-1
1737116426.402085000,158,1
1737116426.402174000,158,1
1737116426.419757000,156,1
1737116426.421041000,148,-1
1737116426.421339000,136,1
1737116426.421816000,136,1
1737116426.421885000,184,1
1737116426.422121000,184,1
1737116426.422208000,184,1
1737116426.422396000,653,1
1737116426.422787000,653,1
1737116426.422994000,156,1
1737116426.424243000,392,1
1737116426.425622000,229,1
1737116426.426241000,229,1
1737116426.434088000,156,1
1737116426.454083000,156,1
1737116426.454204000,156,1
